Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO04/24-015,Thái Nguyễn Minh Quyết,45386.486111111109,PR24/03-021,HAT-HDPE-TH,"Hạt nhựa HDPE thổi hấp. [Bao gồm các mã: , 6888, TR-144, FB1460...]",KG,5000,KG,5000,,VND,25727.272799999999,12863636,128636364,NCC010008,CÔNG TY CỔ PHẦN AN THÀNH BICSOL
PO04/24-017,Thái Nguyễn Minh Quyết,45386.493750000001,PR24/04-015,CHD011,CHỤP SUỐT RX6.1 Mã: VYC-01121B,CAI,300,CAI,300,,VND,16000,384000,4800000,NCC010293,CÔNG TY TNHH VIPATEX
PO04/24-018,Nguyễn Thị Đào,45387.148611111108,PR24/04-018,HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,175,KG,175,,VND,96500,1688750,16887500,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-018,Nguyễn Thị Đào,45387.148611111108,PR24/04-018,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,175,KG,175,,VND,51500,901250,9012500,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-018,Nguyễn Thị Đào,45387.148611111108,PR24/04-018,HAT-TACKS,Hạt Taical kéo sợi,KG,189000,KG,189000,,VND,6800,0,1285200000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-019,Nguyễn Thị Đào,45387.152083333334,PR24/04-018,020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",ONG,660,KG,2534.33,,VND,60000,3168000,39600000,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO04/24-020,Nguyễn Thị Đào,45391.115277777775,PR24/04-020,MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,510,KG,510,,VND,39000,1989000,19890000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-020,Nguyễn Thị Đào,45391.115277777775,PR24/04-020,MDM-FL23,Vàng Chanh 23 FL,KG,50,KG,50,,VND,74000,370000,3700000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-020,Nguyễn Thị Đào,45391.115277777775,PR24/04-020,MDM-FLDO192,Đỏ 192C FL,KG,50,KG,50,,VND,74000,370000,3700000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,5200104890000000,Flor,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,5200105190000000,Hallulla,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,52001051190000000,Gula Prai,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,52001051200000000,GULA AiSing,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-021,Nguyễn Thị Đào,45391.115972222222,PR24/04-021,5200117700000000,MOLINO EL PERAL,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO04/24-022,Nguyễn Thị Đào,45391.117361111108,PR24/04-019,0902203580000000,Cáp mạng chống nhiễu,THUNG,1,THUNG,1,,VND,3000000,300000,3000000,NV031,Trần Trung Hiếu
PO04/24-022,Nguyễn Thị Đào,45391.117361111108,PR24/04-019,9045002480000001,Cáp chuyển nguồn PoE cho Camera IP,BO,2,BO,2,,VND,50000,10000,100000,NV031,Trần Trung Hiếu
PO04/24-022,Nguyễn Thị Đào,45391.117361111108,PR24/04-019,9045002480000002,Nguồn DC Camera 12V,CAI,2,CAI,2,,VND,80000,16000,160000,NV031,Trần Trung Hiếu
PO04/24-022,Nguyễn Thị Đào,45391.117361111108,PR24/04-019,9045002480000003,Hộp Box camera,CAI,2,CAI,2,,VND,25000,5000,50000,NV031,Trần Trung Hiếu
PO04/24-023,Nguyễn Thị Đào,45391.268749999996,PR24/04-023,0920600100000000,DÂY CỘT BAO,Kg,100,Kg,100,,VND,25000,0,2500000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-024,Nguyễn Thị Đào,45391.272916666661,PR24/04-023,HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,99,KG,99,,VND,84500,836550,8365500,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-025,Nguyễn Thị Đào,45391.273611111108,PR24/04-023,040010004000000,"Chỉ may cotton C6, màu trắng. [1600D, 6.0kgF, 16%]",KG,561,KG,0.56100000000000005,,VND,53000,2973300,29733000,NCC010209,CTY TNHH SẢN XUẤT – THƯƠNG MẠI ĐỨC NGỌC
PO04/24-026,Thái Nguyễn Minh Quyết,45392.397916666661,PR24/03-021,HAT-HDPE-TH,"Hạt nhựa HDPE thổi hấp. [Bao gồm các mã: , 6888, TR-144, FB1460...]",KG,17500,KG,17500,,VND,25727.272799999999,45022727,450227274,NCC010008,CÔNG TY CỔ PHẦN AN THÀNH BICSOL
PO04/24-027,Nguyễn Thị Đào,45392.399305555555,PR24/04-022,0920600080000000,"Dây HDPE, trắng đục, 1.0g/m. [Luồn miệng bao DW]",M,155000,KG,155,,VND,45,558000,6975000,NCC010302,CÔNG TY TNHH MỘT THÀNH VIÊN H.G.P
PO04/24-028,Nguyễn Thị Đào,45393.290972222218,PR24/04-024,MDM-FL81,Tím 81 FL,KG,25,KG,25,,VND,91000,227500,2275000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-028,Nguyễn Thị Đào,45393.290972222218,PR24/04-024,MDM-FL92,Đen 92 FL,KG,25,KG,25,,VND,69000,172500,1725000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-028,Nguyễn Thị Đào,45393.290972222218,PR24/04-024,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,75,KG,75,,VND,76000,570000,5700000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-028,Nguyễn Thị Đào,45393.290972222218,PR24/04-024,MDM-FX61,Trắng 61 FL,KG,25,KG,25,,VND,71000,177500,1775000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-029,Nguyễn Thị Đào,45393.293749999997,PR24/04-025,0901100730000000,Bạc đạn SKF 609 2Z/C3,CAI,200,CAI,200,,VND,30000,480000,6000000,NCC010013,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ MAI LÊ
PO04/24-030,Nguyễn Thị Đào,45393.295138888891,PR24/04-025,0922500070000000,Con lăn nhôm kéo bao trong phi 90x50mm  ( GC theo bản vẽ ),CAI,5,CAI,5,,VND,380000,0,1900000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-030,Nguyễn Thị Đào,45393.295138888891,PR24/04-025,9045002480000004,Con lăn nhôm kéo bao ngoài phi 90x70mm  ( GC theo bản vẽ ),CAI,10,CAI,10,,VND,450000,0,4500000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-030,Nguyễn Thị Đào,45393.295138888891,PR24/04-026,VPP-010000001000000,Mỳ tôm hảo hảo,THUNG,30,THUNG,30,,VND,120000,0,3600000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-030,Nguyễn Thị Đào,45393.295138888891,PR24/04-027,0902400060000000,ĐẦU DÙ SAU NOVA6 ( GC THEO BẢN VẼ ),CAI,200,CAI,200,,VND,55000,0,11000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-030,Nguyễn Thị Đào,45393.295138888891,PR24/04-028,0914700010000000,PIN AAA ,Cái,30,Cái,30,,VND,7500,0,225000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-031,Nguyễn Thị Đào,45393.296527777777,PR24/04-027,0908700400000000,Bình ắc quy LIFTOP (HITACHI) 48V - 565Ah ( xe nâng KOMATSU hybrid FB 25HB- 11 ).,CAI,1,CAI,1,,VND,95000000,7600000,95000000,NCC010333,CÔNG TY TNHH MÁY VÀ THIẾT BỊ CÔNG NGHIỆP FUJI VIỆT NAM
PO04/24-032,Nguyễn Thị Đào,45393.397916666661,PR24/04-029,HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,300,KG,300,,VND,23000,690000,6900000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-032,Nguyễn Thị Đào,45393.397916666661,PR24/04-030,HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,100,KG,100,,VND,83000,830000,8300000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-032,Nguyễn Thị Đào,45393.397916666661,PR24/04-030,HAT-MVCA-2014,Hạt màu vàng EMP2014(C. Âu),KG,100,KG,100,,VND,83500,835000,8350000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO04/24-033,Nguyễn Thị Đào,45393.400694444441,PR24/04-030,HAT-DEN-CB105,Hạt màu đen mã số CB105 (Tân Hùng Cơ),KG,250,KG,250,,VND,47000,1175000,11750000,NCC010217,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT TÂN HÙNG CƠ
PO04/24-034,Nguyễn Thị Đào,45393.402777777774,PR24/04-029,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO04/24-035,Nguyễn Thị Đào,45393.405555555553,PR24/04-031,5200100050000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 113cm (-1), độ bền nén: >=270kgF/100mm.",ONG,62,KG,245.21,,VND,115400,572384,7154800,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO04/24-035,Nguyễn Thị Đào,45393.405555555553,PR24/04-031,5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",ONG,12,KG,49.98,,VND,120000,115200,1440000,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO04/24-036,Nguyễn Thị Đào,45394.072222222218,PR24/04-029,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,5,KG,100,,VND,504000,0,2520000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-037,Nguyễn Thị Đào,45395.172916666663,PR24/04-032,0918000077000000,Kệ trung tải 3 tầng - rộng 1000 - dài 6000 - cao 150mm ( 100kg / tầng),BO,1,BO,1,,VND,1,0,1,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-037,Nguyễn Thị Đào,45395.172916666663,PR24/04-032,0918000078000000,Kệ trung tải 3 tầng - rộng 1000 - dài 3800 - cao 150mm ( 100kg / tầng),BO,1,BO,1,,VND,1,0,1,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO04/24-038,Nguyễn Thị Đào,45395.175694444442,PR24/04-033,0903600180000000,"Tôn mạ kẽm 5 zem 7,5m",TAM,15,TAM,15,,VND,690333,0,10354995,NV041,Võ Công Vũ
PO04/24-038,Nguyễn Thị Đào,45395.175694444442,PR24/04-033,0903600200000000,"Tôn sóng 4,5zem x5,5m",TAM,8,TAM,8,,VND,432533,0,3460264,NV041,Võ Công Vũ
PO04/24-038,Nguyễn Thị Đào,45395.175694444442,PR24/04-033,0903600210000000,"Tôn sóng 4,5zem x5,3m",TAM,7,TAM,7,,VND,432533,0,3027731,NV041,Võ Công Vũ
PO04/24-039,Thái Nguyễn Minh Quyết,45398.415277777778,PR24/04-047,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,130000,KG,130000,,VND,24681.818200000002,320863637,3208636366,KH010018,CÔNG TY TNHH LUCKY STAR PLAST
PO04/24-040,Nguyễn Thị Đào,45400.120833333334,PR24/04-034,MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,1020,KG,1020,,VND,39000,3978000,39780000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-040,Nguyễn Thị Đào,45400.120833333334,PR24/04-034,MDM-FL23,Vàng Chanh 23 FL,KG,50,KG,50,,VND,74000,370000,3700000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-040,Nguyễn Thị Đào,45400.120833333334,PR24/04-034,MDM-DMO001,Dung môi Chậm khô Trực Tiếp,KG,24,KG,24,,VND,74000,177600,1776000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-040,Nguyễn Thị Đào,45400.120833333334,PR24/04-043,MDM-FL10,Đỏ Cam 10 FL,KG,50,KG,50,,VND,74000,370000,3700000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO04/24-040,Nguyễn Thị Đào,45400.120833333334,PR24/04-043,MDM-FL23,Vàng Chanh 23 FL,KG,100,KG,100,,VND,74000,740000,7400000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
