Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
5/15/2024,SOI7,Đêm,,,SO2405-0012,MP24/05-020,LSX05/24-018,SOI-MTD-01,"Sợi PP, trắng đục, 760D, 2.47mm.",4000,54,4445.06,0,98,-445.06,-44,1.111265,1.814814,Đạt
5/15/2024,SOI7,Đêm,,,SO2405-0012,MP24/05-020,LSX05/24-018,SOI-MTD-01,"Sợi PP, trắng đục, 760D, 2.47mm.",4800,64.8,969.04,0,0,3830.96,64.8,0.201883333,0,Không đạt
5/15/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",3500,47.25,7524.1,0,141,-4024.1,-93.75,2.149742857,2.984126,Đạt
5/15/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",4900,66.15,0,108.7,0,4791.3,66.15,0.022183673,0,Không đạt
5/23/2024,O01,Ngày,,,SO2404-0038,MP24/04-062,LSX04/24-068,SUI-TRANG,Sủi trắng,0,0,1800,0,0,-1800,0,,,Không đạt
5/23/2024,SOI1,Ngày,,,SO2403-0030,MP24/03-050,LSX03/24-063,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",0,0,4970.2,0,69,-4970.2,-69,,,Không đạt
5/23/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-001,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",0,0,8575.8,0,37,-8575.8,-37,,,Không đạt
5/23/2024,SOI3,Ngày,,,SO2403-0062,MP24/04-059,LSX04/24-072,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",0,0,746.65,0,23,-746.65,-23,,,Không đạt
5/23/2024,SOI3,Ngày,,,SO2405-0004,MP24/05-010,LSX05/24-013,SOI-AGF1,"Sợi PP, trắng đục, 650D, 2.60mm, 3.1kgF, 20%.",0,0,595.4,0,0,-595.4,0,,,Không đạt
5/23/2024,SOI3,Ngày,,,SO2403-0063,MP24/05-030,LSX05/24-024,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",0,0,3055.98,0,0,-3055.98,0,,,Không đạt
5/23/2024,SOI1,Ngày,,,SO2403-0051,MP24/04-006,LSX05/24-035,SOI-SP31-1,"Sợi PP màu trắng đục, 880D, 2.55mm [Dùng MV8C]",0,0,610.3,0,2,-610.3,-2,,,Không đạt
5/23/2024,SOI3,Ngày,,,SO2405-0036,MP24/05-040,LSX05/24-040,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",0,0,391.47,0,0,-391.47,0,,,Không đạt
5/23/2024,SOI8,Đêm,,,SO2405-0012,MP24/05-020,LSX05/24-018,SOI-MTD-01,"Sợi PP, trắng đục, 760D, 2.47mm.",0,0,918.1,0,40,-918.1,-40,,,Không đạt
5/23/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,2197.42,0,45,-2197.42,-45,,,Không đạt
