Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
5/29/2024,LN05/24-111,"Vật tư sửa chữa 2 máy dệt CS, phân xưởng 1. PO01/24-063 VÀ PO05/24-085.",PR24/01-058,PO01/24-063,0909100010000000,Yếm thoi CS. (Theo mẫu. ),Cái,1,Cái,10,10
6/11/2024,LN06/24-044,Đặt khắc bản in cao su PO06/24-024.,PR24/06-019,PO06/24-024,5200107330000000,Yellow Roses,CM2,1,CM2,3282.5,3282.5
5/28/2024,LN05/24-101,ĐẶT KHẮC BẢN IN CAO SU PO04/24-021 VÀ PO05/24-061/071. ĐỀ NGHỊ NK THEO SL THỰC NHẬN TRIBAT 50 X 85 : 6483CM VÀ XÍCH LÔ 40 KG : 10.713 CM.,PR24/05-057,PO05/24-071,5200104020000000,Xích Lô 40kg,CM2,1,CM2,10000,10000
6/11/2024,LN06/24-044,Đặt khắc bản in cao su PO06/24-024.,PR24/06-019,PO06/24-024,5200104020000000,Xích Lô 40kg,CM2,1,CM2,8822,8822
4/4/2024,LN04/24-020,Vật Tư chuyển văn phòng BTP lên lầu (A Hải) PO04/24-005.,PR24/04-003,PO04/24-005,0908100011000000,xi măng sao mai,BAO,1,BAO,45,45
4/26/2024,LN04/24-114,Vật Tư làm khuôn viên và Nhà chưa rác thải nguy hại PO04/24-044.,PR24/04-035,PO04/24-044,0908100011000000,xi măng sao mai,BAO,1,BAO,25,25
4/26/2024,LN04/24-114,Vật Tư làm khuôn viên và Nhà chưa rác thải nguy hại PO04/24-044.,PR24/04-035,PO04/24-044,0908100011000000,xi măng sao mai,BAO,1,BAO,25,25
4/27/2024,LN04/24-116,Vật Tư đổ nền Kho Nhiên Liệu và làm mai kho phế x7 PO04/24-066.,PR24/04-064,PO04/24-066,0908100011000000,xi măng sao mai,BAO,1,BAO,30,30
4/27/2024,LN04/24-119,Vật Tư làm nhà chứa Rác thải Nguy hại PO02/24-032,PR24/02-033,PO02/24-032,0908100011000000,xi măng sao mai,BAO,1,BAO,20,20
5/14/2024,LN05/24-039,"Vật tư sử dụng của bộ phận BTP, theo đề xuất. PO04/24-045 VÀ PO05/24-007.",PR24/04-048,PO04/24-045,0908200100000000,Xe vắt và ép nước lau sàn nhà 2 ngăn AF08087,CAI,1,CAI,1,1
5/14/2024,LN05/24-039,"Vật tư sử dụng của bộ phận BTP, theo đề xuất. PO04/24-045 VÀ PO05/24-007.",PR24/05-009,PO05/24-007,0908200100000000,Xe vắt và ép nước lau sàn nhà 2 ngăn AF08087,CAI,1,CAI,2,2
6/12/2024,LN06/24-050,Mua xe nâng phục vụ sản xuất  (MUA XE NÂNG CŨ 700 KG BGĐ ĐÃ PHÊ DUYỆT KO CÓ TG BẢO HÀNH) NHẬN XE VỀ NM NGÀY 07/06/2024. PO06/24-033.,PR24/06-024,PO06/24-033,0908200250000000,Xe Nâng Điện  TOYOTA 700KG,CHIEC,1,CHIEC,1,1
5/14/2024,LN05/24-028,ĐẶT MỤC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + INTER : SO2405-0008 +SO2405-0005 PO05/24-025/033.,PR24/05-029,PO05/24-033,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,50,50
4/5/2024,LN04/24-023,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG 66 MFM : SO2404-0001 PO04/24-010.,PR24/04-010,PO04/24-010,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,100,100
4/23/2024,LN04/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + PRESTASI : SO2402-0011+SO2404-0006 PO04/24-040,PR24/04-044,PO04/24-040,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,50,50
5/14/2024,LN05/24-028,ĐẶT MỤC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + INTER : SO2405-0008 +SO2405-0005 PO05/24-025/033.,PR24/05-029,PO05/24-033,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,100,100
6/11/2024,LN06/24-039,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-023.,PR24/06-018,PO06/24-023,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,50,50
6/20/2024,LN06/24-090,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-060,PR24/06-056,PO06/24-060,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,50,50
4/13/2024,LN04/24-060,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG UNIPACK  + GFI (SO2403-0036+SO2403-0023) PO04/24-028.,PR24/04-024,PO04/24-028,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,75,75
4/23/2024,LN04/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + PRESTASI : SO2402-0011+SO2404-0006 PO04/24-040,PR24/04-043,PO04/24-040,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
4/26/2024,LN04/24-108,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG ĐƠN HÀNG INTER.SO2404-0014 PO04/24-068.,PR24/04-065,PO04/24-068,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,100,100
5/3/2024,LN05/24-005,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG+INTER+ LAHAD (SO2404-0006+SO2404-001) PO05/24-001.,PR24/05-001,PO05/24-001,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,125,125
5/14/2024,LN05/24-028,ĐẶT MỤC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + INTER : SO2405-0008 +SO2405-0005 PO05/24-025/033.,PR24/05-029,PO05/24-033,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
5/17/2024,LN05/24-064,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG SABAH + KCP + MOLINERA :SO2405-0019+SO2403-0062+SO2403-0045 PO05/24-058.,PR24/05-045,PO05/24-058,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
5/27/2024,LN05/24-091,ĐẶT MỰC IN + DUNG MÔI CÔNG ĐOAN IN PO05/24-077.,PR24/05-065,PO05/24-077,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,100,100
6/5/2024,LN06/24-012,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-003.,PR24/06-002,PO06/24-003,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,100,100
6/17/2024,LN06/24-065,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-046.,PR24/06-042,PO06/24-046,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
