Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
4/1/2024,SIM04/24-001,SO2401-0052,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.AQ3-40,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: AQ3 - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,19700,2168,KG
4/1/2024,SIM04/24-001,SO2401-0052,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,22000,2440.5,KG
4/1/2024,SIM04/24-001,SO2401-0052,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",Cái,2000,224,KG
4/1/2024,SIM04/24-002,,ANH MẠNH,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 932 kg *15.000đ/kg- XE 63H-028.59,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,KG,932,932,KG
4/1/2024,SIM04/24-003,,ANH MẠNH,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 966 kg *15.000đ/kg; Phế tạp 560kg*5.000đ/kg- XE 51C-098.27 và XE51D-293.16,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,KG,966,966,KG
4/1/2024,SIM04/24-003,,ANH MẠNH,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 966 kg *15.000đ/kg; Phế tạp 560kg*5.000đ/kg- XE 51C-098.27 và XE51D-293.16,PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,KG,560,560,KG
4/1/2024,SIM04/24-004,SO2312-0029,"CÔNG TY TAMATRA-US, LLC",Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU099100100069TRDU,"Vải dệt thoi bằng sợi PP, dạng cuộn, loại 99cm, 75g/m",M,100000,6739,KG
4/1/2024,SIM04/24-004,SO2312-0029,"CÔNG TY TAMATRA-US, LLC",Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU101100100071TRDU,"Vải manh cuộn PP màu trắng đục, K101.5cm, 10x10, caro láng, TL: 71.1g/m. [800D; 70gsm] (5000m/cuộn)",M,100000,6809,KG
4/1/2024,SIM04/24-004,SO2312-0029,"CÔNG TY TAMATRA-US, LLC",Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU104100100072TRDU,"Vải manh cuộn PP màu trắng đục, K104.0cm, 10x10, caro láng, TL: 72.8g/m. [800D; 70gsm] (5000m/cuộn)",M,120000,8526.5,KG
4/2/2024,SIM04/24-005,SO2401-0017,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 02/04/2024,Xe 51C-672.66",TPH073114G140MEK.POLA,"Bao TP-PP, trắng tẩy, K73x114.5PB (cm), TL: 140 (±3.0)g/cái, MK: Pollard - 50KG",Cái,22000,3048.5,KG
