Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2310-0022,TPH050080G080INT.YEGL190,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 190 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",KG,KG,406.565,406.565
SO2310-0022,TPH050080G080INT.YEGL191,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 191 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",KG,KG,406.565,406.565
SO2310-0022,TPH060085G102INT.VVGR074,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI GREEN PP 40KG - CODE 074 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",KG,KG,207.71199999999999,207.71199999999999
SO2310-0022,TPH060085G102INT.GP086,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: GP - CODE 086 (1+0) (Mã: 5000642). [Tép 20 cái gấp 3 code ra ngoài.  Bó 05 tép.  Cột chữ thập, dây màu trắng (xám)]",02,Công đoạn tạo sợi,TPH-1551,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",KG,KG,519.28,519.28
SO2310-0022,TPH045055G070INT.BMDC005,"Túi TP-PP, tráng ngoài, K45x55LL, TL: 70g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521). [Bao túi xách: Tép 50 cái gấp đôi, code ra ngoài, bó 2 tép, cột dây chữ thập trắng]",02,Công đoạn tạo sợi,TPH-1551,SOI-EM3,"Sợi LH denier 1000D bản chỉ 2.5mm, màu trắng",KG,KG,19.07,19.07
SO2310-0022,TPH050074G074INT.BLGL079,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BLUE GLOBE (LOCAL) - CODE 079 (2+0) (Mã: 5000544). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",03,Công đoạn dệt,TPH-1552,THACAINT500105110092TRTA,"Cuộn PP, trắng tẩy, K50cm(+1/-0.5), MĐ: 10.5x11.0, TL: 92g/m(+/-3).",M,KG,4044.1550000000002,372.06225999999998
SO2310-0022,TPH050080G080INT.YEGL190,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 190 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",03,Công đoạn dệt,TPH-1552,THACAINT500105110092TRTA,"Cuộn PP, trắng tẩy, K50cm(+1/-0.5), MĐ: 10.5x11.0, TL: 92g/m(+/-3).",M,KG,4356.03,400.75475999999998
SO2310-0022,TPH050080G080INT.YEGL191,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 191 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",03,Công đoạn dệt,TPH-1552,THACAINT500105110092TRTA,"Cuộn PP, trắng tẩy, K50cm(+1/-0.5), MĐ: 10.5x11.0, TL: 92g/m(+/-3).",M,KG,4356.03,400.75475999999998
SO2310-0022,TPH060085G102INT.VVBL018,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 018 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",03,Công đoạn dệt,TPH-1552,THACAINT600105110111TRTA,"Cuộn PP, trắng tẩy, K60cm(+1/-0.5), MĐ:10.5x11.0, TL: 111g/m(+/-3).",M,KG,1846.36,204.94596000000001
SO2310-0022,TPH060085G102INT.VVGR074,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI GREEN PP 40KG - CODE 074 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",03,Công đoạn dệt,TPH-1552,THACAINT600105110111TRTA,"Cuộn PP, trắng tẩy, K60cm(+1/-0.5), MĐ:10.5x11.0, TL: 111g/m(+/-3).",M,KG,1846.36,204.94596000000001
