Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
10/10/2023,LN10/23-029,ĐẶT KHẮC BẢN IN ĐƠN HÀNG DONGWON ZIPPER THUẬN 4MM . PO09/23-054/101.,PR23/09-086,PO09/23-101,520010910600000,ZIPPER-VÀNG,CM2,1,CM2,5718,5718
10/19/2023,LN10/23-075,Đặt bản in Jipper (Dongwon) PO10/23-014/019,PR23/10-020,PO10/23-019,520010910600000,ZIPPER-VÀNG,CM2,1,CM2,5590,5590
10/10/2023,LN10/23-029,ĐẶT KHẮC BẢN IN ĐƠN HÀNG DONGWON ZIPPER THUẬN 4MM . PO09/23-054/101.,PR23/09-086,PO09/23-101,520010910700000,ZIPPER-BEIGE,CM2,1,CM2,6200,6200
10/16/2023,LN10/23-053,Đặt bản in Jipper (Dongwon),PR23/10-020,PO10/23-019,520010910700000,ZIPPER-BEIGE,CM2,0.6292,CM2,10000,6292
11/2/2023,LN11/23-011,Nhập kho lô phụ tùng Perfect. Mua hàng theo yêu cấu số PR23/06-051,PR23/06-051,PO06/23-093,0909100020000000,YẾM THOI LOHIA Mã: 11130521200,Cái,1,Cái,75,75
12/20/2023,LN12/23-084,Vật tư sử dụng sửa chữa thay thế cho máy dệt LOHIA của KT SX. (TẠM NHẬP CHO NCC VŨ MINH. EZIC EM LÀM VIỆC GỬI BG HÃNG Ạ),PR23/08-011,PO08/23-025,0909100020000000,YẾM THOI LOHIA Mã: 11130521200,Cái,1,Cái,100,100
11/20/2023,LN11/23-063,Đặt khắc bản in cao su PO11/23-026.,PR23/11-020,PO11/23-026,5200107330000000,Yellow Roses,CM2,1,CM2,4005,4005
11/20/2023,LN11/23-060,Đặt khắc bản in cao su PO11/23-043.,PR23/11-034,PO11/23-043,5200107310000000,Yellow Globe,CM2,1,CM2,1785,1785
11/20/2023,LN11/23-061,Đặt khắc bản in cao su PO11/23-043.,PR23/11-034,PO11/23-043,5200107310000000,Yellow Globe,CM2,1,CM2,345,345
12/27/2023,LN12/23-109,Đặt khắc bản in cao su PO12/23-075.,PR23/12-063,PO12/23-075,5200107310000000,Yellow Globe,CM2,1,CM2,2631,2631
10/31/2023,LN10/23-120,ĐẶT KHẮC BẢN IN CAO SU (ĐH MEKONG) PO10/23-063.,PR23/10-058,PO10/23-063,52001051440000000,Xich Lo-40kg,CM2,1,CM2,9031,9031
12/27/2023,LN12/23-109,Đặt khắc bản in cao su PO12/23-075.,PR23/12-063,PO12/23-075,5200104020000000,Xích Lô 40kg,CM2,1,CM2,7824,7824
10/10/2023,LN10/23-033,"Xây mương dẫn nước lối đi bên đường, xây chậu cảnh PO09/23-078/096 VÀ PO10/23-021.",PR23/09-063,PO09/23-078,0908100011000000,xi măng sao mai,BAO,1,BAO,20,20
12/21/2023,LN12/23-093,Kế hoạch làm chuồng chim bồ câu và xây bờ gốc cây (A Hợi) PO10/23-072 VÀ PO12/23-045.,PR23/12-037,PO12/23-045,0908100011000000,xi măng sao mai,BAO,1,BAO,25,25
12/22/2023,LN12/23-097,Mua xe nâng + Bình thay xe xuất nhập hàng PO12/23-071.,PR23/12-060,PO12/23-071,0908200073000000,Xe Nâng điện Ngồi KOMATSU FB09-3-seri:52121 (900kg),CHIEC,1,CHIEC,1,1
12/22/2023,LN12/23-097,Mua xe nâng + Bình thay xe xuất nhập hàng PO12/23-071.,PR23/12-060,PO12/23-071,0908200074000000,Xe Nâng điện Ngồi KOMATSU FB09-3-seri:50325 (500kg),CHIEC,1,CHIEC,1,1
11/20/2023,LN11/23-070,DỤNG CỤ BẾP THIÊN PHÁT ĐỢT 2 PO11/23-049.,PR23/11-045,PO11/23-049,52001092500000000,Xe chuyển Thức ăn 2 tầng,CAI,1,CAI,2,2
11/20/2023,LN11/23-070,DỤNG CỤ BẾP THIÊN PHÁT ĐỢT 2 PO11/23-049.,PR23/11-045,PO11/23-049,52001092700000000,Xe chở và đẩy khay dơ,CAI,1,CAI,1,1
10/9/2023,LN10/23-026,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA SO2310-0011,PR23/10-012,PO10/23-017,MDM-FL79,Xanh Lá 79 FL,KG,1,KG,50,50
10/6/2023,LN10/23-014,"ĐẶT MỰC IN GIÁN TIẾP HÀNG SAN SO2310-0011 (HÀNG GẤP )
**GHI CHÚ**
- Mực cam 021C. NCC giao 210kg
-Mực xanh lá 348C: NCC giao 30kg
==> Nhập theo SL nhà cung cấp giao",PR23/10-005,PO10/23-011,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,1,KG,32,32
11/27/2023,LN11/23-100,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG GẤP MEKONG (SO2310-0034) PO11/23-067.,PR23/11-062,PO11/23-067,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,1,KG,64,64
12/4/2023,LN12/23-008,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG MEKONG VÀ SGX PO11/23-091. ĐỀ NGHỊ NHẬP KHO THEO SL THỰC NHẬN.,PR23/11-092,PO11/23-091,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,1,KG,25,25
10/9/2023,LN10/23-026,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA SO2310-0011,PR23/10-012,PO10/23-017,MDM-FL348,Xanh lá 348C,KG,1,KG,75,75
11/9/2023,LN11/23-023,ĐẶTMỰC IN TRỰC TIẾP ĐƠN HÀNG CHINA (SO2310-0050)  PO11/23-011.,PR23/11-010,PO11/23-011,MDM-FL348,Xanh lá 348C,KG,1,KG,75,75
10/9/2023,LN10/23-024,ĐẶT MỰC IN GIÁN TIẾP HÀNG SAN SO2310-0011 (HÀNG GẤP ),PR23/10-005,PO10/23-009,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,80,80
11/13/2023,LN11/23-036,"ĐẶT MỰC IN GIÁN TIẾP ĐƠN SGX + MFM: SO2311-0003, SO2311-0005 PO11/23-027.",PR23/11-021,PO11/23-027,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,1,KG,64,64
