Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
LR,45200,LR10/23-0043,Cm sợi đồng cấp,SOI-DTD-04,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm. (7%TC)",KSO001,KG,543.9,KG,543.9,0,0,15512,15512,CTY00001,,,,,,SOI,,,,2270
LR,45200,LR10/23-0047,Chuyển cuộn đồng cấp,THATRPPM069080080051TRDU,"Cuộn manh PP, TRÁNG BÓNG, trắng đục, Khổ tráng 134cm, cắt biên chia cuộn còn khổ TP 69.0cm, tráng 19gsm, TL: 51.75g/m. (PP56.0gsm+LM19.0gsm)",KCU001,M,267,KG,5860,0,0,15512,1522,CTY00001,,,,,,BAOBT,,,,2270
LR,45200,LR10/23-0050,Cm sợi đổng cấp,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",KSO001,KG,530.92,KG,530.92,0,0,15512,15512,CTY00001,,,,,,,,,,2270
PX,45200,PX09/23-0403,Yêu cầu xuất NL Dệt ngày1/10/2022,SOI-DTD-04,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm. (7%TC)",KSO001,KG,310.79,KG,311.74,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0030,LSX09/23-032,VAICUON,,THACUDOW390110110067TDU7,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-DTD-01-1,"Sợi PP, màu trắng, 720D, 2.60mm.",KSO001,KG,496.6,KG,496.6,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2308-0052,LSX08/23-070,VAICUON,,THACUHAR585100110082TRDU,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-GL4-3HD,"Sợi PP, trắng đục, 760D, 2.60mm. [33%], dùng sủi HD thổi",KSO001,KG,1195.4,KG,1195.4,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0022,LSX09/23-010,VAICUON,,0119109032000000,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-MK11,"Sợi PP, trắng tẩy, 960D, 2.50mm.",KSO001,KG,482.6,KG,482.6,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2308-0003,LSX08/23-010,VAICUON,,THACAINT600105110111TRTA,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-SP21-HD,"Sợi PP, màu trắng đục, 800D, bản sợi 2.55mm.",KSO001,KG,215.9,KG,215.9,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2308-0047,LSX08/23-072,VAICUON,,0102125065000000,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-SP22,"Sợi PP màu trắng đục, 830D, 2.55mm, 3.4KgF, 20%, long đền 5.7mm.",KSO001,KG,486.6,KG,486.6,5993.84,2916604,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0056,LSX09/23-045,VAICUON,,THACAPRE500110120083TRDU,,2213
PX,45200,PX10/23-0030,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-TM15,"Sợi PP, trắng đục, 600D, 2.60mm, 2.60kgF, 20%.",KSO001,KG,1403.7,KG,1403.7,4700.64,6598287,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0044,LSX09/23-034,VAICUON,,THACACHN600105110071TRDU,,2213
PX,45200,PX10/23-0032,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-AGF1,"Sợi PP, trắng đục, 650D, 2.60mm, 3.1kgF, 20%.",KSO001,KG,341.4,KG,341.4,0,0,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0035,LSX09/23-035,VAICUON,,THACAAGF560100110069TRDU,,2213
PX,45200,PX10/23-0032,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-DCA-01,"Sợi PP, màu cam, 710D, 2.60mm.",KSO001,KG,25.09,KG,25.09,54215.48,1360266,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0016,LSX09/23-018,VAICUON,,THACADOW455100110065CA00,,2213
PX,45200,PX10/23-0032,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-DCA-01,"Sợi PP, màu cam, 710D, 2.60mm.",KSO001,KG,307.52,KG,307.52,54215.48,16672343,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0016,LSX09/23-018,VAICUON,,THACADOW455100110065CA00,,2213
PX,45200,PX10/23-0032,Yêu cầu xuất NL Dệt ngày 01/10/2023,SOI-DCA-01,"Sợi PP, màu cam, 710D, 2.60mm.",KSO001,KG,35.8,KG,35.8,54215.48,1940914,62114,15512,CTY00001,,Xưởng dệt,,SO2309-0016,LSX09/23-018,VAICUON,,THACADOW455100110065CA00,,2213
PX,45200,PX10/23-0345,Yêu cầu xuất NL Dệt ngày 01/10/2022,SOI-DTD-03,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm.",KSO001,KG,540.63,KG,540.63,5.74,3105,62114,15512,CTY00001,,Xưởng dệt,,SO2307-0072,LSX07/23-073,VAICUON,,THACUDOW390110110067TRDU,,2213
PX,45200,PX10/23-0373,ĐH JUMBO SGI K190 / CẮT-MAY -ÉP KIỆN/ THÁNG 07.2023 - YCXK,THATRPPM096080080768TRDU,"Cuộn manh PP, TRÁNG BÓNG, trắng đục, Khổ tráng 100cm, cắt biên còn TP 96.0cm, tráng 19gsm, TL: 73g/m. (TL cũ 72g/m) (PP57.0gsm+LM19gsm)",KCU001,M,267,KG,5860,1034.9505099999999,6064810,62114,1522,CTY00001,,Phân xưởng 2 (jumbo),,SO2306-0044,LSX07/23-006,BAOBT,,03CAT-TC001-01-NAP0,,2213
PX,45200,PX10/23-0376,Yêu cầu xuất NL dệt,SOI-TP14,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,530.92,KG,530.92,17339.1,9205676,62114,15512,CTY00001,,Xưởng dệt,,SO2305-0007,LSX05/23-060,VAICUON,,THACUTAU127080080078TRDU,,2213
D1,45201,D110/23-0001,,5200107320000000,Yellow Horse,KQC001,CM2,2679,CM2,2679,320,857280,1523,1523,NCC010007,,,,,,,,,,
D1,45201,D110/23-0002,,5200106260000000,PANIFICACION,KQC001,CM2,5369,CM2,5369,320,1718080,1523,1523,NCC010007,,,,,,,,,,
D1,45201,D110/23-0003,,52001051000000000,HARINA EXTRA FINAL DEL VALLE,KQC001,CM2,2584,CM2,2584,320,826880,1523,1523,NCC010007,,,,,,,,,,
D1,45201,D110/23-0004,,5200109060000000,Dongwon 122-A,KQC001,CM2,2079,CM2,2079,320,665280,1523,1523,NCC010007,,,,,,,,,,
D1,45201,D110/23-0005,,52001051220000000,DONGWON 121A,KQC001,CM2,2324,CM2,2324,320,743680,1523,1523,NCC010007,,,,,,,,,,
D1,45201,D110/23-0006,,0909400030000000,BAO TAY LEN ,KQC001,Đôi,1000,Đôi,1000,5000,5000000,1524,1524,NCC010053,,,,,,,,,,
D1,45201,D110/23-0007,,0909400020000000,BAO TAY CAO SU ,KQC001,DOI,60,DOI,60,18000,1080000,1524,1524,NCC010053,,,,,,,,,,
PX,45201,PX10/23-0001,Yêu cầu xuất nl chỉ may  ngày 2/10/2023,040010006000000,"Chỉ may cotton C9, màu trắng. [2400D, 9.0kgF, 16%]",KNL002,KG,41.05,KG,41.05,47860.76,1964684,627215,1522,CTY00001,,Phân xưởng 8,,SO2309-0044,LSX09/23-034,BAOBT,,CMA051905TDDEL.HAEX,,2217
PX,45201,PX10/23-0002,Yêu cầu xuất NL Sợi X01 ca đêm 30/09/2023-ngày 01/10-2023,HAT-PPKC-HP1106K,Hạt nhựa PP kéo sợi HP1106K,KNL001,Kg,1953.88,Kg,1953.88,21340.18,41696153,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2303-0029,LSX08/23-053,SOI,,SOI-SMY1,,2211
PX,45201,PX10/23-0002,Yêu cầu xuất NL Sợi X01 ca đêm 30/09/2023-ngày 01/10-2023,HAT-PPKC-HP1106K,Hạt nhựa PP kéo sợi HP1106K,KNL001,Kg,1827,Kg,1827,21340.18,38988511,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2308-0047,LSX08/23-072,SOI,,SOI-SP21-HD,,2211
PX,45201,PX10/23-0002,Yêu cầu xuất NL Sợi X01 ca đêm 30/09/2023-ngày 01/10-2023,HAT-TACKS,Hạt Taical kéo sợi,KNL001,KG,532.88,KG,532.88,6427.81,3425252,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2303-0029,LSX08/23-053,SOI,,SOI-SMY1,,2211
PX,45201,PX10/23-0002,Yêu cầu xuất NL Sợi X01 ca đêm 30/09/2023-ngày 01/10-2023,HAT-TACKS,Hạt Taical kéo sợi,KNL001,KG,608.99,KG,608.99,6427.81,3914473,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2308-0047,LSX08/23-072,SOI,,SOI-SP21-HD,,2211
PX,45201,PX10/23-0002,Yêu cầu xuất NL Sợi X01 ca đêm 30/09/2023-ngày 01/10-2023,SUI-HDPE,Sủi HDPE.,KNL001,KG,24.35,KG,24.35,13920.49,338964,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2308-0047,LSX08/23-072,SOI,,SOI-SP21-HD,,2211
