Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI703,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 703 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45260,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI704,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 704 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45260,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI705,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 705 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45260,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI706,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 706 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45260,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI707,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 707 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45266,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI708,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 708 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45266,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI709,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 709 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45266,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI710,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 710 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45266,
45251,SO2311-0031,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI711,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 711 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,45266,
45252,SO2311-0033,"BANGKOK POLYSACK CO.,LTD",THACUTLA107080080057TRDU,"Manh PP, trắng đục, K107cm, MĐ: 8.0x8.0, TL: 57.78g/m. [6000m/cuộn; 54gsm]",M,KG,4440000,256543.2,45289,
