Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO11/23-008,Nguyễn Thị Đào,45232.321527777778,PR23/11-006,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,59,KG,590,,VND,415000,1958800,24485000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO12/23-035,Nguyễn Thị Đào,45273.132638888885,PR23/12-031,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO12/23-036,Nguyễn Thị Đào,45273.279861111107,PR23/12-031,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,,VND,225000,0,1125000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO12/23-036,Nguyễn Thị Đào,45273.279861111107,PR23/12-031,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,8,KG,80,,VND,225000,0,1800000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO11/23-009,Nguyễn Thị Đào,45232.325694444444,PR23/11-006,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,KG,60,,VND,525000,0,1575000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO11/23-012,Nguyễn Thị Đào,45236.15347222222,PR23/11-011,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO10/23-039,Nguyễn Thị Đào,45215.290277777778,PR23/10-037,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ĐẶNG THIÊN PHÁT
PO12/23-013,Nguyễn Thị Đào,45266.142361111109,PR23/12-009,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO12/23-048,Nguyễn Thị Đào,45278.154166666667,PR23/12-042,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO10/23-039,Nguyễn Thị Đào,45215.290277777778,PR23/10-037,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ĐẶNG THIÊN PHÁT
