Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
7/30/2023,O01,Ngày,,,SO2308-0005,MP23/08-011,LSX07/23-079,HAT-SUIMAU(TAH00059),Tạo hạt sủi màu beige (TAH00059),0,0,2080,0,0,-2080,0,,,Không đạt
10/5/2023,O01,Ngày,,,SO2309-0068,MP23/10-010,LSX10/23-015,HAT-SUITAPMAU,SỦI TẠP MÀU,0,0,2800,0,0,-2800,0,,,Không đạt
7/12/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-DEN,Sủi đen,0,0,3000,0,0,-3000,0,,,Không đạt
12/6/2023,O01,Ngày,,,SO2310-0039,MP23/10-036,LSX10/23-050,SUI-MAUCAM,Sủi màu CAM,0,0,2040,0,0,-2040,0,,,Không đạt
9/25/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1210,0,0,-1210,0,,,Không đạt
8/5/2023,O01,Ngày,Nguyễn Thanh Tùng,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1800,0,0,-1800,0,,,Không đạt
8/8/2023,O01,Ngày,Nguyễn Thanh Tùng,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,800,0,0,-800,0,,,Không đạt
12/8/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1440,0,0,-1440,0,,,Không đạt
8/12/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,2960,0,0,-2960,0,,,Không đạt
10/5/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,600,0,0,-600,0,,,Không đạt
7/27/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUCAM,Sủi màu CAM,0,0,1040,0,0,-1040,0,,,Không đạt
7/12/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,2040,0,0,-2040,0,,,Không đạt
10/5/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,720,0,0,-720,0,,,Không đạt
10/3/2023,O01,Ngày,,,SO2307-0024,MP23/07-030,LSX07/23-029,SUI-MAUDO,Sủi màu đỏ.,0,0,80,0,0,-80,0,,,Không đạt
12/30/2023,O01,Ngày,,,SO2312-0054,MP23/12-052,LSX12/23-064,SUI-RUALAI,"Hạt nhựa đổ, rửa ó lại",0,0,400,0,0,-400,0,,,Không đạt
8/16/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,2280,0,0,-2280,0,,,Không đạt
8/12/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,560,0,0,-560,0,,,Không đạt
8/14/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,4160,0,0,-4160,0,,,Không đạt
7/12/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,SỦI TẠP MÀU,0,0,2320,0,0,-2320,0,,,Không đạt
7/14/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TAPMAU,Sủi tạp màu.,0,0,80,0,0,-80,0,,,Không đạt
7/14/2023,O01,Ngày,,,SO2307-0003,MP23/07-004,LSX07/23-005,SUI-TRANG,Sủi trắng,0,0,4080,0,0,-4080,0,,,Không đạt
8/21/2023,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4480,0,0,-4480,0,,,Không đạt
9/6/2023,O01,Ngày,,,SO2307-0068,MP23/07-067,LSX07/23-068,SUI-TRANG,Sủi trắng,0,0,4600,0,0,-4600,0,,,Không đạt
