Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO07/23-061,Nguyễn Thị Đào,7/21/2023,PR23/07-045,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,2,KG,20,,VND,230000,0,460000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO07/23-087,Nguyễn Thị Đào,7/28/2023,PR23/07-058,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO08/23-061,Y Nghe Knul,8/18/2023,PR23/08-028,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,15,KG,15,,VND,415000,498000,6225000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO08/23-061,Y Nghe Knul,8/18/2023,PR23/08-003,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,10,KG,10,,VND,415000,332000,4150000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO08/23-074,Nguyễn Thị Đào,8/21/2023,PR23/08-043,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,25,KG,25,,VND,415000,830000,10375000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO09/23-040,Y Nghe Knul,9/12/2023,PR23/09-032,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO09/23-057,Y Nghe Knul,9/18/2023,PR23/09-042,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,50,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO11/23-008,Nguyễn Thị Đào,11/2/2023,PR23/11-006,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,59,KG,590,,VND,415000,1958800,24485000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO12/23-035,Nguyễn Thị Đào,12/13/2023,PR23/12-031,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,,VND,415000,1660000,20750000,NCC010041,CÔNG TY TNHH DAE DUK BAND VIỆT NAM
PO12/23-036,Nguyễn Thị Đào,12/13/2023,PR23/12-031,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,,VND,225000,0,1125000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
