Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI638,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 638 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/13/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI639,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 639 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/13/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI640,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 640 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/13/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI641,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 641 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/13/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI642,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 642 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/18/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI643,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 643 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/18/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI644,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 644 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/18/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI645,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 645 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/18/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI646,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 646 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,9/18/2023,
8/23/2023,SO2308-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050080G080INT.UYGL068,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE (THAI LIWAYWAY) - CODE 068 (2+0) (Mã: 5000467). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập].",Cái,KG,5000,400,8/28/2023,
