Mã số,Mặt hàng,Đvt (2),SL (2),Đvt (1),SL (1),Date
0924300062000000,Khuôn Dập Hình Tròn Đường Kính 30cm,CAI,2,CAI,2,03/04/2025
0924300090000000,TAY KẸP KHUÔN HÀNG HÓA NHIỆT,CAI,1,CAI,1,03/04/2025
0926400170000000,Đá mài cốc V14-16-CN24-80GV14 100X50X20,CAI,13,CAI,13,03/04/2025
0926400230000000,Giấy nhám vải AA-100,M,95,M,95,03/04/2025
0926400240000000,Đá mài máy cầm tay phi 180mm,VIEN,15,VIEN,15,03/04/2025
0926400250000000,Đĩa nhám xếp máy cầm tay phi 180mm,VIEN,15,VIEN,15,03/04/2025
0926400270000000,T34-21,CAI,1,CAI,1,03/04/2025
0926600030000000,CHÂN VỊT NHỰA MÁY MAY SUNTA (THEO MẪU),CAI,197,CAI,197,03/04/2025
0926600140000000,Rơle 5 chân JD2912 12V-40A + Đế,BO,1,BO,1,03/04/2025
0927200040000000,Cụm zên điều khiển móc 033022A,CAI,1,CAI,1,03/04/2025
0927600062000000,Module.Encoder - Mã số ( ZME - 01173A ),CAI,3,CAI,3,03/04/2025
0927600063000000,Module.Encoder - Mã số ( Z3U - 02312 ),CAI,9,CAI,9,03/04/2025
5200110580000000,Quạt vuông NIS-28080-HB2-230VAC-50/60Hz-110/145W,CAI,1,CAI,1,03/04/2025
5200110650000014,Thuốc phosphalugel,HOP,2,HOP,2,03/04/2025
904500230000000,Sơn MATIT vàng  ATM 1KG,HOP,4,HOP,4,03/04/2025
904800610000000,Cốt răng xéo hộp số lô thu máy dệt Hengly : phi 35x97mm-  10 răng- lỗ cốt phi 14 - then 5x3mm ( theo mẫu ),CAI,2,CAI,2,03/04/2025
904800620000000,Cốt răng xéo hộp số lô thu máy dệt Hengly : phi 15x 78mm-  9 răng - then 5x3mm ( theo mẫu ).,CAI,18,CAI,18,03/04/2025
904800630000000,Bánh răng xéo hộp số lô thu máy dệt Hengly : phi 63x 15mm -  57 răng -lỗ cốt phi 14mm then 5x3mm ( theo mẫu ),CAI,4,CAI,4,03/04/2025
904800650000000,Cốt răng xéo hộp số lô đỉnh máy dệt RX6.1 : phi 126x120mm-  100 răng- lỗ cốt phi 35 - then 10x4 mm ( theo mẫu ),CAI,19,CAI,19,03/04/2025
906600310000000,"Nắp chụp bánh xe lưng thoi, Mã: Z4U-01602",CAI,400,CAI,400,03/04/2025
922300070000000,Vòng đai xiết bu ly M134xP3.0 ( gia công theo mẫu),CAI,1,CAI,1,03/04/2025
5200110830000000,Pa lăng lắc tay cáp 1 tấn,CAI,1,CAI,1,03/04/2025
5200110880000000,"MỎ LẾT CÁN TRƠN 150MM, 6 inch",CAI,1,CAI,1,03/04/2025
5200111100000000,Chổi than động cơ trợ lực xe nâng KT: 25x9mm ( theo mẫu),CAI,16,CAI,16,03/04/2025
5200111160000000,Cáp thông ống chiller đường kính ngoài phi 8 - dài 3000mm.,CAI,1,CAI,1,03/04/2025
0906101020000000,Nối nhựa PVC 34 giảm 27,CAI,2,CAI,2,03/04/2025
0906100290000000,Nối nhựa PVC BM 1 đầu ren ngoài 34,CAI,16,CAI,16,03/04/2025
0906100300000000,Nối nhựa PVC ren ngoài phi 42 - ống 42,CAI,15,CAI,15,03/04/2025
0917400090000000,"Băng keo lụa (cao su non) 0,075mm*1/2*5-10mm",CUON,10,CUON,10,03/04/2025
0904300130000000,T nhựa PVC BM phi 27.,CAI,7,CAI,7,03/04/2025
NOI156,Nối thẳng nhựa 60,CAI,3,CAI,3,03/04/2025
5200110470000000,Rèm-màn nhựa PVC màu vàng (Theo kích thước),CAI,7,CAI,7,03/04/2025
5200110060020000,"Pallet gỗ xuất khẩu hàng hóa; kích thước = 90.0cm (W) x 120.0cm (L) x 15.0cm (H); pallet 4 chiều; tải trọng nâng 1000kg, tải trọng tĩnh 2000kg; hun trùng tiêu chuẩn ISPM15; độ ẩm <20%, gỗ mới.",CAI,146,CAI,146,03/04/2025
0901900080000000,Bánh xe chết phi PU 100 x 40 mm,CAI,1,CAI,1,03/04/2025
0901900340000000,BÁNH XE CÔN DÀI NOVA 6. Mã số: 1140165000,CAI,400,CAI,400,03/04/2025
0901900360000000,BÁNH XE CÔN NGẮN NOVA 6 Mã: 11158200900,CAI,195,CAI,195,03/04/2025
0901900380000000,BÁNH XE LỆCH TÂM NOVA/RX6.1- NOVA6994514,CAI,340,CAI,340,03/04/2025
0902100530000000,Dây cu roa 3VX 600 -,SOI,5,SOI,5,03/04/2025
0902700150000000,ĐỒNG HỒ ĐO DZEM ĐIỆN TỬ,CAI,1,CAI,1,03/04/2025
0904500090000000,Sơn dầu màu xám,Kg,3,Kg,3,03/04/2025
0904500150000000,sơn xịt xám,Lon,2,Lon,2,03/04/2025
0904800030000000,CỐT BÁNH XE LƯNG THOI NOVA6 mã : NOVA6 495902,CAI,25,CAI,25,03/04/2025
0905200110000000,ĐAI DƯỚI RX6.1(12 lỗ) Z24-02523A,CAI,510,CAI,510,03/04/2025
0905300250000000,bộ đầu dao ren ống 21-49mm.,BO,1,BO,1,03/04/2025
0905300490000000,Dao rọc giấy (loại lớn),BO,2,BO,2,03/04/2025
0905600040000000,Sên đơn 40 (08B),M,117,M,117,03/04/2025
0905600240000000,Sensor báo màu SICK.GTE10-N4211,CAI,2,CAI,2,03/04/2025
0905700160000000,PHỚT 20X35,CAI,16,CAI,16,03/04/2025
0905700200000000,PHỚT 25x40,CAI,16,CAI,16,03/04/2025
0905700380000000,PHỚT 45X65,CAI,4,CAI,4,03/04/2025
0905700390000000,PHỚT 50X68,Cái,12,Cái,12,03/04/2025
0905700400000000,Phớt chặn dầu chịu nhiệt 50x72x10mm,Cái,18,Cái,18,03/04/2025
0905700430000000,Phớt chặn dầu chịu nhiệt 60x85mm,CAI,2,CAI,2,03/04/2025
0905700450000000,Phớt chặn dầu chịu nhiệt  65X85mm,CAI,14,CAI,14,03/04/2025
0906100490000000,NỐI THẲNG HƠI 12/10,CAI,13,CAI,13,03/04/2025
0907000040000000,MĂNG SÔNG 42 (rắc co),CAI,5,CAI,5,03/04/2025
0907400020000000,Ổ Khoá Việt Tiệp Loại Lớn 89 x 62 Ống Phi 8mm (Khoá Chìa),CAI,1,CAI,1,03/04/2025
0909400020000000,BAO TAY CAO SU ,DOI,20,DOI,20,03/04/2025
0909700010000000,Vải lau,Kg,130,Kg,130,03/04/2025
0911600010000000,Thắng càng bù sau RX6.1.  Mã: Z4C-05383,CAI,110,CAI,110,03/04/2025
0914700030000000,PIN -  CR2032,CAI,10,CAI,10,03/04/2025
0916900040000000,MỠ BÒ SKF LGMT 3/5,Kg,14,Kg,14,03/04/2025
0917400040000000,BĂNG KEO 2 MẶT (QUAN HAO-DÙNG CHO KHÂU IN),CUON,216,CUON,216,03/04/2025
0917400060000000,Băng keo điện Nano 1.8cm - 20 yard (màu đen),CUON,61,CUON,61,03/04/2025
0917400130000000,Băng keo trong 5cm,CUON,40,CUON,40,03/04/2025
0918500100000000,GỐI ĐỠ ĐẦU DÙ TRƯỚC - BEARING BLOCK - P ( FRONT ) - MÃ : NOVA6 494501,CAI,120,CAI,120,03/04/2025
0920600140000000,DÂY TRƠN CUỐN LÔ BẢN 50MM DÙNG CHO MÁY LOHIA ( theo mẫu ),M,200,M,200,03/04/2025
0920600240000000,Dây băng tải gầu bản 60mm.,M,20,M,20,03/04/2025
0923700070000000,KEO DÁN ROĂNG,Lọ,3,Lọ,3,03/04/2025
0926400080000000,Bánh nhám xếp 100mm.,CAI,45,CAI,45,03/04/2025
CHD011,CHỤP SUỐT RX6.1 Mã: VYC-01121B,CAI,188,CAI,188,03/04/2025
SEN001,SÊN ĐÔI 40,M,19,HOP,-5,03/04/2025
VAN084,Van thau phi 27,CAI,20,CAI,20,03/04/2025
0916100070000000,Sơn dầu bạch tuyết màu vàng 3kg/thùng.,Hộp,3,Hộp,3,03/04/2025
0902100640000000,Dây cu roa Optibelt C99,SOI,5,SOI,5,03/04/2025
0903901170000000,Cuộn dây điện từ Airtac DC 24V - 30W,CAI,10,CAI,10,03/04/2025
902207720000000,Quạt giải nhiệt biến tần KD2408 PTS1 - 6A DC24V - 2.6W,CAI,7,CAI,7,03/04/2025
0902209530000000,Loadcell Model: L6N - C3 - 50kg - 9B6 - GE  (dây dài 5m),CAI,4,CAI,4,03/04/2025
0908601160000000,"Bánh răng nhựa POM màu trắng phi 50 x 12.5mm - M=2, Z=24 ( GC theo bản vẽ )",CAI,2,CAI,2,03/04/2025
090570175000000,Phớt dầu 15x32,CAI,10,CAI,10,03/04/2025
BON009,Bóng đèn UV diệt côn trùng F10 T8/BL 07/19,CAI,40,CAI,40,03/04/2025
0902209540000000,Ổ cắm đế nổi loại 3 ổ SINO,CAI,2,CAI,2,03/04/2025
0902209359000000,Cầu đấu trung tính 15P + đế nhựa,CAI,10,CAI,10,03/04/2025
0902209358000000,Phích cắm cái ĐQEPF2PN điện quang,CAI,8,CAI,8,03/04/2025
0902209357000000,Phích cắm điện đực chịu nhiệt PC 2A-02 điện quang,CAI,27,CAI,27,03/04/2025
0902100320000000,DÂY CU ROA SPB2360,CAI,12,CAI,12,03/04/2025
0905300090000000,DAO BẰM PHẾ MÁY Ó LỚN 8 TẤC,CAI,30,CAI,30,03/04/2025
0919600780000000,Lưỡi dao cắt nhựa công nghiệp ( theo mẫu ),CON,20,CON,20,03/04/2025
0919600790000000,Dây cắt nhiệt phi 2mm,KG,10,KG,10,03/04/2025
0924400040000000,KHÓA SÊN ĐÔI 40.,CAI,55,CAI,55,03/04/2025
0904600380000000,Sên 3 - 40,HOP,5,HOP,5,03/04/2025
0904600400000000,Súng xịt hơi cán nhựa cao cấp AK - 1016 - vòi dài,CAI,9,CAI,9,03/04/2025
5200111190000000,Vòng sin phi ngoài 40 x 2mm,CAI,39,CAI,39,03/04/2025
0919600840000000,"Buly 2 rãnh - bản B - phi 127mm , cốt phi 32 - then 10x5mm",CAI,1,CAI,1,03/04/2025
0906200870000000,ỐNG LĂN ĐAI DÀI LH (NOVA6+LSL6) (Nova6 076509),CAI,936,CAI,936,03/04/2025
0906200880000000,ỐNG LĂN ĐAI NGẮN LH mã LSL6074824,CAI,112,CAI,112,03/04/2025
0923800010000000,KẸP ĐAI NGOÀI LOHIA (Nova6 076513),CAI,468,CAI,468,03/04/2025
0901900320000000,BÁNH XE CAM LSL (CAM ROLLER-S DIA-45mm) mã: LSL6 062506,CAI,30,CAI,30,03/04/2025
0901900280000000,BÁNH XE BỘ ĐẨY NHỰA NOVA6-082301,CAI,78,CAI,78,03/04/2025
0905600470000000,SENSOR LÔ ĐỈNH NOVA NBB2-8GM30-E2-V1  (Mã: 11981028000),CAI,5,CAI,5,03/04/2025
0902203810000000,Card INVETER LS20 (Programed LS20 Inverter)- Mã: 11147250436,CAI,22,CAI,22,03/04/2025
0901101570000000,Bạc đạn HK 1516,CAI,9,CAI,9,03/04/2025
0901000390000000,"ỐNG SẮT CUỘN JUMBO ; phi ngoài 114 mm , dày 3.5 mm , chiều dài 2200mm",ONG,30,ONG,30,03/04/2025
0920600080000000,"Dây HDPE, trắng đục, 1.0g/m. [Luồn miệng bao DW]",KG,228.96,M,228961.6,03/04/2025
ONGNHUA-K53,"Ống nhựa Phi trong 8 inch, độ dày 9.7mm, dài 53 cm",Cái,16,Cái,16,03/04/2025
ONGNHUA-K66,ỐNG NHỰA BM 225X660,Cái,22,Cái,22,03/04/2025
ONGNHUA-K72,"Ống nhựa Phi trong 8 inch, độ dày 9.7mm, dài 72 cm",Cái,56,Cái,56,03/04/2025
0923700200000000,Bulong M6x20,CON,180,CON,180,03/04/2025
0923700220000000,Bulong M10x40 cổ vuông,CON,50,CON,50,03/04/2025
0904600010000000,TÁN 10LY,CAI,60,CAI,60,03/04/2025
0090610240000000,Long đền phi lỗ 10,CON,200,CON,200,03/04/2025
0919400020000000,Màng co trắng trong.(50cm),KG,21,KG,21,03/04/2025
0901900030000000,BÁNH XE KEO (bánh cam máy may),Cái,9,Cái,9,03/04/2025
0901900040000000,BÁNH XE NÂNG TAY phi 80x90mm,Cái,1,Cái,1,03/04/2025
0901900180000000,BÁNH XE KÉO MÁY MAY SIRUBA,Cái,6,Cái,6,03/04/2025
0901900290000000,BÁNH XE BỘ ĐẨY DS,Cái,78,Cái,78,03/04/2025
0901900300000000,BÁNH XE BỘ ĐẨY SẮT LOHIA,Cái,62,Cái,62,03/04/2025
0901900400000000,BÁNH XE BỤNG THOI CS. ( Theo mẫu),Cái,50,Cái,50,03/04/2025
0901900430000000,BANH XE THOI DS/ CS,Cái,70,Cái,70,03/04/2025
0901900440000000,Bánh xe bộ đãy CS,Cái,50,Cái,50,03/04/2025
0901900470000000,BÁNH XE CÔN NGẮN RX6.1,Cái,6,Cái,6,03/04/2025
0901900480000000,Bánh xe càng Bung RX6.1,Cái,15,Cái,15,03/04/2025
0901900490000000,BÁNH XE THU CHỈ loại rãnh U Mã:  LS 20414113,Cái,322,Cái,322,03/04/2025
0902100010000000,DÂY CU ROA 126,Cái,4,Cái,4,03/04/2025
0902100040000000,DÂY CU ROA 850H - bản 45mm,Cái,10,Cái,10,03/04/2025
0902100050000000,DÂY CU ROA A120,Cái,4,Cái,4,03/04/2025
0902100060000000,DÂY CU ROA A29,Cái,10,Cái,10,03/04/2025
0902100070000000,DÂY CU ROA A38,Cái,4,Cái,4,03/04/2025
0902100090000000,DÂY CU ROA A76,Cái,42,Cái,42,03/04/2025
0902100100000000,DÂY CU ROA B114,Cái,11,Cái,11,03/04/2025
0902100110000000,DÂY CU ROA B102,Cái,5,Cái,5,03/04/2025
0902100120000000,DÂY CU ROA B110,Cái,16,Cái,16,03/04/2025
0902100130000000,DÂY CU ROA B120,Cái,1,Cái,1,03/04/2025
0902100150000000,DÂY CU ROA B44,Cái,1,Cái,1,03/04/2025
0902100180000000,DÂY CU ROA B57,Cái,13,Cái,13,03/04/2025
0902100200000000,DÂY CU ROA B86,Cái,4,Cái,4,03/04/2025
0902100210000000,DÂY CU ROA B88,Cái,4,Cái,4,03/04/2025
0902100220000000,DÂY CU ROA B91,Cái,10,Cái,10,03/04/2025
0902100230000000,DÂY CU ROA B98,Cái,5,Cái,5,03/04/2025
0902100260000000,DÂY CU ROA MÁY MAY 310H,Cái,3,Cái,3,03/04/2025
0902100300000000,DÂY CU ROA XPA1932,Cái,7,Cái,7,03/04/2025
0902100310000000,DÂY CU ROA B136,Cái,2,Cái,2,03/04/2025
0902100330000000,DÂY CU ROA SPC3250,Cái,5,Cái,5,03/04/2025
0902100340000000,DÂY CU ROA SPZ 1500,Cái,35,Cái,35,03/04/2025
0902100360000000,DÂY CU ROA XPA 1957,Cái,26,Cái,26,03/04/2025
0902100370000000,dây cu roa B108,Sợi,1,Sợi,1,03/04/2025
0902100390000000,dây cu roa MFM36,Sợi,10,Sợi,10,03/04/2025
0902100400000000,Dây cu roa a35,Sợi,1,Sợi,1,03/04/2025
0902100450000000,Dây curoa B32,Sợi,6,Sợi,6,03/04/2025
0902100460000000,DÂY CU ROA XPA 2800,Cái,4,Cái,4,03/04/2025
0902100470000000,DÂY CU ROA XPZ 1037,Cái,20,Cái,20,03/04/2025
0902100480000000,dây cu roa B72,Sợi,1,Sợi,1,03/04/2025
0902100490000000,dây cu roa 3VX710 (máy nén khí FUSHENG- SA37A),Sợi,6,Sợi,6,03/04/2025
0902100520000000,dây cu roa B81,Sợi,12,Sợi,12,03/04/2025
0902100540000000,dây cu roa CFM 600,Sợi,5,Sợi,5,03/04/2025
0902100560000000,dây cu roa C3759,Sợi,1,Sợi,1,03/04/2025
0902100570000000,dây cu roa FM24,Sợi,6,Sợi,6,03/04/2025
0902100580000000,dây cu roa 360H,Sợi,3,Sợi,3,03/04/2025
0902100600000000,Dây curoa  B70,Cái,3,Cái,3,03/04/2025
0902100630000000,DÂY CUROA  A150,Sợi,6,Sợi,6,03/04/2025
0902100690000000,Dây curoa XPC 2800,Sợi,17,Sợi,17,03/04/2025
0902100700000000,Dây curoa A85,Sợi,4,Sợi,4,03/04/2025
0902100710000000,Dây curoa RECMF-8330,Sợi,10,Sợi,10,03/04/2025
0902100730000000,Dây cu B123,Sợi,8,Sợi,8,03/04/2025
0902100740000000,Dây Cu roa A45,Sợi,4,Sợi,4,03/04/2025
0902200010000000,Cảm biến lực căng DMS-WEIGHING CELL LOAD SENSOR/100kg Mã số: AEJM-01204,Cái,2,Cái,2,03/04/2025
0902200070000000,CT ĐO DÒNG 200/5A ,Cái,3,Cái,3,03/04/2025
0902200330000000,CB 2 CỰC 20A ,Cái,2,Cái,2,03/04/2025
0902200440000000,PHÍCH CẮM ĐIỆN,Cái,6,Cái,6,03/04/2025
0902200540000000,Cảm biến lực căng Load cell 20Kg - MODE: L1P3 - CLASS: 002,cái,2,cái,2,03/04/2025
0902200580000000,PLC NOVA6 (CWM Controller LC16) V01r07 –Mã: 11147251681,Cái,1,Cái,1,03/04/2025
0902200650000000,Encoder optical 2ch 100PPR 8mm Avago HEDS-5500 -13 ( Mã: 14450108000 ),Cái,39,Cái,39,03/04/2025
0902200670000000,Cảm biến lực căng Load cell 50Kg ( theo mẫu),Cái,18,Cái,18,03/04/2025
0902200710000000,PLC NOVA6 (CWM Controller LC16) V01r05 –Mã: 11147251681,Cái,2,Cái,2,03/04/2025
0902200720000000,RƠ LAY 8 chân dẹt nhỏ 12 VDC,Cái,5,Cái,5,03/04/2025
0902200980000000,MCB-3P-6KA-20A-LS,Cái,1,Cái,1,03/04/2025
0902201020000000,RƠ LAY IDEC 8 chân dẹt nhỏ 24VDC-5A,Cái,19,Cái,19,03/04/2025
0902201160000000,Relay  IDEC - RY4S trung gian 8 chân lớn - 24 VDC - 10A + đế.,Cái,13,Cái,13,03/04/2025
0902201290000000,RƠ LAY 8 chân lớn 24 VAC,Cái,9,Cái,9,03/04/2025
0902201320000000,Cảm biến quang SICK WL12G - 3W2572.,Cái,4,Cái,4,03/04/2025
0902201380000000,MÀN HÌNH ĐiỀU KHIỂN  MS:14210100070,Bộ,9,Bộ,9,03/04/2025
0902201500000000,BỘ NGUỒN ĐiỀU KHIỂN DÀN THU PS20 Mã: 11147250193,Cái,8,Cái,8,03/04/2025
0902201730000000,Công tắc chuyển  mạch AMPE,Cái,5,Cái,5,03/04/2025
0902201800000000,Cảm biến quang BR200-DDTN,Cái,4,Cái,4,03/04/2025
0902201810000000,Công tắc gặt sắt CSR23B,Cái,20,Cái,20,03/04/2025
0902201900000000,Đầu dò nhiệt độ PT100 Class B-M12x1.5 Đầu dò 5mm- Cáp dài 3 mét.(dạng khoen tròn đầu cos),Cái,2,Cái,2,03/04/2025
0902201910000000,Công tắc xoay 3 vị trí Hanyoung Nux _SELECTOR SWITCH CR253_25mm,Cái,2,Cái,2,03/04/2025
0902201960000000,Thanh DOMINO -200A-4P,Cái,21,Cái,21,03/04/2025
0902202040000000,"Đo lực căng (Load cell 250Kg with connector, L-3.0 mt) –Mã: 11147255600",Cái,10,Cái,10,03/04/2025
0902202090000000,RƠ LAY ĐIỀU KHIỂN NHIỆT LH7 MS14003505003 (1P ON/OFF SSR input supply 10-32V DC 50A AC51),Cái,8,Cái,8,03/04/2025
0902202100000000,CÔNG TẮC HÀNH TRÌNH D4V-8107Z,Cái,4,Cái,4,03/04/2025
0902202280000000,RƠ LAY TSR-10DA-WL-H.,Cái,1,Cái,1,03/04/2025
0902202490000000,MCB 2P - 10A - LS,Cái,15,Cái,15,03/04/2025
0902202580000000,Công tắc gạt 2 chân - TAIWAN -15A,Cái,360,Cái,360,03/04/2025
0902202760000000,Rulô lăn sơn 10cm,Cây,2,Cây,2,03/04/2025
0902202950000000,Biến Tần FR-D740-080-EC .380V-3.7KW,Cái,1,Cái,1,03/04/2025
0902202970000000,Biến tần IVT-CHF100A-380V-4Kw,Cái,1,Cái,1,03/04/2025
0902203000000000,Biến tần misubishi FR-D740-1.5KW,Cái,1,Cái,1,03/04/2025
0902203020000000,Biến tần DELTA Model: VFD037EL43A,Cái,1,Cái,1,03/04/2025
0902203160000000,BiẾN THẾ DÀN THU 380V-220V/ 3PHA 2KVA ,Cái,4,Cái,4,03/04/2025
0902203190000000,BiẾN THẾ input 0v-460v output 0v-24v-0v-220v-2100VA,Cái,3,Cái,3,03/04/2025
0902203250000000,BiẾN THẾ 220V - 140W.,Cái,1,Cái,1,03/04/2025
0902203280000000,Biến trở VISHAY SPECTROLL-UK- 10 Vòng 1K,Cái,17,Cái,17,03/04/2025
0902203380000000,BẢO VỆ PHA *RM22 TR33),Cái,1,Cái,1,03/04/2025
0902203390000000,Bảo vệ pha RM4TG20,Cái,6,Cái,6,03/04/2025
0902203580000000,Cáp mạng chống nhiễu,THUNG,1,THUNG,1,03/04/2025
0902203670000000,Card điều khiển LoadSell NOVA6-NOVA61-AXL (Amplifier Card For Load Cell)- Mã: 11147250081,Cái,15,Cái,15,03/04/2025
0902203720000000,Card tín hiệu máy kéo sợi LOHIA1 (Ang.I/P mod -10to+10V/4-20mA 15bit 04ch) – Mã: 14246500400,Cái,3,Cái,3,03/04/2025
0902203790000000,Card điều khiển đồng bộ giàn thu máy kéo sợi LOHIA (Gateway Card With Software NW) –Mã: 11147251320,Cái,1,Cái,1,03/04/2025
0902203830000000,Card báo hết chỉ ngang AXL6 (weft end & Latch card For loom) mã: 11147250177,Cái,1,Cái,1,03/04/2025
0902203840000000,Card báo hết chỉ dọc AXL6 (warp sensor card)) mã: 11147250166,Cái,9,Cái,9,03/04/2025
0902203850000000,CARD DIỀU KHIỂN MÁY SỢI LOHIA MS: 14281100422 (PT100 I/P temperature mod 4ch BR X20AT4222),Cái,11,Cái,11,03/04/2025
0902203870000000,Bàn phím nút nhấn RX6.1 X2X KEYBOARD UNIT Mã số: AIVS-01343,Cái,13,Cái,13,03/04/2025
0902203890000000,Chì hàn Alpha USA 63Sn37PB 0.8mm,Cuộn,1,Cái,1,03/04/2025
0902203980000000,CÔNG TẮC VUÔNG 6 CHÂN,Cái,8,Cái,8,03/04/2025
0902204470000000,Dây điện tiếp địa bọc vỏ sọc vàng 1C x 70MM2,Mét,115,Mét,115,03/04/2025
0902204900000000,"Đèn báo Led Hanyoung Nux MRP-TA0, Ø22, 100~240VAC, màu xanh dương",Cái,2,Cái,2,03/04/2025
0902204920000000,"Đèn báo Led Hanyoung Nux MRP-TA0, Ø22, 100~240VAC, màu vàng",Cái,2,Cái,2,03/04/2025
0902204930000000,Đèn xoay 220v TR-012,Cái,1,Cái,1,03/04/2025
0902204950000000,Đèn led máy may,Cái,1,Cái,1,03/04/2025
0902205010000000,ĐÈN BÁO PHA PHI 22-220V ĐỎ (Schneider),Cái,7,Cái,7,03/04/2025
0902205440000000,ĐiỆN TRỞ NHIỆT 230v/500w,Cái,11,Cái,11,03/04/2025
0902205460000000,"ĐIỆN TRỞ NHIỆT Ống Ø9,5x223/230v-750w ",Cái,3,Cái,3,03/04/2025
0902205510000000,ĐiỆN TRỞ NHIỆT VÒNG 415V - 4500W - Phi 320x140( Theo bản vẽ),Cái,2,Cái,2,03/04/2025
0902205570000000,ĐIỆN TRỞ NHIỆT Ống Ø19.5 x 500 /220v-1200w,Cái,4,Cái,4,03/04/2025
0902205580000000,ĐIỆN TRỞ NHIỆT Ống Ø20 x 160mm /230v-450w ( dây liền dài ra 500mm),Cái,28,Cái,28,03/04/2025
0902205600000000,ĐIỆN TRỞ NHIỆT Ống Ø19.5 x 420mm /230v-1500w ( dây liền dài ra 1500mm-bọc lưới chịu nhiệt ),Cái,4,Cái,4,03/04/2025
0902205610000000,ĐIỆN TRỞ NHIỆT Ống Ø16.8 x 210mm /230v-600w,Cái,4,Cái,4,03/04/2025
0902205620000000,ĐIỆN TRỞ NHIỆT Ống Ø16.8 x 220mm đầu dây phi 18.8x13mm /230v-600w,Cái,5,Cái,5,03/04/2025
090220565000000,ĐiỆN TRỞ NHIỆT VÒNG SỨ Ø210x120mm/ 220V-2600W.,Cái,2,Cái,2,03/04/2025
0902205660000000,ĐiỆN TRỞ NHIỆT VÒNG SỨ Ø210x100mm/ 220V-2100W.,Cái,2,Cái,2,03/04/2025
0902205670000000,ĐiỆN TRỞ NHIỆT VÒNG SỨ Ø175x150mm/ 220V-2400W.,Cái,1,Cái,1,03/04/2025
0902205680000000,ĐiỆN TRỞ NHIỆT VÒNG SỨ Ø175x60mm/ 220V-1500W.,Cái,2,Cái,2,03/04/2025
0902205700000000,ĐiỆN TRỞ NHIỆT VÒNG SỨ Ø280x45mm/ 220V-1200W.,Cái,1,Cái,1,03/04/2025
0902205710000000,Điện trở nhiệt ống Ø16.95 x 450mm đầu dây phi 20x50mm /230v-1200w,Cái,4,Cái,4,03/04/2025
0902205740000000,"Điện trở nhiệt vòng - CERAMIC BAND HEATER,3X380V/50HZ,6KW - Mã: 30 27080870",Cái,3,Cái,3,03/04/2025
0902205770000000,"Điện trở nhiệt que - BARREL HEATER,380V/7.5KW(E90) - Mã: 30 27081820",Cái,3,Cái,3,03/04/2025
0902205810000000,"Điện trở nhiệt tấm - ACERAMIC PLATE HEATER, 220V/800W  - Mã: 30 55176300",Cái,1,Cái,1,03/04/2025
0902205830000000,Điện trở nhiệt ống phi 19.7x250mm - 220V/ 1000W,Cái,2,Cái,2,03/04/2025
0902205850000000,Điện trở nhiệt phi 19.5x950mm điện áp 230V-2500W - dây bọc lưới cách nhiệt dài 1500mm  (theo bảng vẽ),Cái,1,Cái,1,03/04/2025
0902205860000000,Điện trở nhiệt vòng phi 75 mm x dài 75 mm -415V/700W,Cái,1,Cái,1,03/04/2025
0902205870000000,Điện trở nhiệt phi 20.85 mm x 140 mm - 240V-450W - Dây bọc lưới dài ra 1500mm,Cây,10,Cây,10,03/04/2025
0902205900000000,Điện trở nhiệt bán nguyệt phi 270x140 - 220V - 2400W ( theo bản vẽ),Cái,4,Cái,4,03/04/2025
0902205920000000,Điện trở nhiệt L phi 13.8x1080mmx2500wx240V,Cái,3,Cái,3,03/04/2025
0902205930000000,VÒNG NHIỆT SỨ 200x85/240V/2000W,Cái,1,Cái,1,03/04/2025
0902205940000000,VÒNG NHIỆT SỨ 290x35/240V/300W,Cái,1,Cái,1,03/04/2025
0902205950000000,VÒNG NHIỆT SỨ 80x110/220V/750W,Cái,6,Cái,6,03/04/2025
0902205960000000,VÒNG NHIỆT SỨ 180x40mm-230v-1500w-ra dây chính giữa,Cái,8,Cái,8,03/04/2025
0902206060000000,Đo lực căng (Load Cell 150 Kg. With Connector) – Mã: 11147250091,Cái,11,Cái,11,03/04/2025
0902206070000000,"Đo lực căng (Load Cell 40 Kg With Connector, Dinamica) – Mã: 11147250095",Cái,7,Cái,7,03/04/2025
0902206230000000,Giắc cắm 3P -đầu dương ( moto thu chỉ DS),Bộ,40,Bộ,40,03/04/2025
0902206270000000,TỤ BÙ RFA - 4- 3 PHA 415V- 50HZ-50KVAR -924UF,Cái,8,Cái,8,03/04/2025
0902206290000000,TIẾP ĐiỂM PHỤ MÔ TƠ CB,Cái,27,Cái,27,03/04/2025
0902206320000000,TỤ ĐiỆN 2MF/400V.VAC,Cái,4,Cái,4,03/04/2025
0902206330000000,TỤ ĐiỆN 3MF/400V.VAC,Cái,30,Cái,30,03/04/2025
0902206360000000,TỤ ĐiỆN CAPACITOR - 5uF/400VAC CL-W10178477,Cái,7,Cái,7,03/04/2025
0902206570000000,TỤ ĐiỆN 16MF/250V.,Cái,8,Cái,8,03/04/2025
0902206600000000,TỤ ĐiỆN 10MF/250V.,Cái,5,Cái,5,03/04/2025
0902206640000000,Tụ điện 2.5MF-400V.AC.,Cái,17,Cái,17,03/04/2025
0902206760000000,T máng điện tráng kẽm 200x100x2.0mm.,CAI,6,CAI,6,03/04/2025
