Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485084TDMFM.PSNT,"Bao PP-In, trắng đục, K48.5x84LL (+/-1), cắt răng cưa 89cm (+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 83.015g/cái (+/-5%), MK: PS-NEUTRAL. (In có tracking)","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.085,27000,2295
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM.PSBIGR,"Bao PP, trắng đục, K48.5x79.0LL(+/-1), cắt răng cưa 84.0cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 78.44gr/cái(+/-2.4), MK: PS-Bicycle Green. [In có tracking] [Tép 100 cái]","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,19000,1520
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM.PSBIBL,"Bao PP, trắng đục, K48.5x79.0LL(+/-1), cắt răng cưa 84.0cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 78.44gr/cái(+/-2.4), MK: PS-Bicycle Blue. (In có tracking) [Tép 100 cái]","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,28000,2240
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,10000,800
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,,3/20/2024,0.08,7000,560
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,13000,1040
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,14000,1120
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,2000,160
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,5000,400
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,8000,640
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),CMA485079TDMFM,"Bao PP, trắng đục, K48.5x79LL(+/-1), cắt răng cưa 84cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 77.44g/cái(+/-2.3).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,,3/20/2024,0.08,1000,80
