Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO03/24-086,Nguyễn Thị Đào,3/29/2024,PR24/03-083,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-067,Nguyễn Thị Đào,3/26/2024,PR24/03-071,5200110840000000,Kìm bấm cos mạng RJ11/12 và RJ45,CAI,40,CAI,40,,VND,9000,0,360000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-063,Nguyễn Thị Đào,3/22/2024,PR24/03-059,5300101542000000,Sơ dừa,BAO,150,BAO,150,,VND,21000,0,3150000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO05/24-095,Nguyễn Thị Đào,5/29/2024,PR24/05-079,5300101542000000,Sơ dừa,BAO,100,BAO,100,,VND,36000,0,3600000,NV041,Võ Công Vũ
PO05/24-038,Nguyễn Thị Đào,5/13/2024,PR24/05-030,5300101542000000,Sơ dừa,BAO,20,BAO,20,,VND,20000,0,400000,NV041,Võ Công Vũ
PO05/24-036,Nguyễn Thị Đào,5/13/2024,PR24/05-027,0700100030000000,nhớt 10,LIT,1000,LIT,1000,,VND,29545.4545,2954546,29545455,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO05/24-107,Nguyễn Thị Đào,5/31/2024,PR24/05-084,0700100030000000,nhớt 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO03/24-023,Nguyễn Thị Đào,3/6/2024,PR24/03-020,0700100030000000,nhớt 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO04/24-013,Nguyễn Thị Đào,4/4/2024,PR24/04-014,0700100030000000,nhớt 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO02/24-007,Nguyễn Thị Đào,2/2/2024,PR24/02-012,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-008,Nguyễn Thị Đào,1/3/2024,PR24/01-011,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-060,Nguyễn Thị Đào,1/22/2024,PR24/01-056,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-025,Nguyễn Thị Đào,1/9/2024,PR24/01-027,0700100070000000,XĂNG A92,LIT,10,LIT,10,,VND,31500,0,315000,NCC010054,HOÀNG QUANG HỢI_ VTXD
PO02/24-005,Nguyễn Thị Đào,2/2/2024,PR24/02-011,0700100070000000,XĂNG A92,LIT,8,LIT,8,,VND,25000,0,200000,NCC010054,HOÀNG QUANG HỢI_ VTXD
PO05/24-006,Nguyễn Thị Đào,5/4/2024,PR24/05-006,0700100070000000,XĂNG A92,LIT,6,LIT,6,,VND,25000,0,150000,NV041,Võ Công Vũ
PO03/24-052,Nguyễn Thị Đào,3/19/2024,PR24/03-042,0700100171000000,Nhớt castrol 20W50.,LIT,36,LIT,36,,VND,83333.33,300000,3000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-070,Nguyễn Thị Đào,3/26/2024,PR24/03-070,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,THUNG,2,,VND,4880000,976000,9760000,NCC010074,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐẠI LỢI
PO03/24-018,Nguyễn Thị Đào,3/6/2024,PR24/03-017,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,THUNG,2,,VND,4880000,976000,9760000,NCC010074,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐẠI LỢI
PO05/24-082,Nguyễn Thị Đào,5/28/2024,PR24/05-071,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,THUNG,2,,VND,4880000,976000,9760000,NCC010074,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐẠI LỢI
PO06/24-018,Nguyễn Thị Đào,6/7/2024,PR24/06-014,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,LIT,210,,VND,7000,0,1470000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-081,Nguyễn Thị Đào,3/28/2024,PR24/03-077,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,LIT,210,,VND,7000,0,1470000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO06/24-009,Nguyễn Thị Đào,6/5/2024,PR24/06-006,BAO-048075G13HDPE.DW,"Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái(+/-1.0). [Ghi chú: cắt nguội dài 76.5cm(+/-1), hàn đáy 2 đường].",CAI,300000,KG,3900,,VND,445,10680000,133500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-051,Nguyễn Thị Đào,6/17/2024,PR24/06-044,BAO-048075G13HDPE.DW,"Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái(+/-1.0). [Ghi chú: cắt nguội dài 76.5cm(+/-1), hàn đáy 2 đường].",CAI,251000,KG,3263,,VND,445,8935600,111695000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-055,Nguyễn Thị Đào,6/17/2024,PR24/06-045,BAO-048075G13HDPE.DW,"Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái(+/-1.0). [Ghi chú: cắt nguội dài 76.5cm(+/-1), hàn đáy 2 đường].",CAI,263000,KG,3419,,VND,445,9362800,117035000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-055,Nguyễn Thị Đào,6/17/2024,PR24/06-045,BAO-048075G19LDPE.DW,"Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái(+/-1.0).",CAI,23000,KG,437,,VND,652,1199680,14996000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-051,Nguyễn Thị Đào,6/17/2024,PR24/06-044,BAO-048075G19LDPE.DW,"Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái(+/-1.0).",CAI,70000,KG,1330,,VND,652,3651200,45640000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-009,Nguyễn Thị Đào,6/5/2024,PR24/06-006,BAO-048075G19LDPE.DW,"Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái(+/-1.0).",CAI,120000,KG,2280,,VND,652,6259200,78240000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.BRHC,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: BROWN HORSE CRACKER (5000455).",CAI,8000,KG,556.8,,VND,230,0,1840000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.CRUSA,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: CAP RUSA  (3+0) (5000107).",CAI,3000,KG,208.8,,VND,290,0,870000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.GABR,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 68.35g/cái (+/-5%), MK: GARDENIA BRUNEI (3+0) (5000113).",CAI,3000,KG,205.05,,VND,290,0,870000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.GRNHO,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 68.35g/cái (+/-5%), MK: GREEN HORSE (3+0) (5000146).",CAI,12000,KG,820.2,,VND,290,0,3480000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
