Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
4/20/2024,SIM04/24-065,SO2402-0046,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 20/04/2024;Số cont : MEDU7730636 ;Số seal : FX24624444 ; INV : 095,0102125027000000,"Vải cuộn PP, trắng đục, K66.0cm, MĐ: 10.0x9.3, TL: 94.0g/m(+2.0/-1.0). [3500m/cuộn]/THACUSAN660100093094TRDU",M,39328,3750.5,KG
4/20/2024,SIM04/24-065,SO2312-0022,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 20/04/2024;Số cont : MEDU7730636 ;Số seal : FX24624444 ; INV : 095,0102125064000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 11.0x11.0, TL: 96g/m. [Hooking]/THACUSAN585110110096TRDU [Kiểm soát trung bình 95 - 97.5g/m]",M,9000,864,KG
4/20/2024,SIM04/24-065,SO2312-0038,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 20/04/2024;Số cont : MEDU7730636 ;Số seal : FX24624444 ; INV : 095,0102125064000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 11.0x11.0, TL: 96g/m. [Hooking]/THACUSAN585110110096TRDU [Kiểm soát trung bình 95 - 97.5g/m]",M,42520,4069,KG
4/20/2024,SIM04/24-065,SO2402-0047,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 20/04/2024;Số cont : MEDU7730636 ;Số seal : FX24624444 ; INV : 095,0102125065000000,"Vải cuộn PP, trắng đục, K66.0cm(+1/-0.5), MĐ: 11.0x12.0, TL: 106g/m(+1/-2). [Hooking]",M,30575,3250.5,KG
4/22/2024,SIM04/24-066,SO2403-0032,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,0102125007000000,"Vải cuộn PP, trắng đục, K51.0cm(+1/-0.5), MĐ: 10.0x11.0, TL: 73g/m(+/-2.5). [3500m/cuộn]/THACUSAN510100110073TRDU",M,14560,1073.5,KG
4/22/2024,SIM04/24-066,SO2401-0037,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,0102125017000000,"Vải cuộn PP, trắng đục, K58.5cm(+1/-0.5), MĐ: 10.0x9.0, TL: 81g/m(+/-2). [3500 m/cuộn]/THACUSAN585100009081TRDU",M,11500,931.5,KG
4/22/2024,SIM04/24-066,SO2403-0030,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,0102125017000000,"Vải cuộn PP, trắng đục, K58.5cm(+1/-0.5), MĐ: 10.0x9.0, TL: 81g/m(+/-2). [3500 m/cuộn]/THACUSAN585100009081TRDU",M,34770,2828.5,KG
4/22/2024,SIM04/24-066,SO2402-0048,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,0102125032000000,"Vải cuộn PP, trắng đục, K66cm, MĐ: 10.0x11.0, TL: 104g/m. [Hooking]/THACUSAN660100110104TRDU",M,20480,2134,KG
4/22/2024,SIM04/24-066,SO2403-0056,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,0102125059000000,"Vải cuộn PP, trắng đục, K71cm (+1.5/-0), MĐ: 11.0x12.0, TL: 116.0g/m (+/-2.0). [2500m/cuộn] [Hooking]/THACUSAN710110120116TRDU",M,15329,1779,KG
4/22/2024,SIM04/24-066,SO2402-0007,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,HAPSAN585099TRTR,"Vải cuộn PP, tráng hấp PE, trắng trong, K58.5cm, MĐ: 8.0x8.0, TL: 99.5g/m. [3000m/cuộn] [910D, 8x8]",M,124000,12338,KG
4/22/2024,SIM04/24-066,SO2403-0008,SANPOLY INDUSTRY SDN BHD,Xk bán hàng ngày 22/04/2024;Số cont : MEDU7342923 ;Số seal : FX22596701 ; INV : 095,HAPSAN585099TRTR,"Vải cuộn PP, tráng hấp PE, trắng trong, K58.5cm, MĐ: 8.0x8.0, TL: 99.5g/m. [3000m/cuộn] [910D, 8x8]",M,42618,4189.5,KG
4/23/2024,SIM04/24-067,SO2404-0005,DINDINGS POULTRY DEVELOPMENT CENTRE SDN BHD,Xk bán hàng ngày 23/04/2024;Số cont : EITU3033995 ;Số seal : EMCNMD6243 ; INV : 097,TPH066099TDMFM.LM9900-1,"Bao TP-PP, trắng đục, K66.0x99.0LL, TL: 120.0g/cái, MK: LM-9900. [850D] [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]",CAI,6000,712.4,KG
4/23/2024,SIM04/24-067,SO2404-0005,DINDINGS POULTRY DEVELOPMENT CENTRE SDN BHD,Xk bán hàng ngày 23/04/2024;Số cont : EITU3033995 ;Số seal : EMCNMD6243 ; INV : 097,TPH066099TDMFM.LM9901-1,"Bao TP-PP, trắng đục, K66.0x99.0LL, TL: 120.0g/cái, MK: LM-9901. [850D] [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]",CAI,13000,1512.3,KG
4/23/2024,SIM04/24-067,SO2404-0005,DINDINGS POULTRY DEVELOPMENT CENTRE SDN BHD,Xk bán hàng ngày 23/04/2024;Số cont : EITU3033995 ;Số seal : EMCNMD6243 ; INV : 097,TPH066099TDMFM.LM9902-1,"Bao TP-PP, trắng đục, K66.0x99.0LL, TL: 120.0g/cái, MK: LM-9902. [850D] [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]",CAI,29000,3374.9,KG
4/23/2024,SIM04/24-067,SO2404-0005,DINDINGS POULTRY DEVELOPMENT CENTRE SDN BHD,Xk bán hàng ngày 23/04/2024;Số cont : EITU3033995 ;Số seal : EMCNMD6243 ; INV : 097,TPH066099TDMFM.LM9902C-1,"Bao TP-PP, trắng đục, K66.0x99.0LL, TL: 120.0g/cái, MK: LM-9902C. [850D] [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]",CAI,34000,4004.1,KG
4/23/2024,SIM04/24-067,SO2404-0005,DINDINGS POULTRY DEVELOPMENT CENTRE SDN BHD,Xk bán hàng ngày 23/04/2024;Số cont : EITU3033995 ;Số seal : EMCNMD6243 ; INV : 097,TPH066109TDMFM.LM8802-1,"Bao TP-PP, trắng đục, K66.0x109.0LL, TL: 132.0g/cái, MK: LM-8802. [850D] [Kiện 5 tép 100 cái trở đầu, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 6 ngang x 1 dọc]",CAI,3000,380.6,KG
4/23/2024,SIM04/24-068,SO2401-0035,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,"Xk bán hàng ngày 23/04/2024,Xe 51C-144.87",01JBO-TC002-01-0000,"Bao Jumbo thân tròn, trắng đục, có in marka: DING LI, kích thước: 95x95x130cm, có ống nạp, ống xả, có túi lồng PE; TL: 2.45kg/cái; Bao xếp làm 4, ép kiện 10 cái/kiện",CAI,1018,2674.4,KG
4/23/2024,SIM04/24-069,,ANH MẠNH,Xuất bán phế ngày 23/04/2024  Phế tạp 1389kg *5.000đ/kg-  XE 63C-097.15,PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,KG,1389,1389,KG
4/23/2024,SIM04/24-070,SO2403-0029,ENCORE LAMI SDN BHD. Oshi,Xk bán hàng ngày 23/04/2024;Số cont : CAAU5993516 ;Số seal : EMCNKZ5783 ; INV : 096,0102107002000000,"Vải manh cuộn PP, trắng đục, K113cm, MĐ: 7x7, 900D, caro láng, TL: 64.0g/m.  [5000m/cuộn]/THACUECL113070070064TRDU",M,60000,3886.5,KG
4/23/2024,SIM04/24-070,SO2403-0029,ENCORE LAMI SDN BHD. Oshi,Xk bán hàng ngày 23/04/2024;Số cont : CAAU5993516 ;Số seal : EMCNKZ5783 ; INV : 096,0102107003000000,"Vải manh cuộn PP, trắng đục, K116cm, MĐ: 7x7, 900D, caro láng, TL: 66.0g/m. [5000m/cuộn]/THACUECL116070070066TRDU",M,40000,2661,KG
4/23/2024,SIM04/24-070,SO2403-0029,ENCORE LAMI SDN BHD. Oshi,Xk bán hàng ngày 23/04/2024;Số cont : CAAU5993516 ;Số seal : EMCNKZ5783 ; INV : 096,0102107004000000,"Vải manh cuộn PP, trắng đục, K117cm, MĐ: 7x7, 900D, caro láng, TL: 66.5g/m. [5000m/cuộn]/THACUECL117070070665TRDU",M,20000,1313,KG
4/23/2024,SIM04/24-070,SO2403-0029,ENCORE LAMI SDN BHD. Oshi,Xk bán hàng ngày 23/04/2024;Số cont : CAAU5993516 ;Số seal : EMCNKZ5783 ; INV : 096,0102107006000000,"Vải manh cuộn PP, trắng đục, K119cm, MĐ: 7x7, 900D, caro láng, TL: 68.0g/m. [5000m/cuộn]/THACUECL119070070068TRDU",M,190000,12804,KG
4/23/2024,SIM04/24-070,SO2403-0029,ENCORE LAMI SDN BHD. Oshi,Xk bán hàng ngày 23/04/2024;Số cont : CAAU5993516 ;Số seal : EMCNKZ5783 ; INV : 096,0102107008000000,"Vải manh cuộn PP, trắng đục, K120cm, MĐ: 7x7, 900D, caro láng, TL: 68.6g/m. [5000m/cuộn]/THACUECL120070070686TRDU",M,60000,4136.5,KG
4/24/2024,SIM04/24-071,,ANH MẠNH,Xuất bán phế ngày 24/04/2024  Phế Bao Mủ 999kg *15.000 xe 51C-098.27,PHEBAOMU,Phế bao mủ,KG,999,999,KG
4/24/2024,SIM04/24-072,SO2404-0036,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH,"Xuất bán hàng ngày 24/04/2024,Xe 61C-121.65",01JBO-TC010-01-0000,"Bao Jumbo thân tròn, màu trắng, đáy vuông, không tráng 92x92x125cm; TL: 2Kg/cái (Gia công Kiên Thạnh)",Cái,480,972.4,KG
4/24/2024,SIM04/24-073,SO2402-0018,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),Xk bán hàng ngày 24/04/2024;Số cont : BMOU5566292 ;Số seal : YMAR030550 ; INV : 098,0102109008000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 10.0x10.0, dệt xếp, TL: 82.0g/m./THACUHAL585100100082TRDU",M,71213,5850.5,KG
4/24/2024,SIM04/24-073,SO2402-0028,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),Xk bán hàng ngày 24/04/2024;Số cont : BMOU5566292 ;Số seal : YMAR030550 ; INV : 098,0102109009000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 13.0x13.0, 900D, TL: 120.0g/m.THACUHAL585130130120TRDU",M,42366,5046.5,KG
4/24/2024,SIM04/24-073,SO2403-0010,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),Xk bán hàng ngày 24/04/2024;Số cont : BMOU5566292 ;Số seal : YMAR030550 ; INV : 098,0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",M,14997,1436,KG
4/24/2024,SIM04/24-073,SO2403-0010,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),Xk bán hàng ngày 24/04/2024;Số cont : BMOU5566292 ;Số seal : YMAR030550 ; INV : 098,0102109029000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K58.5cm, TL: 100g/m./HAPHAL585100TRDU",M,47767,4727,KG
4/24/2024,SIM04/24-073,SO2402-0016,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),Xk bán hàng ngày 24/04/2024;Số cont : BMOU5566292 ;Số seal : YMAR030550 ; INV : 098,0102109033000000,"Vải cuộn PP, trắng đục, tráng hấp PE, K51.0cm, TL: 83.0g/m. [910D, 8x8, 20mic]/HAPHAL051083TRDU",M,101000,8377,KG
4/24/2024,SIM04/24-074,SO2403-0042,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,Xk bán hàng ngày 24/04/2024;Số cont : YMMU6154504 ;Số seal : YMAR030431 ; INV : 099,0102129003000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 7x7, TL: 76.0g/m. [4000 mét/cuộn]/THACUSMY127007007076TRDU",M,336480,25536.5,KG
4/24/2024,SIM04/24-076,,ANH MẠNH,Xuất bán phế ngày 24/04/2024  Phế Bao Mủ 366kg *15.000 + 196kg*8000 xe 51C-098.27,PHEBAOMU,Phế bao mủ,KG,366,366,KG
4/24/2024,SIM04/24-076,,ANH MẠNH,Xuất bán phế ngày 24/04/2024  Phế Bao Mủ 366kg *15.000 + 196kg*8000 xe 51C-098.27,PHE-BAOTAICAL,Phế thu hồi bao TAICAL khâu kéo sợi,KG,196,196,KG
4/25/2024,SIM04/24-075,SO2404-0006,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 25/04/2024,Xe 51C-672.66",TPH495805G079MEK.SPB,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: SPB-25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,5000,406,KG
4/25/2024,SIM04/24-075,SO2404-0006,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xk bán hàng ngày 25/04/2024,Xe 51C-672.66",TPH595920G112MEK.CHD,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: Bột mì chuyên dụng-40KG; Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện bên ngoài",Cái,15000,1632,KG
4/25/2024,SIM04/24-077,SO2306-0022,CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT VÀ XUẤT NHẬP KHẨU SÀI GÒN,"Xk bán hàng ngày 25/04/2024,Xe 51C-672.66",01JBO-TC001-02-0000,"Bao Jumbo, thân tròn, màu trắng,90x90x190cm; TL: 2.2kg/cái, nắp trùm, đáy bằng, quai chéo.",CAI,1000,2300.2,KG
4/25/2024,SIM04/24-078,SO2403-0042,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,Xk bán hàng ngày 25/04/2024;Số cont : YMLU8574550 ;Số seal : YMAR030451 ; INV : 099,0102129003000000,"Vải manh PP, trắng đục, K127cm (Xẻ 2 hông thành 2 manh 127cm), MĐ: 7x7, TL: 76.0g/m. [4000 mét/cuộn]/THACUSMY127007007076TRDU",M,336180,25414.5,KG
4/25/2024,SIM04/24-079,SO2404-0029,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xuất mẫu không tính tiền ngày 25/04/2024, Xe 51C-672.66",TPH495805G079MEK.FLC,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: FLC-25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",CAI,2,0.158,KG
4/25/2024,SIM04/24-079,SO2404-0029,CÔNG TY TNHH CHẾ BIẾN BỘT MỲ MÊ KÔNG,"Xuất mẫu không tính tiền ngày 25/04/2024, Xe 51C-672.66",TPH495805G079MEK.SAB,"Bao TP-PP, trắng tẩy, K49.5x80.5PB (cm), TL: 79.0 (±3.0)g/cái, MK: SAB-25KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài]",Cái,2,0.158,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR20,"Bao TP-PP sọc 4 màu, 20 Red-Yellow, K45x55LLx30.28g, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP dương 1200D, cắt răng cưa, không in. [1000 cái/kiện]",CAI,10000,304.4,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR21,"Bao TP-PP, sọc 4 màu, PR21 Blue-Red, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D dương, cắt răng cưa, không in. [1000 cái/kiện]",CAI,10000,288.7,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR46,"Bao TP-PP, sọc 4 màu PR46 thiết kế giống PR07 Blue, K45x55LL, TL: 30.28g/cái (58gsm), MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,10000,288.1,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR47,"Bao TP-PP, sọc 4 màu PR47 thiết kế giống PR08 Red, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,10000,297.4,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR48,"Bao TP-PP, sọc 4 màu PR48 thiết kế giống PR09 Yellow, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,10000,299,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S4MPR49,"Bao TP-PP, sọc 4 màu PR49 thiết kế giống PR10 Green, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,10000,292.8,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S5MPR16,"Bao TP-PP sọc 5 màu, 16 Blue-White, K45x55LLx30.28g, MĐ 8.5x8.0, bẻ đáy 1 lần may 1 đường PP dương 1200D, cắt răng cưa, không in. [1000cái/kiện]",CAI,10000,302.8,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S5MPR17,"Bao TP-PP sọc 5 màu, 17 Red-White, K45x55LLx30.28g, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP dương 1200D, cắt răng cưa, không in. [1000 cái/kiện]",CAI,10000,308.2,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S5MPR18,"Bao TP-PP sọc 5 màu, 18 Black-White, K45x55LLx30.28g, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP dương 1200D, cắt răng cưa, không in. [1000 cái/kiện]",CAI,10000,308.2,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH045055G30.28S5MPR19,"Bao TP-PP sọc 5 màu, 19 Green-Yellow, K45x55LLx30.28g, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP dương 1200D, cắt răng cưa, không in. [1000 cái/kiện]",CAI,10000,304.1,KG
4/25/2024,SIM04/24-080,SO2312-0016,Addera Peru S.A.C,Xk bán hàng ngày 25/04/2024;Số cont :FFAU2299531 ;Số seal : 27002911 ; INV : 103,TPH051084G45.26TDPER,"Bao TP-PP, màu trắng, K51x84LL, TL: 45.26g/cái, MĐ: 8.0x8.0, đáy gấp 1 lần may 1 đường PP1200D trắng, cắt răng cưa, không in. [Ép kiện: 1000cái/kiện, bắn đai 4 ngang x 1 dọc]",Cái,20000,985,KG
