Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO05/24-038,Nguy?n Th? ?ào,5/13/2024,PR24/05-030,5300101542000000,S? d?a,BAO,20,BAO,20,,VND,20000,0,400000,NV041,Võ Công V?
PO10/23-014,Y Nghe Knul,10/6/2023,PR23/10-008,5300101790000000,LOGO TRIBAT SÀI GÒN XANH,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO06/23-008,Nguy?n Th? ?ào,6/5/2023,PR23/06-007,5300101790000000,LOGO TRIBAT SÀI GÒN XANH,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO06/23-044,Nguy?n Th? ?ào,6/12/2023,PR23/06-029,0700100030000000,nh?t 10,LIT,3600,LIT,3600,,VND,30909.091,11127273,111272728,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO10/23-028,Nguy?n Th? ?ào,10/12/2023,PR23/10-030,0700100030000000,nh?t 10,LIT,1400,LIT,1400,,VND,29545.4545,4136364,41363636,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO11/23-022,Nguy?n Th? ?ào,11/9/2023,PR23/11-017,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.455,5909091,59090910,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO09/23-077,Y Nghe Knul,9/21/2023,PR23/09-061,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.5,5909100,59091000,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO09/23-005,Y Nghe Knul,9/4/2023,PR23/09-005,0700100030000000,nh?t 10,LIT,400,LIT,400,,VND,29545.5,1181820,11818200,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO08/23-049,Y Nghe Knul,8/16/2023,PR23/06-029,0700100030000000,nh?t 10,LIT,400,LIT,400,,VND,29545.45,1181818,11818180,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO08/23-069,Nguy?n Th? ?ào,8/21/2023,PR23/08-044,0700100030000000,nh?t 10,LIT,1600,LIT,1600,,VND,29545.5,4727280,47272800,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO08/23-070,Nguy?n Th? ?ào,8/21/2023,PR23/08-044,0700100030000000,nh?t 10,LIT,400,LIT,400,,VND,30909.09,1236364,12363636,NCC010121,CÔNG TY TNHH D?U NH?T HOÀNG NHÂN
PO05/24-036,Nguy?n Th? ?ào,5/13/2024,PR24/05-027,0700100030000000,nh?t 10,LIT,1000,LIT,1000,,VND,29545.4545,2954546,29545455,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO04/24-013,Nguy?n Th? ?ào,4/4/2024,PR24/04-014,0700100030000000,nh?t 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO05/24-107,Nguy?n Th? ?ào,5/31/2024,PR24/05-084,0700100030000000,nh?t 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO07/24-058,Nguy?n Th? ?ào,7/16/2024,PR24/07-055,0700100030000000,nh?t 10,LIT,4000,LIT,4000,,VND,30909.09,12363636,123636360,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO12/23-055,Nguy?n Th? ?ào,12/20/2023,PR23/12-048,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.45,5909090,59090900,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO12/23-015,Nguy?n Th? ?ào,12/6/2023,PR23/12-012,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-060,Nguy?n Th? ?ào,1/22/2024,PR24/01-056,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-008,Nguy?n Th? ?ào,1/3/2024,PR24/01-011,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO03/24-023,Nguy?n Th? ?ào,3/6/2024,PR24/03-020,0700100030000000,nh?t 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO02/24-007,Nguy?n Th? ?ào,2/2/2024,PR24/02-012,0700100030000000,nh?t 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO02/24-005,Nguy?n Th? ?ào,2/2/2024,PR24/02-011,0700100070000000,X?NG A92,LIT,8,LIT,8,,VND,25000,0,200000,NCC010054,HOÀNG QUANG H?I_ VTXD
