Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.IFLG046,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: IFV LG PP 25KG - CODE 046 (1+0) (Mã: 5000580). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",Cái,KG,2000,148,6/24/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WF28014,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHEAT FLOUR 28 - CODE 014 (1+0) [Mã: 5001348]. [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,6/28/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WF28015,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHEAT FLOUR 28 - CODE 015 (1+0) [Mã: 5001348]. [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,6/28/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI581,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 581 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI582,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 582 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI582,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 582 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/28/2023,SO2306-0049,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI583,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 583 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI584,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 584 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/21/2023,SO2306-0041,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI586,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 586 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/12/2023,
6/30/2023,SO2306-0051,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH038065G044CAMSGX.20DM,"Bao PP-TP, màu cam tráng ngoài, K38.0x65.0PB, TL: 44.0g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 20dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.22,7/3/2023,
