Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
45116,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",3840,99.84,0,238.1,0,3601.9,99.84,0.062005208333333332,0,Không đạt
45115,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",1100,28.6,1060.2,0,0,39.8,28.6,0.9638181818181818,0,Đạt
45136,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",4224,109.824,3946.3,0,6,277.7,103.824,0.93425662878787874,0.054632,Không đạt
45135,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",3840,99.84,3612,0,15,228,84.84,0.940625,0.15024000000000001,Không đạt
45135,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",3840,99.84,0,92.7,0,3747.3,99.84,0.024140625,0,Không đạt
45092,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,928.6,0,0,-928.6,0,,,Không đạt
45136,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",4224,109.824,567.5,0,0,3656.5,109.824,0.13435132575757575,0,Không đạt
45091,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2156.4,0,70,-2156.4,-70,,,Không đạt
45097,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2801,0,60,-2801,-60,,,Không đạt
45089,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,233.7,0,0,-233.7,0,,,Không đạt
45089,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,534.55,0,8,-534.55,-8,,,Không đạt
