Mã số,Mặt hàng,Đvt (2),Đầu kỳ (2),Giá trị đầu kỳ,Nhập (2),Giá trị nhập,Xuất (2),Giá trị xuất,Cuối kỳ (2),Giá trị cuối kỳ,Đvt (1),Đầu kỳ (1),Nhập (1),Xuất (1),Cuối kỳ (1)
040010013000000,"Chỉ may PP 600D, màu xanh dương.Cơ lý > or = 2,4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,455,23192472,0,0,0,0,455,23192472,KG,455,0,0,455
040010014000000,Chỉ may PP multiflament 900D,KG,105,3258679,0,0,0,0,105,3258679,KG,105,0,0,105
040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,2233.35,96474708,0,0,10.74,0,2222.61,96474708,KG,2233.35,0,10.74,2222.61
040010020000000,"Chỉ may  Polyester, 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,15.1,755000,0,0,0,0,15.1,755000,KG,15.1,0,0,15.1
040010020540000,"Chỉ tơ Polyester, không se , 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,2.6,156000,0,0,0,0,2.6,156000,KG,2.6,0,0,2.6
040010007010000,"Chỉ may multi Polyester, 2000D (se đôi), màu xanh dương. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,4.3,339700,0,0,0,0,4.3,339700,KG,4.3,0,0,4.3
040010022000000,"Chỉ may PP 3000D, xanh dương. Cơ lý > or = 15KgF. Độ dãn > or =22%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,399.4,30793740,0,0,0,0,399.4,30793740,KG,399.4,0,0,399.4
040010023000000,"Chỉ may PP 3000D, trắng đục. Cơ lý > or = 15KgF. Độ dãn > or =22%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), kháng UV 1-2%",KG,80,4000000,0,0,0,0,80,4000000,KG,80,0,0,80
040010024000000,"Chỉ may Polyester, 4000D, màu xanh dương. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5%",KG,783.8,60430980,0,0,0,0,783.8,60430980,KG,783.8,0,0,783.8
040010025000000,Chỉ may (4000D PP BLUE SEWING THREAD),CUON,2000,111399600,0,0,0,0,2000,111399600,CUON,2000,0,0,2000
040010026000000,Chỉ may (4000D PP WHITE SEWING THREAD),CUON,1000,55699800,0,0,0,0,1000,55699800,CUON,1000,0,0,1000
0700100030000000,nhớt 10,LIT,695,65681397.47,0,0,0,0,695,65681397.47,LIT,695,0,0,695
0700100060000000,nhớt 40,LIT,30,210000000,0,0,0,0,30,210000000,LIT,30,0,0,30
0700100210000000,Dầu thắng vh3-2,LON,3,240000,0,0,0,0,3,240000,LON,3,0,0,3
0700100350000000,Mực Gray 4274 gián tiếp,KG,50,5650000,0,0,0,0,50,5650000,KG,50,0,0,50
0700100090000000,dầu do,Lít,420,8641753,0,0,0,0,420,8641753,Lít,420,0,0,420
MDM-D7423C-GIANTIEP,Mực đỏ 7423C-GIÁN TIẾP,KG,48,3552000,0,0,0,0,48,3552000,KG,48,0,0,48
MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,0,39779997.96,0,0,0,0,0,39779997.96,KG,0,0,0,0
MDM-DMPB,Dung môi phủ bóng,KG,5,395000,0,0,0,0,5,395000,KG,5,0,0,5
MDM-FL021,Cam 021C FL.,KG,50,7500000,0,0,0,0,50,7500000,KG,50,0,0,50
MDM-FL021GT,Cam 021C FL gián tiếp,KG,0,3750000,0,0,0,0,0,3750000,KG,0,0,0,0
MDM-FL10,Đỏ Cam 10 FL,KG,50,3700000,0,0,0,0,50,3700000,KG,50,0,0,50
MDM-FL10GT,Đỏ Cam 10 FL gián tiếp,KG,50,3700000,0,0,0,0,50,3700000,KG,50,0,0,50
