S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106150000000;Orange 888 25kg;CM2;10000;1;CM2;10000;;;13/01/2024
EP2310-0086;27/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in;5200106170000000;Orange Horse;CM2;10000;1;CM2;10000;;;28/10/2023
EP2405-0040;14/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106170000000;Orange Horse;CM2;10000;1;CM2;10000;;;16/05/2024
EP2305-0008;03/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;KH?C B?N IN PRESTASI- CAO SU(KH?C NGH?CH 5MM )-SO2304-0015;5200106170000000;Orange Horse;CM2;10000;1;CM2;10000;;;
EP2304-0074;20/04/2023;;Theo b? ph?n;KH?C LAHAD (KH?C NGH?CH 5MM )-SO2302-0017;5200106170000000;Orange Horse;CM2;10;1;CM2;10;;;23/04/2023
EP2304-0074;20/04/2023;;Theo b? ph?n;KH?C LAHAD (KH?C NGH?CH 5MM )-SO2302-0017;5200106180000000;Orange Horse LV (2);CM2;10;1;CM2;10;;;23/04/2023
EP2407-0005;02/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;04/07/2024
EP2305-0011;04/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;??T KH?C B?N IN CAO SU H?NG CHINA PLASTIC  (KH?C NGH?CH 5MM ).SO2304-0025;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;
EP2310-0022;05/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (SAN CRISTOBAL);5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;IN;07/10/2023
EP2401-0102;26/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;29/01/2024
EP2311-0006;03/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in ?H San Cristobal;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;06/11/2023
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0035;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;Kh?c b?n in Polime;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0081;22/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106190000000;Oro Cinco;CM2;10000;1;CM2;10000;;;24/01/2024
EP2401-0035;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;Kh?c b?n in Polime;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;13/01/2024
EP2311-0006;03/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in ?H San Cristobal;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;06/11/2023
EP2401-0098;25/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;26/01/2024
EP2305-0037;12/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN SAN CRISTOBAL (KH?C NGH?CH 5MM )- SO2304-0025;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;
EP2307-0034;12/07/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C SAN CRISTOBAL (KH?C NGH?CH 5MM )- SO2307-0013;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;15/07/2023
EP2407-0005;02/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106200000000;Oro Dos;CM2;10000;1;CM2;10000;;;04/07/2024
EP2407-0005;02/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;04/07/2024
EP2307-0039;13/07/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAN CRISTOBAL (KH?C THU?N 4MM )-SO2307-0013;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;17/07/2023
EP2307-0041;13/07/2023;Bravo -Giang;Theo b? ph?n;Test;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;17/07/2023
EP2305-0051;20/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN : KH?C NGH?CH 5MM ??N H?NG SAN V? 48 PASIR.(SO2305-0016 + SO2304-0025);5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;18/05/2023
EP2305-0011;04/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;??T KH?C B?N IN CAO SU H?NG CHINA PLASTIC  (KH?C NGH?CH 5MM ).SO2304-0025;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;
EP2310-0023;05/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (KH?C THU?N 4MM - SAN CRISTOBAL);5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;IN;07/10/2023
EP2310-0040;11/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t b?n in cao su (San Cristobal - b? sung);5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;In;11/10/2023
EP2311-0018;09/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;11/11/2023
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0035;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;Kh?c b?n in Polime;5200106210000000;Oro Tres;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0081;22/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106210000000;Oro Tres;CM2;15000;1;CM2;15000;;;24/01/2024
EP2401-0081;22/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106220000000;Oro Uno;CM2;12000;1;CM2;12000;;;24/01/2024
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;13/01/2024
EP2401-0035;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;Kh?c b?n in Polime;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;13/01/2024
EP2311-0006;03/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in ?H San Cristobal;5200106220000000;Oro Uno;CM2;20000;1;CM2;20000;;;06/11/2023
EP2310-0086;27/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;28/10/2023
EP2401-0102;26/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106220000000;Oro Uno;CM2;20000;1;CM2;20000;;;29/01/2024
EP2402-0007;01/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;03/02/2024
EP2310-0040;11/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t b?n in cao su (San Cristobal - b? sung);5200106220000000;Oro Uno;CM2;20000;1;CM2;20000;;In;11/10/2023
EP2310-0017;04/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T B?N IN CAO SU (SAN CRISTOBAL);5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;In;05/10/2023
EP2305-0011;04/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;??T KH?C B?N IN CAO SU H?NG CHINA PLASTIC  (KH?C NGH?CH 5MM ).SO2304-0025;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;
EP2307-0041;13/07/2023;Bravo -Giang;Theo b? ph?n;Test;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;17/07/2023
EP2307-0039;13/07/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAN CRISTOBAL (KH?C THU?N 4MM )-SO2307-0013;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;17/07/2023
EP2307-0082;27/07/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C SAN CRISTOBAL (KH?C THU?N 4MM )- SO2307-0013;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;29/07/2023
EP2407-0005;02/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106220000000;Oro Uno;CM2;10000;1;CM2;10000;;;04/07/2024
EP2311-0018;09/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106230000000;B?n in OTROS USOS;CM2;10000;1;CM2;10000;;;11/11/2023
EP2311-0045;17/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su ?H 66 MFM;5200106230000000;B?n in OTROS USOS;CM2;10000;1;CM2;10000;;;20/11/2023
EP2309-0097;25/09/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C NGH?CH 5mm, H?NG CHINA PLASTIC;5200106260000000;PANIFICACION;CM2;10000;1;CM2;10000;;M?Y IN;28/09/2023
EP2401-0017;05/01/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200106280000000;PEACHES;CM2;10000;1;CM2;10000;;;06/01/2024
EP2405-0007;03/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106280000000;PEACHES;CM2;10000;1;CM2;10000;;;06/05/2024
EP2405-0092;28/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106330000000;Pink Globe;CM2;10000;1;CM2;10000;;;30/05/2024
EP2405-0056;18/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106340000000;Pink Horse;CM2;10000;1;CM2;10000;;;20/05/2024
EP2308-0094;28/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C SARAWAK (KH?C NGH?CH 5mm )-SO2306-0031;5200106340000000;Pink Horse;CM2;10000;1;CM2;10000;;M?Y IN;31/08/2023
EP2310-0010;03/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T B?N IN CAO SU;5200106380000000;B?N IN POLLARD;CM2;10000;1;CM2;10000;;IN;05/10/2023
EP2304-0006;04/04/2023;;Theo b? ph?n;KH?C INTERFLOUR (KH?C NGH?CH 5MM )-SO2304-0001;5200106380000000;B?N IN POLLARD;CM2;10;1;CM2;10;;;06/04/2023
EP2402-0016;20/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106390000000;Pollard- C†m Tinh;CM2;10000;1;CM2;10000;;;21/02/2024
EP2401-0026;09/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106390000000;Pollard- C†m Tinh;CM2;10000;1;CM2;10000;;;11/01/2024
EP2311-0083;27/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106390000000;Pollard- C†m Tinh;CM2;10000;1;CM2;10000;;;29/11/2023
EP2307-0028;11/07/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5MM )-SO2307-0019;5200106470000000;B?n in RGA-02;CM2;10000;1;CM2;10000;;;14/07/2023
EP2310-0028;06/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H LAHAD);5200106480000000;Rama Rama 99 (2);CM2;10000;1;CM2;10000;;IN;09/10/2023
EP2406-0095;28/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su.;5200106490000000;RAMA 108;CM2;10000;1;CM2;10000;;;01/07/2024
EP2304-0055;17/04/2023;;Theo b? ph?n;FILE KH?C SABAH (KH?C NGH?CH 5MM )-SO2303-0030;5200106510000000;Rama 128;CM2;10;1;CM2;10;;;19/04/2023
EP2407-0089;29/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106510000000;Rama 128;CM2;10000;1;CM2;10000;;;31/07/2024
EP2405-0040;14/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106510000000;Rama 128;CM2;10000;1;CM2;10000;;;16/05/2024
EP2404-0061;17/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106510000000;Rama 128;CM2;10000;1;CM2;10000;;;20/04/2024
EP2407-0089;29/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106520000000;Rama 138;CM2;10000;1;CM2;10000;;;31/07/2024
EP2402-0050;28/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106540000000;Rama Rama 88;CM2;10000;1;CM2;10000;;;01/03/2024
EP2404-0061;17/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106560000000;Rama 99;CM2;10000;1;CM2;10000;;;20/04/2024
EP2309-0035;11/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C SABAH (KH?C NGH?CH 5mm ) -SO2303-0030;5200106560000000;Rama 99;CM2;10000;1;CM2;10000;;M?Y IN;12/09/2023
EP2304-0055;17/04/2023;;Theo b? ph?n;FILE KH?C SABAH (KH?C NGH?CH 5MM )-SO2303-0030;5200106560000000;Rama 99;CM2;10;1;CM2;10;;;19/04/2023
EP2406-0021;10/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106590000000;Red Bicycle;CM2;10000;1;CM2;10000;;;12/06/2024
EP2310-0055;17/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106590000000;Red Bicycle;CM2;10000;1;CM2;10000;;In;20/10/2023
EP2405-0007;03/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106590000000;Red Bicycle;CM2;10000;1;CM2;10000;;;06/05/2024
EP2403-0037;13/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106590000000;Red Bicycle;CM2;10000;1;CM2;10000;;;14/03/2024
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106590000000;Red Bicycle;CM2;10000;1;CM2;10000;;;13/01/2024
EP2311-0062;22/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106600000000;Red Globe;CM2;10000;1;CM2;10000;;;24/11/2023
EP2401-0108;29/01/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200106600000000;Red Globe;CM2;10000;1;CM2;10000;;;31/01/2024
EP2305-0070;20/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5MM )-SO2305-0025;5200106600000000;Red Globe;CM2;10000;1;CM2;10000;;;20/05/2023
EP2406-0017;06/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106600000000;Red Globe;CM2;10000;1;CM2;10000;;;09/06/2024
EP2406-0095;28/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su.;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;01/07/2024
EP2407-0072;18/07/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;20/07/2024
EP2307-0083;27/07/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C  KH?C PRESTASI (KH?C NGH?CH 5MM )- SO2306-0005;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;29/07/2023
EP2403-0048;16/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;20/03/2024
EP2405-0048;15/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;18/05/2024
EP2404-0026;09/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;11/04/2024
EP2401-0026;09/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;11/01/2024
EP2312-0053;15/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106620000000;Red Horse;CM2;10000;1;CM2;10000;;;19/12/2023
EP2403-0021;07/03/2024;Bói Th†i Hïa;Theo b? ph?n;KH?C B?N IN CAO SU;5200106630000000;Red Horse AA;CM2;10000;1;CM2;10000;;;09/03/2024
EP2308-0062;17/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C PRESTASI (KH?C NGH?CH 5MM ) SO2306-0006;5200106630000000;Red Horse AA;CM2;10000;1;CM2;10000;;M?Y IN;21/08/2023
EP2405-0048;15/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106640000000;Red Horse Non Ada;CM2;10000;1;CM2;10000;;;18/05/2024
EP2403-0095;28/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106660000000;Red Rose;CM2;10000;1;CM2;10000;;;28/03/2024
EP2312-0075;22/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106660000000;Red Rose;CM2;10000;1;CM2;10000;;;23/12/2023
EP2401-0098;25/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106660000000;Red Rose;CM2;10000;1;CM2;10000;;;26/01/2024
EP2310-0055;17/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106660000000;Red Rose;CM2;10000;1;CM2;10000;;In;20/10/2023
EP2304-0081;21/04/2023;;Theo b? ph?n;??T KH?C 48-LUMUT (KH?C NGH?CH 5MM );5200106660000000;Red Rose;CM2;10;1;CM2;10;;;24/04/2023
EP2406-0021;10/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106660000000;Red Rose;CM2;10000;1;CM2;10000;;;12/06/2024
EP2407-0085;26/07/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200106670000000;Red Rose Export;CM2;10000;1;CM2;10000;;;29/07/2024
EP2305-0039;30/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C48-PASIR (KH?C NGH?CH 5MM )-CAO SU- SO2305-0016;5200106700000000;REWORK;CM2;10000;1;CM2;10000;;;
EP2305-0102;27/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C 48-LUMUT (KH?C NGH?CH 5MM )-SO2305-0041;5200106730000000;Roticanal;CM2;10000;1;CM2;10000;;;28/05/2023
EP2311-0031;14/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106730000000;Roticanal;CM2;10000;1;CM2;10000;;;15/11/2023
EP2305-0103;27/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C PERU (KH?C THU?N 4MM )-SO2303-0008;5200106780000000;SAMAN (28) Peru;CM2;10000;1;CM2;10000;;;
EP2402-0028;24/02/2024;Bói Th†i Hïa;Theo b? ph?n;Kh?c b?n in cao su;5200106860000000;SEMOLINA 25KG;CM2;10000;1;CM2;10000;;;26/02/2024
EP2404-0075;24/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106860000000;SEMOLINA 25KG;CM2;10000;1;CM2;10000;;;26/04/2024
EP2406-0021;10/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106860000000;SEMOLINA 25KG;CM2;10000;1;CM2;10000;;;12/06/2024
EP2407-0089;29/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106880000000;SFFM 99 (Lahad Datu);CM2;10000;1;CM2;10000;;;31/07/2024
EP2408-0006;01/08/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106880000000;SFFM 99 (Lahad Datu);CM2;10000;1;CM2;10000;;;03/08/2024
EP2405-0083;25/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106900000000;SFM99;CM2;10000;1;CM2;10000;;;28/05/2024
EP2312-0033;12/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106900000000;SFM99;CM2;10000;1;CM2;10000;;;13/12/2023
EP2403-0027;11/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106970000000;SPIII;CM2;10000;1;CM2;10000;;;12/03/2024
EP2305-0102;27/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C 48-LUMUT (KH?C NGH?CH 5MM )-SO2305-0041;5200106970000000;SPIII;CM2;10000;1;CM2;10000;;;28/05/2023
EP2406-0021;10/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200106970000000;SPIII;CM2;10000;1;CM2;10000;;;12/06/2024
EP2304-0081;21/04/2023;;Theo b? ph?n;??T KH?C 48-LUMUT (KH?C NGH?CH 5MM );5200106970000000;SPIII;CM2;10;1;CM2;10;;;24/04/2023
EP2311-0083;27/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107080000000;Th? Ph†t 25kg;CM2;10000;1;CM2;10000;;;29/11/2023
EP2306-0087;24/06/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C TRACKING 48-MFM ( 01 B? KH?C THU?N 4MM - 01 B? KH?C NGH?CH 5MM );5200107120000000;TRACKING;CM2;10000;1;CM2;10000;;;27/06/2023
EP2305-0116;29/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5MM )-SO2305-0042;5200107180000000;wheat flour;CM2;10000;1;CM2;10000;;;
EP2305-0023;09/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5MM )- CAO SU .;5200107180000000;wheat flour;CM2;10000;1;CM2;10000;;;11/05/2005
EP2306-0071;21/06/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C PRESTASI (KH?C NGH?CH 5MM )-CAO SU;5200107190000000;WHEAT SHORT;CM2;10000;1;CM2;10000;;;22/06/2023
EP2403-0048;16/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107190000000;WHEAT SHORT;CM2;10000;1;CM2;10000;;;20/03/2024
EP2404-0075;24/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107210000000;White Globe;CM2;10000;1;CM2;10000;;;26/04/2024
EP2312-0087;28/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107210000000;White Globe;CM2;10000;1;CM2;10000;;;29/12/2023
EP2305-0070;20/05/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5MM )-SO2305-0025;5200107210000000;White Globe;CM2;10000;1;CM2;10000;;;20/05/2023
EP2306-0026;07/06/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C INTREFLOUR (KH?C NGH?CH 5MM )- SO2306-0010-CAI SU;5200107220000000;WHITE TIGER;CM2;10000;1;CM2;10000;;;09/06/2023
EP2312-0075;22/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107220000000;WHITE TIGER;CM2;10000;1;CM2;10000;;;23/12/2023
EP2406-0017;06/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107220000000;WHITE TIGER;CM2;10000;1;CM2;10000;;;09/06/2024
EP2312-0075;22/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107310000000;Yellow Globe;CM2;10000;1;CM2;10000;;;23/12/2023
EP2311-0031;14/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107310000000;Yellow Globe;CM2;10000;1;CM2;10000;;;15/11/2023
EP2308-0083;23/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C INTERFLOUR (KH?C NGH?CH 5M)-SO2308-0038;5200107310000000;Yellow Globe;CM2;10000;1;CM2;10000;;M?Y IN;26/08/2023
EP2309-0093;22/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C PRESTSI - KH?C NGH?CH 5MM.;5200107320000000;Yellow Horse;CM2;10000;1;CM2;10000;;MAY IN;26/09/2023
EP2401-0108;29/01/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200107320000000;Yellow Horse;CM2;10000;1;CM2;10000;;;31/01/2024
EP2408-0006;01/08/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107320000000;Yellow Horse;CM2;10000;1;CM2;10000;;;03/08/2024
EP2406-0021;10/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107330000000;Yellow Roses;CM2;10000;1;CM2;10000;;;12/06/2024
EP2311-0018;09/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107330000000;Yellow Roses;CM2;10000;1;CM2;10000;;;11/11/2023
EP2312-0053;15/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200107360000000;Cap Kuda (Yellow Horse - Wanton);CM2;10000;1;CM2;10000;;;19/12/2023
EP2406-0095;28/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su.;5200107370000000;Cap Rusa;CM2;10000;1;CM2;10000;;;01/07/2024
EP2311-0072;24/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200113000000000;UNIBEN-B?T M?;CM2;10000;1;CM2;10000;;;25/11/2023
EP2401-0098;25/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200115000000000;HANWA;CM2;10000;1;CM2;10000;;;26/01/2024
EP2304-0010;05/04/2023;;Theo b? ph?n;FILE KH?C DING LI - JUMBO (KH?C NGH?CH 5MM )-SO2303-0052;5200118000000000;DING LIN ( JUMBO);CM2;10;1;CM2;10;;;08/04/2023
EP2402-0007;01/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200118000000000;DING LIN ( JUMBO);CM2;5000;1;CM2;5000;;;03/02/2024
EP2304-0048;14/04/2023;;Theo b? ph?n;KH?C DING LI - JUMBO (KH?C NGH?CH 4MM )-SO2303-0052;5200118000000000;DING LIN ( JUMBO);CM2;10;1;CM2;10;;;16/04/2023
EP2401-0054;16/01/2024;V? ??c HoÖng;Theo th†ng;Bang keo ph?c v? s?n xu?t PX BTP T1/2024;0917400010000000;B?NG KEO V?NG D?N TH?NG.;M;200;1;M;200;Mua 200 cu?n;Dóng BP th?i/ h?p, c?t;16/01/2024
