S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2407-0083;25/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10";0500100020000000;DÉy ?ai Çp ki?n, mÖu vÖng, K15.0mm, TL: 10.0g/m.;Cu?n;100;10;KG;1000;T?N KHO;;10/08/2024
EP2304-0063;18/04/2023;;Theo b? ph?n;?? XU?T MUA D?Y ?AI êP KI?N M?U XANH NG?Y 18/4/2023;0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;5;10;KG;50;;;21/04/2023
EP2403-0018;06/03/2024;Nguy?n D?ng Trung;Theo b? ph?n;"SO2402-0007 - SANPOLY
SO2402-0016 - HALSTON
SO2402-0017 - HALSTON
SO2402-0021 - SUJPLAS
SO2403-0004 - SGX
SO2403-0008 - SAN";0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;10;10;KG;100;SO2403-0003 - KCP;;12/03/2024
EP2403-0093;27/03/2024;Nguy?n D?ng Trung;Theo b? ph?n;"SO2403-0061 - KCP + SLCL SO T?ng
SO2403-0061 - KCP + SLCL SO T?ng
MF4X - T?n kho
SO2403-0058 - HARVEST PADI III";0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;20;10;KG;200;SO2403-0061 - KCP + SLCL SO T?ng;;01/04/2024
EP2402-0038;26/02/2024;Nguy?n D?ng Trung;Theo b? ph?n;"DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm
?ng nh?a PVC D12mm, dÖy 2mm, mÖu tr?ng trong; TL: 100g/m [?ng nh?a c?ng]";0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;10;10;KG;100;KCP + T?n kho;;29/02/2024
EP2401-0097;25/01/2024;Nguy?n D?ng Trung;Theo b? ph?n;"DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm
Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 2";0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;5;10;KG;50;SO2401-0038 - KCP;;19/02/2024
EP2312-0038;13/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;DÉy ?ai Çp ki?n;0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;5;10;KG;50;SO2312-0011 - KCP;;16/12/2023
EP2312-0039;13/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2312-0011 - KCP;0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;8;10;KG;80;SO2312-0011 - KCP;;16/12/2023
EP2306-0041;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2306-0001 - KCP;0500100040000000;DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm;CUON;4;0,01;KG;0,04;SO2306-0001;;15/06/2023
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;3;10;KG;30;SO2305-0011;;19/06/2023
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;1;10;KG;10;SO2305-0026;;19/06/2023
EP2306-0050;15/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"B? sung theo ?? xu?t 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;12;10;KG;120;SO2305-0011;;19/06/2023
EP2306-0050;15/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"B? sung theo ?? xu?t 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;10;10;KG;100;SO2305-0011;;10/07/2023
EP2306-0050;15/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"B? sung theo ?? xu?t 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;10;10;KG;100;SO2305-0011;;24/07/2023
