Tên CN,Ngày,Ca,Máy,Đơn hàng,Mã SP,Số KHTK,LSX,Mã hàng,Tên hàng,Ngày giao hàng,Denier,Mật độ dọc,Mật độ ngang,ĐVT 1,ĐVT 2,Số lượng theo KH 1,Số lượng theo KH 2,Số lượng phế theo bom,Số lượng thực hiện 1,Số lượng thực hiện 2,Số lượng thực hiện phế,Số mét đầu ca,Số mét cuối ca,Số lượng nhập kho 1,Số lượng nhập kho 2,Số lượng nhập kho trừ lõi,Số lượng sợi,Số lượng phế,Đánh giá % sợi,Đánh giá % phế,Đánh giá %
,1/5/2025,N,8,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,782,60.996,30,5568,350,6000,441,437,141.804,-30,0.300769231,,Không đạt
,1/5/2025,N,8,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,782,60.996,0,5568,350,6000,446.5,442.5,141.804,0,0.300769231,,Không đạt
,1/5/2025,N,9,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,755,58.89,0,5800,555,6000,452.5,448.5,143.91,0,0.290384615,,Không đạt
,1/5/2025,N,9,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,755,58.89,0,5800,555,6000,454.5,450.5,143.91,0,0.290384615,,Không đạt
,1/4/2025,D,101,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,940,73.32,0,5488,408,6020,445,441,106.08,0,0.408695652,,Không đạt
,1/4/2025,D,101,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,940,73.32,0,5488,408,6020,444,440,106.08,0,0.408695652,,Không đạt
,1/4/2025,D,102,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,917,71.526,0,1363,2280,0,0,0,107.874,0,0.398695652,,Không đạt
,1/4/2025,D,102,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,917,71.526,0,1363,2280,0,0,0,107.874,0,0.398695652,,Không đạt
,1/4/2025,D,103,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1500,117,0,747,2247,0,0,0,-117,0,,,Không đạt
,1/4/2025,D,103,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1500,117,0,747,2247,0,0,0,-117,0,,,Không đạt
,1/4/2025,D,104,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1460,113.88,0,917,2377,0,0,0,-113.88,0,,,Không đạt
,1/4/2025,D,104,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1460,113.88,0,917,2377,0,0,0,-113.88,0,,,Không đạt
,1/4/2025,D,99,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,527,41.106,0,2363,2890,0,0,0,-41.106,0,,,Không đạt
,1/4/2025,D,99,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,527,41.106,0,2363,2890,0,0,0,-41.106,0,,,Không đạt
,1/4/2025,N,8,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1212,94.536,0,2918,4130,0,0,0,108.264,0,0.466153846,,Không đạt
,1/4/2025,N,8,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1212,94.536,0,2918,4130,0,0,0,108.264,0,0.466153846,,Không đạt
,1/4/2025,N,9,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1378,107.484,4,3022,4400,0,0,0,95.316,-4,0.53,,Không đạt
,1/4/2025,N,9,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1378,107.484,0,3022,4400,0,0,0,95.316,0,0.53,,Không đạt
,1/4/2025,N,93,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1089,84.942,0,1766,2855,0,0,0,-84.942,0,,,Không đạt
,1/4/2025,N,93,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,1089,84.942,0,1766,2855,0,0,0,-84.942,0,,,Không đạt
,1/4/2025,N,94,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,701,54.678,4,3691,4392,0,0,0,-54.678,-4,,,Không đạt
,1/4/2025,N,94,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,701,54.678,0,3691,4392,0,0,0,-54.678,0,,,Không đạt
,1/4/2025,N,95,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,832,64.896,0,590,1422,0,0,0,-64.896,0,,,Không đạt
,1/4/2025,N,95,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,832,64.896,0,590,1422,0,0,0,-64.896,0,,,Không đạt
,1/4/2025,N,96,SO2410-0046,THADGTAU127080080078TRDU,MP25/01-020,LSX01/25-009,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",1/31/2025,1,0,0,M,KG,328000,25584,0,746,58.188,0,4881,5627,0,0,0,121.212,0,0.324347826,,Không đạt
