Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2501-0012,HAT-PPKC,Hạt nhựa PP kéo sợi.,,,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,200000,200000
SO2501-0085,HAT-PPKC,Hạt nhựa PP kéo sợi.,,,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,56000,56000
SO2502-0031,HAT-PPKC,Hạt nhựa PP kéo sợi.,,,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,200000,200000
SO2502-0045,HAT-PPKC,Hạt nhựa PP kéo sợi.,,,HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,130000,130000
SO2501-0021,TPH055085G122TDLU.XXX,"[SO tổng] Bao TP-PP, trắng đục, không tráng, dệt caro, K55x85PB (+/-1cm), TL: 122g/cái (+/-2g). Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,TPH-1553,TPH055085G122TDLU.XXX,"[SO tổng] Bao TP-PP, trắng đục, không tráng, dệt caro, K55x85PB (+/-1cm), TL: 122g/cái (+/-2g). Mã dùng làm đơn hàng tổng.",Bộ,KG,35000,4270
SO2501-0025,TPH495755G074MEK.XXX,"[SO tổng] Bao PP, trắng tẩy, K49.5x75.5PB (cm) (+/-0.5cm), TL: 74.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,BAO,TPH495755G074MEK.XXX,"[SO tổng] Bao PP, trắng tẩy, K49.5x75.5PB (cm) (+/-0.5cm), TL: 74.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",Cái,KG,225000,16650
SO2501-0025,TPH595870G106MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K59.5x87.0PB (cm) (+/-0.5cm), TL: 106.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,BAO,TPH595870G106MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K59.5x87.0PB (cm) (+/-0.5cm), TL: 106.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",Cái,KG,585000,62010
SO2501-0025,TPH595920G112MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm) (+/-0.5cm), TL: 112.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,BAO,TPH595920G112MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm) (+/-0.5cm), TL: 112.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",Cái,KG,10000,1120
SO2501-0025,TPH730115G140MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K73.0x115.0PB (cm) (+/-0.5cm), TL: 140.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,BAO,TPH730115G140MEK.XXX,"[SO tổng] Bao TP-PP, trắng tẩy, K73.0x115.0PB (cm) (+/-0.5cm), TL: 140.0 (±3.0)g/cái. Mã dùng làm đơn hàng tổng.",Cái,KG,150000,21000
SO2501-0081,TPH055090G105TDLU.XXX,"[SO tổng] Bao TP-PP, trắng đục, dệt 5x1, K55x90, TL: 105g/cái. Mã dùng làm đơn hàng tổng.",15,Công đoạn cắt may tự động,TPH-1553,TPH055090G105TDLU.XXX,"[SO tổng] Bao TP-PP, trắng đục, dệt 5x1, K55x90, TL: 105g/cái. Mã dùng làm đơn hàng tổng.",Bộ,KG,150000,15750
