Ngày lập đơn,Số đơn hàng,Khách hàng,Mã sản phẩm,Tên sản phẩm,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
1/14/2025,SO2501-0055,LSP VN,TPH040050G24.47S4MPR37,"Bao TP-PP sọc 4 màu, 37 (giống sọc 21) Blue-Red, K40.0x50.0LL, TL: 24.47g/cái, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP xanh dương 1200D, cắt răng cưa, không in. [Ép kiện: 1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH040050G24.47S4MPR37,"Bao TP-PP sọc 4 màu, 37 (giống sọc 21) Blue-Red, K40.0x50.0LL, TL: 24.47g/cái, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP xanh dương 1200D, cắt răng cưa, không in. [Ép kiện: 1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,20000,489.4
1/14/2025,SO2501-0055,LSP VN,TPH040050G24.47S4MPR36,"Bao TP-PP sọc 4 màu, 36 (giống sọc 20) Red-Yellow, K40.0x50.0LL, TL: 24.47g/cái, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP xanh dương 1200D, cắt răng cưa, không in. [Ép kiện: 1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH040050G24.47S4MPR36,"Bao TP-PP sọc 4 màu, 36 (giống sọc 20) Red-Yellow, K40.0x50.0LL, TL: 24.47g/cái, MĐ 8.5x8, bẻ đáy 1 lần may 1 đường PP xanh dương 1200D, cắt răng cưa, không in. [Ép kiện: 1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,20000,489.4
1/14/2025,SO2501-0055,LSP VN,TPH045055G30.28S4MPR49,"Bao TP-PP, sọc 4 màu PR49 thiết kế giống PR10 Green, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH045055G30.28S4MPR49,"Bao TP-PP, sọc 4 màu PR49 thiết kế giống PR10 Green, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,10000,302.8
1/14/2025,SO2501-0055,LSP VN,TPH045055G30.28S4MPR48,"Bao TP-PP, sọc 4 màu PR48 thiết kế giống PR09 Yellow, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH045055G30.28S4MPR48,"Bao TP-PP, sọc 4 màu PR48 thiết kế giống PR09 Yellow, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,10000,302.8
1/14/2025,SO2501-0055,LSP VN,TPH045055G30.28S4MPR47,"Bao TP-PP, sọc 4 màu PR47 thiết kế giống PR08 Red, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH045055G30.28S4MPR47,"Bao TP-PP, sọc 4 màu PR47 thiết kế giống PR08 Red, K45x55LL, TL: 30.28g/cái, MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,10000,302.8
1/14/2025,SO2501-0055,LSP VN,TPH045055G30.28S4MPR46,"Bao TP-PP, sọc 4 màu PR46 thiết kế giống PR07 Blue, K45x55LL, TL: 30.28g/cái (58gsm), MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",TPH-1553,TPH045055G30.28S4MPR46,"Bao TP-PP, sọc 4 màu PR46 thiết kế giống PR07 Blue, K45x55LL, TL: 30.28g/cái (58gsm), MĐ: 8.5x8.0, đáy 1 lần/1 đường PP1200D xanh dương, cắt răng cưa, không in. [1000cái/kiện, bắn đai 4 ngang x 1 dọc]",CAI,KG,10000,302.8
1/14/2025,SO2501-0055,LSP VN,TPH061103G80.00TDUPR39,"Bao TP-PP, trắng đục, 39 Afrecho, K61x103LL, TL: 80.00g/cái, MK: Afrecho. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",TPH-1553,TPH061103G80.00TDUPR39,"Bao TP-PP, trắng đục, 39 Afrecho, K61x103LL, TL: 80.00g/cái, MK: Afrecho. [Ép kiện: 1000cái/kiện, bắn đai 5 ngang x 1 dọc]",CAI,KG,190000,15200
1/14/2025,SO2501-0056,LSP VN,0102123047000000,"[Đóng gói] Cuộn vải, màu đen, K200cm, dài 200m/cuộn, TL: 150g/m. [75gsm]/CVDPER200200150DE00",OGIAY,020020021,"Ống giấy mới, dài 202cm(+2/-0), ĐK trong: 76.0mm, Dày: 7.0-8.0mm, ĐK ngoài: 91.0mm, lực nén tối thiểu: 100kgF, TL: 3.0kg/ống(+/-0.2).",ONG,KG,60,180
1/14/2025,SO2501-0056,LSP VN,CVDPER400200560DE00,"[Đóng gói] Cuộn vải, màu đen, K400cm, dài 200m/cuộn, TL: 560g/m. [140gsm]",HATMAU,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,KG,48.88792,48.88792
1/14/2025,SO2501-0056,LSP VN,0102123047000000,"[Đóng gói] Cuộn vải, màu đen, K200cm, dài 200m/cuộn, TL: 150g/m. [75gsm]/CVDPER200200150DE00",HATMAU,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,KG,45.51756,45.51756
