Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
02/01/2025,SIM01/25-001,SO2412-0054,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xuất kho bán hàng ngày 02/01/2025, xe 51C-672.66",TPH050074G074INT,"Bao TP-PP, trắng tẩy, K50x74LL (+/-1), TL: 74g/cái (+/-3%), không in. [Mã: 5000931] (Tép 20 cái gấp 03. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",CAI,5000,358,KG
02/01/2025,SIM01/25-001,SO2412-0051,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xuất kho bán hàng ngày 02/01/2025, xe 51C-672.66",TPH060088INT.AQ28.058,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 28 - CODE 058 (2+1) (Mã: 5000615). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,4000,418.5,KG
02/01/2025,SIM01/25-002,,ANH MẠNH,"Xuất bán phế tạp 1850kg * 5.000đ = 9.250.000đ, xe 51C-098.27",PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,KG,1850,1850,KG
03/01/2025,SIM01/25-003,,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN,"Xuất kho bán hàng ngày 03/01/2025, 30.000đ * 2251kg = 67.530.000đ",THACAKCP600102102128TRTA,"Cuộn PP, trắng tẩy, K60.0cm(+/-0.5), MĐ: 10.25x10.25, TL: 126.5g/m(cũ 128g/m). [2500(m/cuộn]",M,17443,2251,KG
03/01/2025,SIM01/25-004,SO2411-0034,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",M,96022,7507.4,KG
03/01/2025,SIM01/25-004,SO2411-0065,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,0102125017000000,"Vải cuộn PP, trắng đục, K58.5cm(+1/-0.5), MĐ: 10.0x9.0, TL: 81g/m(+/-2). [3500 m/cuộn]/THACUSAN585100009081TRDU",M,42420,3472,KG
03/01/2025,SIM01/25-004,SO2412-0027,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,0102125051000000,"Vải cuộn PP, trắng đục, K73.5cm (+1/-0.5), MĐ: 10.0x11.0, TL: 118g/m (+/-2). [3000m/cuộn]/THACUSAN735100110118TRDU",M,15140,1748,KG
03/01/2025,SIM01/25-004,SO2412-0015,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,0102125059000000,"Vải cuộn PP, trắng đục, K71cm (+1.5/-0), MĐ: 11.0x12.0, TL: 116.0g/m (+/-2.0). [2500m/cuộn] [Hooking]/THACUSAN710110120116TRDU",M,28000,3257,KG
03/01/2025,SIM01/25-004,SO2411-0035,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,0102125064000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 11.0x11.0, TL: 96g/m. [Hooking]/THACUSAN585110110096TRDU [Kiểm soát trung bình 95 - 97.5g/m]",M,36360,3485,KG
03/01/2025,SIM01/25-004,SO2410-0059,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,HAPSAN585099TRTR,"Vải cuộn PP, tráng hấp PE, trắng trong, K58.5cm, MĐ: 8.0x8.0, TL: 99.5g/m. [3000m/cuộn] [910D, 8x8]",M,44418,4292,KG
03/01/2025,SIM01/25-004,SO2412-0050,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,THACUSPL510100120086TRDU,"Vải cuộn PP, trắng đục, K51.0cm, MĐ: 10x11.5/12, 880D, 2.55mm, TL: 86g/m [3000m/cuộn].",M,3060,262.5,KG
03/01/2025,SIM01/25-004,SO2410-0060,SANPOLY INDUSTRY SDN BHD,XK bán hàng ngày 03/01/2025; Số Cont 40': MSDU7169878; Số Seal: FX34976143; INV: 02,THADGSAN560080080095TRTR,"[Đóng gói] Vải cuộn PP, tráng hấp PE, trắng trong, K56.0cm, MĐ: 8.0x8.0, TL: 95.0g/m. [3000m/cuộn]",M,14997,1395.5,KG
