Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO08/24-021,Nguyễn Thị Đào,45512.319444444445,PR24/08-022,MDM-FL021,Cam 021C FL.,KG,25,KG,25,,VND,75000,187500,1875000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-021,Nguyễn Thị Đào,45512.319444444445,PR24/08-022,MDM-FL23,Vàng Chanh 23 FL,KG,25,KG,25,,VND,74000,185000,1850000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-021,Nguyễn Thị Đào,45512.319444444445,PR24/08-022,MDM-FLNHUVANG,Nhũ Vàng FL,KG,15,KG,15,,VND,202000,303000,3030000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-021,Nguyễn Thị Đào,45512.319444444445,PR24/08-022,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,50,KG,50,,VND,76000,380000,3800000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-022,Nguyễn Thị Đào,45513.115277777775,PR24/08-024,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,6000,KG,6000,,VND,8200,4920000,49200000,NCC010188,CÔNG TY TNHH HANOTECH PLAS
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-025,0917400080000000,BĂNG KEO ĐỎ 5cm,CUON,50,CUON,50,,VND,9400,37600,470000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-025,0917400020000000,Băng keo 2 mặt ( 5 cm loại dày),CUON,200,CUON,200,,VND,22800,364800,4560000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-025,0917400100000000,BĂNG KEO VÀNG 5CM,CUON,100,CUON,100,,VND,9200,73600,920000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-025,0917400040000000,BĂNG KEO 2 MẶT (QUAN HAO-DÙNG CHO KHÂU IN),CUON,300,CUON,300,,VND,35300,847200,10590000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-025,0917400130000000,Băng keo trong 5cm,CUON,100,CUON,100,,VND,8900,71200,890000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-023,Nguyễn Thị Đào,45513.122916666667,PR24/08-026,5200111360000000,Vòng dệt khổ 1320mm -  đường kính trong 845mm -  Khoan 3 lỗ phi 10mm. ( GC theo bản vẽ),CAI,3,CAI,3,,VND,2900000,0,8700000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-024,Nguyễn Thị Đào,45513.161111111112,PR24/08-027,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,189000,KG,189000,,VND,8200,0,1549800000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO08/24-025,Nguyễn Thị Đào,45513.163888888885,PR24/08-027,5200100070000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 117cm (-1), độ bền nén: >=270kgF/100mm.",ONG,6,KG,24.57,,VND,123000,59040,738000,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO08/24-025,Nguyễn Thị Đào,45513.163888888885,PR24/08-027,5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",ONG,70,KG,291.55,,VND,125000,700000,8750000,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO08/24-025,Nguyễn Thị Đào,45513.163888888885,PR24/08-027,5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",ONG,30,KG,126,,VND,127000,304800,3810000,NCC010006,CÔNG TY CỔ PHẦN BAO BÌ Á CHÂU
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-028,9045002480000009,"Ghế đôn phòng sạch Thái  Quảng, mặt inox tròn chân cố định Chiều cao 50-68b Mã ghế TQ-G45511",CAI,2,CAI,2,,VND,95000,0,190000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-028,9045002480000010,Ghế inox tròn thấp mặt ghế đường kính 28cm x Cao 20cm. Mã sản phẩm GDN15,CAI,2,CAI,2,,VND,115000,0,230000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-030,0904600300000000,Tán thau M13. - Dài 15mm,CAI,50,CAI,50,,VND,10000,0,500000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
