Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,7/1/2024,D107/24-0001,,0927600095000000,Chuyển mạch đảo chiều động cơ 3 pha Hanyoung HY-140R,KQC001,CAI,4,CAI,4,290000,1160000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0002,,0902205101000000,Đèn côn trùng led 40cm,KQC001,CAI,5,CAI,5,1550000,7750000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0003,,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,KQC001,Cái,2,Cái,2,890000,1780000,1531,1531,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0004,,0902210550000000,Công tắc giật dây RP-RM83F-38LTE.,KQC001,CAI,4,CAI,4,1970000,7880000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0005,,0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),KQC001,TRUC,1,TRUC,1,12479000,12479000,1524,1524,NCC010083,,,,,,,,,,
D1,7/1/2024,D107/24-0007,,5200107420000000,Chapati-48 lumut,KQC001,CM2,5190,CM2,5190,290,1505100,1522,1522,NCC010204,,,,,,,,,,
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",KCU001,M,1567,KG,19969,867.27913,17318697,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",KCU001,M,3721,KG,39986,1684.89366,67372158,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1733.5,KG,25380,1908.35465,48434041,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1072.5,KG,15300,1906.53451,29169978,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B1,"[01B1] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,201.3,KG,3064,2311.07245,7081126,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B2,"[01B2] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,66.4,KG,1000,3717.72,3717720,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.08B,"[08B] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,137.3,KG,2018,2552.00545,5149947,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.10A,"[10A] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,4057.7,KG,60630,1613.64445,97835263,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.01A1,"[01A1] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01A1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,2111,KG,30525,1827.70437,55790676,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.07A,"[07A] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 07A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,2089.3,KG,30444,1830.16256,55717469,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10D,"[10D] Bao TP-PP, màu xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10D. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,141.7,KG,2050,1744.32,3575856,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10E,"[10E] Bao TP-PP, màu  xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10E. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,140.5,KG,2050,1591.58488,3262749,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.04A,"[04A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 04A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1610.4,KG,25428,984.73022,25039720,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.05A,"[05A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1297.9,KG,20364,985.2774,20064189,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067VACDW24.05B,"[05B] Bao TP-PP, màu vàng chanh, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,331.7,KG,5028,1677.40891,8434012,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.02A,"[02A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,2675.2,KG,38432,1010.36998,38830539,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.03A,"[03A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24- 03A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1883,KG,27177,1012.98499,27529893,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.06A,"[06A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,1061.1,KG,15259,1005.64932,15345203,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73TDUDW24.03B,"[03B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 03B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,348.9,KG,5018,1382.9153,6939469,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73TDUDW24.06B,"[06B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,715.7,KG,10100,1664.15743,16807990,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73XLBTDW24.02B,"[02B] Bao TP-PP, màu xanh lá biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KTP001,Bộ,517,KG,6950,1663.6364,11562273,15517,15515,KH020005,001306,,,SO2406-0003,,,,,,2260
HD,7/1/2024,362,"Xuất bán hàng ngày 01/07/2024, xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",,M,1567,KG,19969,0,0,6322,15514,NCC010165,,,,SO2405-0049,,,,,,2301
HD,7/1/2024,362,"Xuất bán hàng ngày 01/07/2024, xe 51C-672.66",THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",,M,3721,KG,39986,0,0,6322,15514,NCC010165,,,,SO2405-0049,,,,,,2301
LR,7/1/2024,LR07/24-0007,Cm sợi đồng cấp,SOI-SW4,"Sợi PP, trắng đục, 810D, 2.55mm.",KSO001,KG,492.6,KG,492.6,19758.17,9732875,15512,15512,CTY00001,,,,,,,,,,2270
LR,7/1/2024,LR07/24-0051,CM SỢI ĐỒNG CẤP,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",KSO001,KG,230.56,KG,230.56,27369.82,6310385,15512,15512,CTY00001,,,,,,,,,,2270
LR,7/1/2024,LR07/24-0054,CM SỢI ĐỒNG CẤP,SOI-TM15-3,"Sợi PP, trắng đục, 600D, 2.60mm, 2.60kgF, 20%.",KSO001,KG,1040.36,KG,1040.36,940.14,978086,15512,15512,CTY00001,,,,,,,,,,2270
LR,7/1/2024,LR07/24-0055,CM SỢI ĐỒNG CẤP,SOI-JB22-2,"Sợi PP, màu Beige có UV, 1650D, 2.20mm. [125TCJB-BE220322]",KSO001,KG,103.55,KG,103.55,24816.97,2569797,15512,15512,CTY00001,,,,,,,,,,2270
LR,7/1/2024,LR08/24-0011,Cm sợi đồng cấp,SOI-JB84,"Sợi PP, đen UV, 14000D, 2.20mm. [0.5UV  + sủi tạp màu]",KSO001,KG,265.77,KG,265.77,24816.97,6595606,15512,15512,CTY00001,,,,,,,,,,2270
LR,7/1/2024,LR08/24-0013,CM SỢI ĐỒNG CẤP,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",KSO001,KG,192.44,KG,192.44,27369.82,5267047,15512,15512,CTY00001,,,,,,,,,,2270
P1,7/1/2024,SIM07/24-001,"Xk bán hàng ngày 01/07/2024,Xe 51C-672.66",THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",KKD001,M,1567,KG,19969,865.06981,17274579,6322,15517,NCC010165,002519,,,SO2405-0049,,,,,,2242
P1,7/1/2024,SIM07/24-001,"Xk bán hàng ngày 01/07/2024,Xe 51C-672.66",THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",KKD001,M,3721,KG,39986,1684.89366,67372158,6322,15517,NCC010165,002519,,,SO2405-0049,,,,,,2242
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1733.5,KG,25380,1908.35465,48434041,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1072.5,KG,15300,1906.53451,29169978,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CBTDW24.01B1,"[01B1] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,201.3,KG,3064,2311.07245,7081126,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70CBTDW24.01B2,"[01B2] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,66.4,KG,1000,3717.72,3717720,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70TDUDW24.08B,"[08B] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,137.3,KG,2018,2552.00545,5149947,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70TDUDW24.10A,"[10A] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,4057.7,KG,60630,1613.64445,97835263,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70VBTDW24.01A1,"[01A1] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01A1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,2111,KG,30525,1827.70437,55790676,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70VBTDW24.07A,"[07A] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 07A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,2089.3,KG,30444,1830.16256,55717469,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70XLBTDW24.10D,"[10D] Bao TP-PP, màu xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10D. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,141.7,KG,2050,1744.32,3575856,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455066G70XLBTDW24.10E,"[10E] Bao TP-PP, màu  xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10E. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,140.5,KG,2050,1591.58488,3262749,6321,15517,KH020005,002519,,,SO2406-0004,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067CAMDW24.04A,"[04A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 04A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1610.4,KG,25428,984.73022,25039720,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067CAMDW24.05A,"[05A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1297.9,KG,20364,985.2774,20064189,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G067VACDW24.05B,"[05B] Bao TP-PP, màu vàng chanh, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,331.7,KG,5028,1677.40891,8434012,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.02A,"[02A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,2675.2,KG,38432,1010.36998,38830539,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.03A,"[03A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24- 03A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1883,KG,27177,1012.98499,27529893,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73CAMDW24.06A,"[06A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,1061.1,KG,15259,1005.64932,15345203,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73TDUDW24.03B,"[03B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 03B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,348.9,KG,5018,1382.9153,6939469,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73TDUDW24.06B,"[06B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,715.7,KG,10100,1664.15743,16807990,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
P1,7/1/2024,SIM07/24-002,"Xk bán hàng ngày 01/07/2024, Số cont: TGBU5203623 ; Số Seal: IAAG373009; INV: 160",TPH455068G73XLBTDW24.02B,"[02B] Bao TP-PP, màu xanh lá biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",KKD001,Bộ,517,KG,6950,1663.6364,11562273,6321,15517,KH020005,002519,,,SO2406-0003,,,,,,2240
PX,7/1/2024,PX07/24-0001,XUẤT MỰCIN CHO KHÂU IN,MDM-DMC,Dung môi Chỉnh,KHC001,KG,50,KG,50,39000,1950000,627215,1523,CTY00001,,Phân xưởng 8,,,,,,,,2217C
PX,7/1/2024,PX07/24-0001,XUẤT MỰCIN CHO KHÂU IN,MDM-DMO001,Dung môi Chậm khô Trực Tiếp,KHC001,KG,24,KG,24,71583.33,1718000,627215,1523,CTY00001,,Phân xưởng 8,,,,,,,,2217C
