Mã,Ngày,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Đvt,Kho,Số lượng,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Bộ phận,Đơn hàng/Hợp đồng mua,Lệnh sản xuất,Công đoạn,Mã trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,7/1/2024,D107/24-0001,,0927600095000000,Chuyển mạch đảo chiều động cơ 3 pha Hanyoung HY-140R,CAI,KVT001,4,290000,1160000,1524,1524,NCC010053,,,,,,,,,
D1,7/1/2024,D107/24-0002,,0902205101000000,Đèn côn trùng led 40cm,CAI,KVT001,5,1550000,7750000,1524,1524,NCC010053,,,,,,,,,
D1,7/1/2024,D107/24-0003,,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,Cái,KVT001,2,890000,1780000,1531,1531,NCC010053,,,,,,,,,
D1,7/1/2024,D107/24-0004,,0902210550000000,Công tắc giật dây RP-RM83F-38LTE.,CAI,KVT001,4,1970000,7880000,1524,1524,NCC010053,,,,,,,,,
D1,7/1/2024,D107/24-0005,,0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),TRUC,KVT001,1,12479000,12479000,1524,1524,NCC010083,,,,,,,,,
D1,7/1/2024,D107/24-0007,,5200107420000000,Chapati-48 lumut,CM2,KVT001,5190,290,1505100,1522,1522,NCC010204,,,,,,,,,
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,KKD001,1567,850.01487,16973947,15517,15514,NCC010165,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",M,KKD001,3721,1220.06002,48785320,15517,15514,NCC010165,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1733.5,1908.21568,48430514,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1072.5,1906.39614,29167861,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B1,"[01B1] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,201.3,2310.78851,7080256,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CBTDW24.01B2,"[01B2] Bao TP-PP, cam biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01B2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,66.4,3717.246,3717246,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.08B,"[08B] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,137.3,2552.00545,5149947,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70TDUDW24.10A,"[10A] Bao TP-PP, màu trắng đục, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,4057.7,1613.64445,97835263,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.01A1,"[01A1] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 01A1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,2111,1827.70437,55790676,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70VBTDW24.07A,"[07A] Bao TP-PP, vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 07A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,2089.3,1830.16256,55717469,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10D,"[10D] Bao TP-PP, màu xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10D. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,141.7,1744.32,3575856,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70XLBTDW24.10E,"[10E] Bao TP-PP, màu  xanh lá biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 10E. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,140.5,1591.58488,3262749,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.04A,"[04A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 04A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1610.4,984.47967,25033349,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067CAMDW24.05A,"[05A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1297.9,985.02716,20059093,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G067VACDW24.05B,"[05B] Bao TP-PP, màu vàng chanh, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW24 - 05B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,331.7,1677.40891,8434012,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.02A,"[02A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,2675.2,1010.11803,38820856,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.03A,"[03A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24- 03A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1883,1012.73183,27523013,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73CAMDW24.06A,"[06A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,1061.1,1005.39885,15341381,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73TDUDW24.03B,"[03B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 03B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,348.9,1382.9153,6939469,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73TDUDW24.06B,"[06B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 06B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,715.7,1664.15743,16807990,15517,15515,KH020005,001306,,,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455068G73XLBTDW24.02B,"[02B] Bao TP-PP, màu xanh lá biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW24 - 02B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KKD001,517,1663.6364,11562273,15517,15515,KH020005,001306,,,,,,,,2260
LR,7/1/2024,LR07/24-0007,Cm sợi đồng cấp,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",KG,KSO001,492.6,19758.17093,9732875,15512,15512,CTY00001,,,,,,,,,2270
LR,7/1/2024,LR07/24-0051,CM SỢI ĐỒNG CẤP,SOI-JB42-1,"Sợi PP trắng UV 1450D, bản sợi 5mm[12%TC]",KG,KSO001,230.56,27369.8156,6310386,15512,15512,CTY00001,,,,,,,,,2270
LR,7/1/2024,LR07/24-0054,CM SỢI ĐỒNG CẤP,SOI-TM15-2,"Sợi PP, trắng đục, 600D, 2.60mm. [Không sủi]",KG,KSO001,1040.36,0,0,15512,15512,CTY00001,,,,,,,,,2270
LR,7/1/2024,LR07/24-0055,CM SỢI ĐỒNG CẤP,SOI-JB42-1,"Sợi PP trắng UV 1450D, bản sợi 5mm[12%TC]",KG,KSO001,103.55,0,0,15512,15512,CTY00001,,,,,,,,,2270
LR,7/1/2024,LR08/24-0011,Cm sợi đồng cấp,SOI-JB22-2,"Sợi PP, màu Beige có UV, 1650D, 2.20mm. [125TCJB-BE220322]",KG,KSO001,265.77,0,0,15512,15512,CTY00001,,,,,,,,,2270
LR,7/1/2024,LR08/24-0013,CM SỢI ĐỒNG CẤP,SOI-JB42,"Sợi PP trắng UV 1450D, bản sợi 5mm",KG,KSO001,192.44,0,0,15512,15512,CTY00001,,,,,,,,,2270
NM,7/1/2024,NM07/24-024,Nhập mua vật tư T06.2024 (NM06/24-151) ngày 26.06.2024,0917400020000000,Băng keo 2 mặt ( 5 cm loại dày),CUON,,200,22800,4560000,1524,3311,NCC010053,002473,,PO06/24-047,,,,,,2101
NM,7/1/2024,NM07/24-024,Nhập mua vật tư T06.2024 (NM06/24-151) ngày 26.06.2024,0917400080000000,BĂNG KEO ĐỎ 5cm,CUON,,100,9400,940000,1524,3311,NCC010053,002473,,PO06/24-047,,,,,,2101
NM,7/1/2024,NM07/24-024,Nhập mua vật tư T06.2024 (NM06/24-151) ngày 26.06.2024,0917400100000000,BĂNG KEO VÀNG 5CM,CUON,,200,8700,1740000,1524,3311,NCC010053,002473,,PO06/24-047,,,,,,2101
NM,7/1/2024,NM07/24-024,Nhập mua vật tư T06.2024 (NM06/24-151) ngày 26.06.2024,0917400130000000,Băng keo trong 5cm,CUON,,100,8700,870000,1524,3311,NCC010053,002473,,PO06/24-047,,,,,,2101
NM,7/1/2024,NM07/24-024,Nhập mua vật tư T06.2024 (NM06/24-151) ngày 26.06.2024,0919400020000000,Màng co trắng trong.(50cm),KG,,36,37167,1338000,1524,3311,NCC010053,002473,,PO06/24-082,,,,,,2101
PN,7/1/2024,NM07/24-001,"Nhập lại sau sửa chữa 1 trục cao su đạt, trả lại 1 trục không sửa chữa, theo PX06/24-0138 ngày 10/06/2024",0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),TRUC,KVTSC001,1,0,0,1524,1388,NCC010083,,,,,,,,,2162
PN,7/1/2024,NM07/24-001,"Nhập lại sau sửa chữa 1 trục cao su đạt, trả lại 1 trục không sửa chữa, theo PX06/24-0138 ngày 10/06/2024",0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),TRUC,KVTSC001,1,0,0,1524,1388,NCC010083,,,,,,,,,2162
PN,7/1/2024,NM07/24-002,Nhập lại sau sửa chữa 7 motor theo PX06/24-0240 + 0272 ngày 15 + 18/06/2024,0907100110000000,Motor 220v-160w,Cái,KVTSC001,5,0,0,1524,1388,NCC010087,,,,,,,,,2162
PN,7/1/2024,NM07/24-002,Nhập lại sau sửa chữa 7 motor theo PX06/24-0240 + 0272 ngày 15 + 18/06/2024,0907100330000000,Motor 380V - 3P - 3Kw.,CAI,KVTSC001,1,0,0,1524,1388,NCC010087,,,,,,,,,2162
PN,7/1/2024,NM07/24-002,Nhập lại sau sửa chữa 7 motor theo PX06/24-0240 + 0272 ngày 15 + 18/06/2024,0907100570000000,Moter 380v-180w,Cái,KVTSC001,1,0,0,1524,1388,NCC010087,,,,,,,,,2162
PN,7/1/2024,NM07/24-003,"Nhập lại 28 dao bằm phế đi mài lại và thay lưỡi, theo PX06/24-94 + 96 ngày 07/06/2024",0905300090000000,DAO BẰM PHẾ MÁY Ó LỚN 8 TẤC,CAI,KVTSC001,16,0,0,1524,1388,NCC010056,,,,,,,,,2162
PN,7/1/2024,NM07/24-003,"Nhập lại 28 dao bằm phế đi mài lại và thay lưỡi, theo PX06/24-94 + 96 ngày 07/06/2024",0905300090000000,DAO BẰM PHẾ MÁY Ó LỚN 8 TẤC,CAI,KVTSC001,12,0,0,1524,1388,NCC010056,,,,,,,,,2162
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,35,0,0,1527,15412,CTY00001,,,,LSX06/24-112,SOI,,TPH051070G072TDHARIMERYS,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,10,0,0,1527,15412,CTY00001,,,,LSX06/24-002,SOI,,0102125051000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,4,0,0,1527,15412,CTY00001,,,,LSX06/24-002,SOI,,0102125051000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,18,0,0,1527,15412,CTY00001,,,,LSX06/24-067,SOI,,TPH455066G057CAM.DW.XXX,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,15,0,0,1527,15412,CTY00001,,,,LSX06/24-067,SOI,,TPH455066G057CAM.DW.XXX,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,27,0,0,1527,15412,CTY00001,,,,LSX06/24-067,SOI,,TPH455066G057CAM.DW.XXX,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,54,0,0,1527,15412,CTY00001,,,,LSX06/24-073,SOI,,0102123053000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,5,0,0,1527,15412,CTY00001,,,,LSX06/24-073,SOI,,0102123053000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KG,KPH001,15,0,0,1527,15412,CTY00001,,,,LSX06/24-102,SOI,,0102129003000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-DCA-04-2,"Sợi PP, dung sui màu cam, 830D, 2.60mm.",KG,KSO001,2499.5,19022.907,47547756,15512,15412,CTY00001,,,,LSX06/24-067,SOI,,TPH455066G057CAM.DW.XXX,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-DCA-04-2,"Sợi PP, dung sui màu cam, 830D, 2.60mm.",KG,KSO001,4379.6,19375.1772,84855526,15512,15412,CTY00001,,,,LSX06/24-109,SOI,,THACUDOW455100110070CA00,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-HV14,"Sợi PP, trắng đục, 730D, 2.55mm. [Non-Recycled]",KG,KSO001,32.2,0,0,15512,15412,CTY00001,,,,LSX06/24-008,SOI,,0119111009015000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-HV14,"Sợi PP, trắng đục, 730D, 2.55mm. [Non-Recycled]",KG,KSO001,1199.46,19625.5573,23540071,15512,15412,CTY00001,,,,LSX06/24-112,SOI,,TPH051070G072TDHARIMERYS,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-HV14,"Sợi PP, trắng đục, 730D, 2.55mm. [Non-Recycled]",KG,KSO001,1846.74,18026.0768,33289477,15512,15412,CTY00001,,,,LSX07/24-005,SOI,,0119110020000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-PR42MI-01,"Sợi PP, xanh dương 2195C, 670D, 2.50mm. [EMH77197+20.5%Sủi xanh dương+MF4X]",KG,KSO001,1396.1,15442.1911,21558843,15512,15412,CTY00001,,,,LSX03/24-065,SOI,,0102123050000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-PR47MI-01,"Sợi PP, màu đen, 760D, 2.50mm. [CB105+MF4X]",KG,KSO001,5161,18875.6125,97417036,15512,15412,CTY00001,,,,LSX06/24-073,SOI,,0102123053000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-SMY2-1,"Sợi PP denier 940D , bản chỉ 3.33mm (khách hàng San Miguel )",KG,KSO001,1483.5,24853.423,36870053,15512,15412,CTY00001,,,,LSX06/24-102,SOI,,0102129003000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",KG,KSO001,22.52,124052.1758,2793655,15512,15412,CTY00001,,,,LSX06/24-002,SOI,,0102125051000000,,2154
TP,7/1/2024,TP07/24-001,Nhập báo cáo khâu sợi X01 ngày 01/07/2024,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",KG,KSO001,2374.28,18892.8277,44856863,15512,15412,CTY00001,,,,LSX06/24-094,SOI,,0102125017000000,,2154
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-013,VAICUON,,0119101001001000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-013,VAICUON,,0119101001001000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX05/24-076,VAICUON,,TPH595920G112MEK.BM28,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX05/24-076,VAICUON,,TPH595920G112MEK.BM28,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-072,VAICUON,,TPH050080G52TDSAN.XXX,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-072,VAICUON,,TPH050080G52TDSAN.XXX,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-090,VAICUON,,0102125032000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-090,VAICUON,,0102125032000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-106,VAICUON,,0102125059000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-106,VAICUON,,0102125059000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-106,VAICUON,,0102125059000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.3,0,0,1527,15414,CTY00001,,,,LSX05/24-076,VAICUON,,TPH595920G112MEK.BM28,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3.8,0,0,1527,15414,CTY00001,,,,LSX05/24-076,VAICUON,,TPH595920G112MEK.BM28,,2109B
TP,7/1/2024,TP07/24-002,Nhập báo cáo dệt ngày 01/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.4,0,0,1527,15414,CTY00001,,,,LSX06/24-007,VAICUON,,TPH595920G112MEK.XILO,,2109B
