Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2
5200100060000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 116cm (-1), độ bền nén: >=270kgF/100mm.",KG,0,0,64.96,1920000,48.72,1440000,16.24,480000,ONG,0,16,12,4
5200100070000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 117cm (-1), độ bền nén: >=270kgF/100mm.",KG,0,0,49.14,1476000,49.14,1476000,0,0,ONG,0,12,12,0
5200100080000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 119cm (-0/+1), độ bền nén: >=270kgF/100mm",KG,249.905,7500149,1499.4,45000000,1749.3,52499999,0.005,150,ONG,60,360,420,0
5200100090000000,"[ECL] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 120cm (-1), độ bền nén: >=270kgF/100mm.",KG,8.4,254000,554.4,16764000,386.4,11684000,176.4,5334000,ONG,2,132,92,42
5200100110000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 114cm (+1), độ bền nén: >=270kgF/100mm.",KG,240,26760000,0,0,0,0,240,26760000,ONG,60,0,0,60
5200100120000000,"[SMY] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 123cm (+1), độ bền nén: >=270kgF/100mm.",KG,266.915,10212521,0,0,0,0,266.915,10212521,ONG,62,0,0,62
05200100158000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 92.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,14.72,15220480,0,0,0,0,14.72,15220480,ONG,5,0,0,5
5200100162000000,"Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, chiều dài 117.0cm (+1.0), F(Min) = 270kgF/100mm.",KG,33.7,0,0,0,0,0,33.7,0,ONG,9,0,0,9
5200100270000000,Ống giấy cũ dài 36cm,ONG,70,0,0,0,0,0,70,0,ONG,70,0,0,70
5200101380000000,"[ĐA] Ống giấy mới, phi trong 77.77mm, phi ngoài 107.77mm, dài 96cm (+1), độ bền nén: >=270kgF/100mm.",KG,201.6,0,0,0,0,0,201.6,0,ONG,60,0,0,60
5200101410000000,Ống giấy cũ dài trên 135cm.,KG,0,0,18060,144480000,18060,119760000,0,24720000,KG,0,18060,18060,0
5200101500000000,"Ống giấy mới, dài 183cm(+1/-0), ĐK trong: 76.5mm, Dày: 15mm(+1/-0), độ bền nén: >=270kgF/100mm",ONG,2,0,0,0,0,0,2,0,ONG,2,0,0,2
0900200040000000,"Thùng Carton giấy màu nâu, KT phủ bì DxRxC: 560x350x190mm (-0/+5),5 lớp,thùng có in 2 bên, marka: GECOSAC REF 274P SACS TISSES 65KGS; TL: 760.0-/+10.0g/thùng.",KG,9.68,202873,0,0,0,0,9.68,202873,CAI,13,0,0,13
0900200050000000,"Thùng Carton giấy màu nâu, KT phủ bì DxRxC: 530x320x190mm (-0/+5),5 lớp,thùng có in 2 bên, marka: ACOSAC REF 432 SACS TISSES 65KGS; TL:650+/-10g/thùng",KG,3.6,1580992,0,0,0,0,3.6,1580992,CAI,5,0,0,5
BIACARTON5LOP.1111,Bìa carton 5 lớp kích thước 1.1mx1.1m. [Lót Pallet],TAM,1,15000,0,0,0,0,1,15000,TAM,1,0,0,1
