Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",09,Công đoạn tráng ngoài,CUONTRANG,THATRVAI750009009142XAMO,"Vải áo, cuộn PP tráng màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 9x9, TL 142gr/m",M,KG,10668.1575,1514.878365
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",09,Công đoạn tráng ngoài,CUONTRANG,THATRVAI750009009142XAMO,"Vải áo, cuộn PP tráng màu xám tro khổ 75cm sọc 1 biên 5cm bằng chỉ súc máy, 9x9, TL 142gr/m",M,KG,12192.18,1731.28956
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",16,Cắt - Manh,MANH,MANH-150280G397.VAIAO,"Manh vải áo bọc cuộn, tráng PE, W x L = 150cm x 280cm; TL: 397.6gr/cái.",Cái,KG,3003,1193.9928
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",16,Cắt - Manh,MANH,MANH-150350G497.VAIAO,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, TL: 497g/cái.",Cái,KG,3003,1492.491
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",16,Cắt - Manh,MANH,MANH-150400G568.VAIAO,"Manh vải áo bọc cuộn, tráng PE, W x L = 150cm x 400cm, TL: 568.02g/cái.",Cái,KG,3003,1705.76406
SO2410-0037,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",22,Công đoạn may vải áo bọc cuộn,BAO,VAO0012,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 400cm, dây rút 430cm, TL: 580.62gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",CAI,KG,3000,1741.86
SO2410-0037,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",22,Công đoạn may vải áo bọc cuộn,BAO,VAO0001,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 280cm, dây rút 380cm, TL: 340gr/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",CAI,KG,3000,1248
SO2410-0037,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",22,Công đoạn may vải áo bọc cuộn,BAO,VAO0003,"Vải áo bọc cuộn, tráng PE, W x L = 140cm x 350cm, dây rút 380cm, TL: 480g/cái. [Gấp lai mỗi biên 5cm, may 1 đường PP900D]",CAI,KG,3000,1761
SO2410-0036,SUI-TRANG,Sủi trắng,01,"Công đoạn tái chế (ó, tạo hạt)",SUI,SUI-TRANG,Sủi trắng,KG,KG,30000,30000
SO2410-0035,TPH055090G147TDLU.DMS09,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: DMS-09 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",02,Công đoạn tạo sợi,TPH-1551,SOI-LU-01,"Sợi PP, trắng đục, 1030D, bản sợi 2.45mm(4kgf).",KG,KG,165.0871005,165.0871005
