Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
10/23/2024,SO2410-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088G105INTAQ36133,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 36 - CODE 133 (2+1) (Mã: 5000622). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,4000,420,11/2/2024,
10/23/2024,SO2410-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088G105INTAQ36134,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 36 - CODE 134 (2+1) (Mã: 5000622). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,4000,420,11/2/2024,
10/23/2024,SO2410-0044,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G156TDLU.LT1102,"Bao PP-TP K55x90cm, trắng đục,dệt 5x1, tráng ngoài, TL: 156gr/bộ, gấp đáy 1, miệng mở, xếp lệch hông - Lồng bao LDPE 39gr, MK: LT1102 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",Bộ,KG,7200,1123.2,10/28/2024,
10/23/2024,SO2410-0045,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G117TDLU.XXX,"[SO tổng] Bao PP-TP K55x90cm, trắng đục,dệt 5x1, tráng ngoài, TL: 117gr/cái, gấp đáy 1, miệng mở, xếp lệch hông - Mã dùng làm đơn hàng tổng.",Bộ,KG,10000,1170,10/28/2024,
10/23/2024,SO2410-0046,TAUPLENE INDUSTRIES SDN. BHD,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",M,KG,3176000,247728,11/22/2024,
10/23/2024,SO2410-0046,TAUPLENE INDUSTRIES SDN. BHD,THADGTAU066080080120TRDU,"Vải cuộn PP tráng trong, trắng đục, K66cm, 8x8x870D, TL: 120g/m (+/-5%), HDPE: 35micx38g/m, 2500m/cuộn (18% taical)",M,KG,500000,60000,11/22/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001002000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BICYCLE BLUE. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBIBL",CAI,KG,40000,3200,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001003000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BICYCLE GREEN. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBIGR",CAI,KG,40000,3200,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001004000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BICYCLE RED. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBIRE",CAI,KG,10000,800,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001008000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: DIAMOND. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMDIMO",CAI,KG,22000,1760,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001010000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: GOLDEN STATUE. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMGOST",CAI,KG,2000,160,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001012000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: NB SPECIAL. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMNBSP",CAI,KG,3000,240,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001007000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: BLUE ROSES PAU. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMBLROP",CAI,KG,11000,880,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001014000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: RED ROSES. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMRERO",CAI,KG,7000,560,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),TPH485079TDMFM.CHAPATI,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: CHAPATI 25KG PP BAG. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.CHAPATI",CAI,KG,7000,560,11/20/2024,
10/23/2024,SO2410-0047,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),0119119001016000,"Bao TP-PP, trắng đục, K48.5x79LL(+/-1), TL: 80g/cái(+/-5%), MK: ROTI CANAI. [Kiện 5 tép 100 cái trở đầu, loại bỏ dây cột, vải áo dệt xếp, nhận dạng MK bên ngoài, bắn đai 5 ngang x 1 dọc]/TPH485079TDMFM.LMROCA",CAI,KG,8000,640,11/20/2024,
