Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901300740000000,Bulong M10x30,CAI,100,CAI,100,,VND,1100,0,110000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901301890000000,Bulong M12x25mm.,CON,100,CON,100,,VND,1400,0,140000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0923700600000000,Bulong M6x10 (ALLEN SCREW ) mã : ANSI - 02000 .,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0923700610000000,Bulong M6x10 (ALLEN SCREW ) mã : ANSI - 04044,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901300150000000,Bulong M8X30mm,CAI,100,CAI,100,,VND,800,0,80000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-032,Nguyễn Thị Đào,10/11/2024,PR24/10-033,0921800140000000,Bulong Nhựa bồn xả.,CAI,10,CAI,10,,VND,5000,0,50000,Võ Công Vũ,NV041
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0923700370000000,Bulong SCREW M5x7.2mm  Mã: Z4R - 13869.,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-039,0923700570000000,Bulong thường M8x50mm + tán + long đền.,CON,20,CON,20,,VND,8000,0,160000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-039,Nguyễn Thị Đào,11/13/2024,PR24/11-040,5300101130000000,Bút lông bảng đỏ,Cây,10,Cây,10,,VND,1,1,10,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO10/24-020,Nguyễn Thị Đào,10/9/2024,PR24/10-023,5300101130000000,Bút lông bảng đỏ,Cây,10,Cây,10,,VND,7500,6000,75000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO11/24-039,Nguyễn Thị Đào,11/13/2024,PR24/11-040,5300100350000000,Bút Lông Bảng xanh,Cây,10,Cây,10,,VND,1,1,10,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO10/24-020,Nguyễn Thị Đào,10/9/2024,PR24/10-023,5300100350000000,Bút Lông Bảng xanh,Cây,10,Cây,10,,VND,7500,6000,75000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO10/24-030,Nguyễn Thị Đào,10/10/2024,PR24/10-024,5300101830000000,Bút lông đâu Highper-B màu đỏ,Cây,36,Cây,36,,VND,12000,34560,432000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO11/24-039,Nguyễn Thị Đào,11/13/2024,PR24/11-040,53-5300100370000000,Bút lông dầu xanh,CAY,10,CAY,10,,VND,1,1,10,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO10/24-020,Nguyễn Thị Đào,10/9/2024,PR24/10-023,5300100410000000,Bút xóa,CAY,10,CAY,10,,VND,18000,18000,180000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO10/24-051,Nguyễn Thị Đào,10/16/2024,PR24/10-054,09050000160000000,Cà rá INOX phi 49/42,CAI,2,CAI,2,,VND,55000,0,110000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-029,Nguyễn Thị Đào,10/10/2024,PR24/10-029,MDM-FL021GT,Cam 021C FL gián tiếp,KG,50,KG,50,,VND,75000,375000,3750000,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN),NCC010016
PO10/24-024,Nguyễn Thị Đào,10/10/2024,PR24/10-028,MDM-FL021,Cam 021C FL.,KG,50,KG,50,,VND,75000,375000,3750000,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN),NCC010016
PO10/24-072,Nguyễn Thị Đào,10/21/2024,PR24/10-072,0902201800000000,Cảm biến quang BR200-DDTN,Cái,2,Cái,2,,VND,700000,0,1400000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-067,Nguyễn Thị Đào,10/21/2024,PR24/09-069,0927600106000000,Cảm biến tốc độ motor (mã: NBB2-8GM30-E2-9M.),CAI,5,CAI,5,,VND,2000000,0,10000000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-002,Nguyễn Thị Đào,11/2/2024,PR24/11-006,5200104350000000,Cám mì Pollard,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-083,Nguyễn Thị Đào,10/24/2024,PR24/10-083,5300100222000000,CAMERA Hành Trình,Bộ,1,Bộ,1,,VND,3200000,320000,3200000,Trần Trung Hiếu,NV031
PO10/24-091,Nguyễn Thị Đào,10/26/2024,PR24/10-089,0906800109000000,Cân điện tử 100kg (loại sạc pin),CAI,1,CAI,1,,VND,4200000,420000,4200000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-001,0904900190000000,Cánh quạt bơm nước EWALA model: CDX 120/20 ( Theo mẫu),CAI,1,CAI,1,,VND,1,0,1,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-031,Nguyễn Thị Đào,11/13/2024,PR24/11-029,0904900130000000,CÁNH QUẠT THÁP GIẢI NHIỆT COOLING TOWER 30RT - 670mm.,Cái,1,Cái,1,,VND,950000,95000,950000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,0902211040000000,Card X20 AI 1744 (AIVS - 01226),CAI,4,CAI,4,,VND,1,0,4,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,0902211050000000,Card X20 BT 9100 (AIVS - 01203),CAI,4,CAI,4,,VND,1,0,4,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,0902211030000000,Card X20 JF (modul JF 1091),CAI,4,CAI,4,,VND,1,0,4,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0909000030000000,cát xây dựng,M3,20,M3,20,,VND,540000,0,10800000,Võ Công Vũ,NV041
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0908800240000000,Cây cừ tràm phi 100x4500mm.,CAY,400,CAY,400,,VND,36000,0,14400000,Võ Công Vũ,NV041
PO10/24-108,Nguyễn Thị Đào,10/30/2024,PR24/10-035,0908800240000000,Cây cừ tràm phi 100x4500mm.,CAY,100,CAY,100,,VND,39000,0,3900000,Võ Công Vũ,NV041
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200103910000000,CF 40kg (Mekong),CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-046,Nguyễn Thị Đào,11/15/2024,PR24/11-051,52001051320000000,CF2.X-25kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-106,Nguyễn Thị Đào,10/30/2024,PR24/10-107,0927600067000000,Chén cước đánh rĩ Inox D100,CAI,10,CAI,10,,VND,25000,0,250000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-063,Nguyễn Thị Đào,10/19/2024,PR24/10-065,040010006000000,"Chỉ may cotton C9, màu trắng. [2400D, 9.0kgF, 16%]",KG,300,KG,300,,VND,50000,1500000,15000000,CTY TNHH SẢN XUẤT – THƯƠNG MẠI ĐỨC NGỌC,NCC010209
PO10/24-015,Nguyễn Thị Đào,10/9/2024,PR24/10-017,040010007000000,"Chỉ may multi Polyester, 2000D (se đôi), màu trắng. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,1000,KG,1000,,VND,50700,5070000,50700000,CÔNG TY TNHH BU KWANG VINA,NCC010011
PO10/24-014,Nguyễn Thị Đào,10/9/2024,PR24/10-017,040010009000000,"Chỉ may PP 1200D, màu trắng không tẩy. Lực >4.8kgF, dãn >20%, nhúng hồ 20 điểm/1 mét, kháng UV 1-2%",KG,510,KG,510,,VND,37000,1509600,18870000,CÔNG TY TNHH PHƯƠNG QUÂN VINA,NCC010357
PO10/24-014,Nguyễn Thị Đào,10/9/2024,PR24/10-017,040010012000000,"Chỉ may PP 600D, màu trắng không tẩy. Cơ lý > or = 2.4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,540,KG,540,,VND,41000,1771200,22140000,CÔNG TY TNHH PHƯƠNG QUÂN VINA,NCC010357
PO10/24-014,Nguyễn Thị Đào,10/9/2024,PR24/10-017,040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,2010,KG,2010,,VND,37000,5949600,74370000,CÔNG TY TNHH PHƯƠNG QUÂN VINA,NCC010357
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-005,040010020540000,"Chỉ tơ Polyester, không se , 3000D, màu trắng. [Dùng cho may bao Jumbo]; Lực ≥22KgF, độ giãn ≥ 15.5% ± 1",KG,100,KG,100,,VND,1,0,100,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-054,Nguyễn Thị Đào,11/16/2024,PR24/11-060,5200109600000000,Chổi nhựa,CAY,10,CAY,10,,VND,1,0,10,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0906900340000000,Chụp mũ màu NICHIFU TIC5.5 ( đỏ - vàng - xanh - đen ),CAI,600,CAI,600,,VND,971,0,582600,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-010,Nguyễn Thị Đào,11/4/2024,PR24/11-014,0906900340000000,Chụp mũ màu NICHIFU TIC5.5 ( đỏ - vàng - xanh - đen ),CAI,900,CAI,900,,VND,971,0,873900,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-101,Nguyễn Thị Đào,10/30/2024,PR24/10-100,0910900071000000,Cọ 7 phân,CAI,1,CAI,1,,VND,9000,0,9000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-032,Nguyễn Thị Đào,10/11/2024,PR24/10-032,0906600710000000,Co sắt máng xôi phi 90mm.,CAI,1,CAI,1,,VND,1,0,1,Võ Công Vũ,NV041
PO10/24-061,Nguyễn Thị Đào,10/19/2024,PR24/10-063,0904701020000000,co sắt răng trong phi 60,CAI,10,CAI,10,,VND,42000,0,420000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0910900020000000,CỌ SƠN 5 Phân,Cái,2,Cái,2,,VND,12000,0,24000,Võ Công Vũ,NV041
PO10/24-073,Nguyễn Thị Đào,10/21/2024,PR24/10-072,0902209180000000,Còi hú báo động 24VDC-15w TS-222-110dB,CAI,2,CAI,2,,VND,148000,0,296000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-051,Nguyễn Thị Đào,10/16/2024,PR24/10-052,0903100430000000,CON TRƯỢT TRÒN LM 30UU,CAI,10,CAI,10,,VND,95000,0,950000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-035,Thái Nguyễn Minh Quyết,11/13/2024,PR24/11-042,0904800130000000,CỐT ĐẦU DÙ TRƯỚC NOVA (Nova6 994706),Cái,100,Cái,100,,USD,0.46,0,46,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-032,Thái Nguyễn Minh Quyết,11/13/2024,PR24/11-027,0927200050000000,Cụm Móc quay ROTATING HOOK COMPLETE Mã: HDM2047101,CAI,15,CAI,15,,VND,1,0,15,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-054,Nguyễn Thị Đào,11/16/2024,PR24/11-060,5300101870000000,Cuộn giấy vệ sinh loại lớn 700g.,CUON,20,CUON,20,,VND,1,0,20,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-012,Nguyễn Dũng Trung,11/4/2024,,THATRPPM089080080768TRDU,"Cuộn manh PP, TRÁNG BÓNG, trắng đục, Khổ tráng 91cm, cắt biên còn TP 89.0cm, tráng 20gsm, TL: 68.53g/m. (PP57.0gsm+LM20gsm)",M,20000,KG,1370.6,,VND,300,480000,6000000,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,NCC010165
PO11/24-012,Nguyễn Dũng Trung,11/4/2024,,THATRPER100080080100TRDU,"Cuộn PP, TRÁNG BÓNG, trắng đục, K100.0cm, tráng 20gsm, TL: 100.0g/m. [80gsm+20gsm] [Tráng cắt 2 biên K102cm thành K100cm]",M,6970,KG,697,,VND,300,167280,2091000,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM ĐỨC,NCC010165
PO11/24-047,Nguyễn Thị Đào,11/15/2024,PR24/11-052,0926400360000000,Đá 0x4 (Xây dựng),M3,3.5,M3,3.5,,VND,410000,0,1435000,Võ Công Vũ,NV041
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0926400100000000,đá 1x2 (xây dựng),Mét,20,Mét,20,,VND,640000,0,12800000,Võ Công Vũ,NV041
PO10/24-078,Nguyễn Thị Đào,10/24/2024,PR24/10-081,0922700082000000,Đá cắt 125mm,LUOI,20,LUOI,20,,VND,10000,0,200000,Võ Công Vũ,NV041
PO10/24-098,Nguyễn Thị Đào,10/29/2024,PR24/10-098,0926400050000000,ĐÁ MÀI 125,Cái,20,Cái,20,,VND,15000,0,300000,Võ Công Vũ,NV041
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0926400350000000,Đá xanh Đồng Nai 4x6.,M3,5,M3,5,,VND,630000,0,3150000,Võ Công Vũ,NV041
PO11/24-009,Nguyễn Thị Đào,11/4/2024,PR24/11-015,0905200010000000,ĐAI DƯỚI 10 LỖ LSL6 (470X98X10) LSL6074820,Cái,200,Cái,200,,VND,1,16,200,CÔNG TY TNHH VIPATEX,NCC010293
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0905200260000000,Đai sắt phi 8mm KT: 150x250 ( thép Việt Nhật - 300c),KG,107,KG,107,,VND,17500,0,1872500,Võ Công Vũ,NV041
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0905200240000000,Đai sắt phi 8mm KT: 200x200 ( thép Việt Nhật - 265c),KG,95,KG,95,,VND,17500,0,1662500,Võ Công Vũ,NV041
PO10/24-033,Nguyễn Thị Đào,10/11/2024,PR24/10-035,0905200250000000,Đai sắt phi 8mm KT: 200x300 ( thép Việt Nhật - 145c),KG,63,KG,63,,VND,17500,0,1102500,Võ Công Vũ,NV041
PO10/24-061,Nguyễn Thị Đào,10/19/2024,PR24/10-063,0905300230000000,Dao ren ống 34-60mm.,BO,3,BO,3,,VND,1350000,0,4050000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-032,Thái Nguyễn Minh Quyết,11/13/2024,PR24/11-027,0919600940000000,Dao Tĩnh (HMJ2148001),CAI,30,CAI,30,,VND,1,0,30,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-036,905400790000000,Đầu cos tròn Nichifu dạng tròn loại trần R 5.5 - 6,BICH,300,BICH,300,,VND,3200,0,960000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-010,0905401190000000,Đầu cốt kim lưỡi dẹp Nichifu BT 4 - 10mm,CAI,200,CAI,200,,VND,3770,0,754000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0905401160000000,Đầu cốt kim lưỡi dẹp Nichifu BT 5.5 - 18,CAI,300,CAI,300,,VND,4682,0,1404600,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-010,Nguyễn Thị Đào,11/4/2024,PR24/11-014,0905401170000000,Đầu cốt Nichifu TC 5.5-11.,CAI,400,CAI,400,,VND,3770,0,1508000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-010,Nguyễn Thị Đào,11/4/2024,PR24/11-014,0905401180000000,Đầu cốt tròn Nichifu  R5.5-6 không lớp cách điện.,CAI,500,CAI,500,,VND,3200,0,1600000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-010,0905400950000000,Đầu cốt tròn trần NICHIFU 4-5mm,CON,200,CON,200,,VND,3030,0,606000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-019,Nguyễn Thị Đào,10/9/2024,PR24/10-016,0700100090000000,dầu do,Lít,600,Lít,600,,VND,16209.09,972545,9725454,CÔNG TY XĂNG DẦU KHU VỰC II TNHH MỘT THÀNH VIÊN,NCC010124
PO10/24-054,Thái Nguyễn Minh Quyết,10/16/2024,PR24/10-056,0902400150000000,Đầu dù sau Hengly (Back Block wheel SBY-850×6S-02A.10-1),CAI,100,CAI,100,,VND,0.5,0,50,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-054,Thái Nguyễn Minh Quyết,10/16/2024,PR24/10-056,0902400160000000,Đầu dù Trước Hengly ( Front block wheel SBY-850×6S-02A.3-5 ),CAI,100,CAI,100,,VND,0.85,0,85,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-004,Nguyễn Thị Đào,11/2/2024,PR24/11-002,0920600420000000,DÂY BĂNG TẢI MÁY CẮT AUTO 50x3000mm( Cắt dán tại máy),SOI,2,SOI,2,,VND,1,0,2,CÔNG TY TNHH ALPHA POWER,NCC010247
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,09061040000000,Dây cáp + Jac - X50 - LIGHT Sensor.,SOI,10,SOI,10,,VND,1,0,10,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,09061041000000,Dây cáp kết nối bàn phím máy dệt Starlinger RX6.1,SOI,6,SOI,6,,VND,1,0,6,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,09061043000000,Dây cáp kết nối PLC + HMI máy dệt Starlinger RX6.1,SOI,6,SOI,6,,VND,1,0,6,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,09061042000000,Dây cáp kết nối thu cuộn máy dệt Starlinger RX6.1,SOI,6,SOI,6,,VND,1,0,6,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO10/24-079,Nguyễn Thị Đào,10/24/2024,PR24/10-082,0920600100000000,DÂY CỘT BAO,Kg,100,Kg,100,,VND,25000,0,2500000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-105,Nguyễn Thị Đào,10/30/2024,PR24/10-106,0902100040000000,DÂY CU ROA 850H - bản 45mm,Cái,2,Cái,2,,VND,520000,83200,1040000,CÔNG TY TNHH ALPHA POWER,NCC010247
PO10/24-110,Nguyễn Thị Đào,10/31/2024,PR24/10-109,0902100740000000,Dây Cu roa A45,Sợi,6,Sợi,6,,VND,55000,26400,330000,CÔNG TY TNHH ALPHA POWER,NCC010247
PO10/24-105,Nguyễn Thị Đào,10/30/2024,PR24/10-106,0902100200000000,DÂY CU ROA B86,Cái,5,Cái,5,,VND,135000,54000,675000,CÔNG TY TNHH ALPHA POWER,NCC010247
PO10/24-036,Nguyễn Thị Đào,10/11/2024,PR24/10-041,0902100880000000,Dây curoa H465 - bản 30mm,SOI,5,SOI,5,,VND,260000,104000,1300000,CÔNG TY TNHH ALPHA POWER,NCC010247
PO11/24-030,Nguyễn Thị Đào,11/13/2024,PR24/11-031,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,20,KG,200,,VND,1,0,20,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-054,Nguyễn Thị Đào,11/16/2024,PR24/11-055,0500100110000000,"Dây đai ép kiện PP, màu xanh lá, K15.0mm, dày 1mm, tension >350kgF, TL: 10g/m",Cuộn,5,KG,50,,VND,1,0,5,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-081,Nguyễn Thị Đào,10/24/2024,PR24/10-082,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,,VND,415000,3320000,41500000,CÔNG TY TNHH DAE DUK BAND VIỆT NAM,NCC010041
PO10/24-064,Nguyễn Thị Đào,10/19/2024,PR24/10-065,10DAI-PPDE0-01-0205,"Dây đai PP, 2.0cm x 5.0g/m, MĐN: 8, màu đen.",M,3018,KG,15.09,,VND,239.875,57915,723943,CÔNG TY TNHH HONSIN (VIỆT NAM),NCC010100
PO11/24-028,Nguyễn Thị Đào,11/13/2024,PR24/11-028,0902211080000000,Dây đèn trứng trang trí 10M - 20 đui - Ngoài trời.,CAI,4,CAI,4,,VND,230000,0,920000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-028,Nguyễn Thị Đào,11/13/2024,PR24/11-028,0902211070000000,Dây đèn trứng trang trí 5M - 10 đui - Ngoài trời.,CAI,7,CAI,7,,VND,130000,0,910000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-039,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0902204160000000,Dây điện CADIVI - CVV - 4C x 6mm2.,M,856,M,856,,VND,76580,6555248,65552480,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VIỆT TÍN PHÁT,NCC010414
PO11/24-008,Nguyễn Thị Đào,11/2/2024,PR24/11-010,0902204250000000,Dây điện Cadivi CVV 4C x 4mm2,Mét,300,Mét,300,,VND,53463,1603890,16038900,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VIỆT TÍN PHÁT,NCC010414
PO10/24-039,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0902208800000000,Dây điện tiếp địa sọc vàng 1x6mm2,M,900,M,900,,VND,17956,1616040,16160400,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VIỆT TÍN PHÁT,NCC010414
PO11/24-009,Nguyễn Thị Đào,11/4/2024,PR24/11-013,0920600130000000,DÂY GAI CUỐN LÔ BẢN 50MM ( theo mẫu),Mét,500,Mét,500,,VND,34100,1364000,17050000,CÔNG TY TNHH VIPATEX,NCC010293
PO10/24-031,Nguyễn Thị Đào,10/10/2024,PR24/10-031,0914400014000000,Dây HDMI,CAI,1,CAI,1,,VND,950000,0,950000,Trần Trung Hiếu,NV031
PO10/24-009,Nguyễn Thị Đào,10/5/2024,PR24/10-013,0920600050000000,"Dây luồn bao 3x10, PP, màu xanh, 1.5gr/m.",KG,1000,KG,1000,,VND,44762,2238100,44762000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VẠN THUẬN LỢI,NCC010001
PO11/24-006,Nguyễn Thị Đào,11/2/2024,PR24/11-011,10ROP-PPWHI-02-0623,"Dây ROPE PP (C3), D6mm x 23g/m, trắng đục.",M,8461.5,KG,109.9995,,VND,780,527998,6599970,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH,KH010005
PO11/24-052,Nguyễn Thị Đào,11/16/2024,PR24/11-055,10ROP-PPWHI-02-0612,"Dây ROPE PP, D6mm x 12g/m, trắng đục. Sử dụng sợi tận dụng",M,1000,KG,12,,VND,648,51840,648000,CÔNG TY TNHH HONSIN (VIỆT NAM),NCC010100
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0920600320000000,Dây rút 10x500,BICH,20,BICH,20,,VND,55000,0,1100000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-036,0920600510000000,Dây rút 8x300,BICH,20,BICH,20,,VND,45000,0,900000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-014,Nguyễn Thị Đào,11/5/2024,PR24/11-017,10DAI-POLYWHI-01-0206,Dây tape 2cm Polyester màu trắng; TL: 6g/m,M,5000,KG,30,,VND,1,400,5000,CÔNG TY TNHH HONSIN (VIỆT NAM),NCC010100
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0902500040000000,ĐẾ THOI NHỰA (Nova6 495815),Cái,50,Cái,50,,VND,1,0,50,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-039,Nguyễn Thị Đào,11/13/2024,PR24/11-040,VPP004,Decal Oji,XAP,15,XAP,15,,VND,1,1,15,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-001,916600450000000,Đệm cao su giảm chấn cho khớp nối L-110,CAI,5,CAI,5,,VND,60000,0,300000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-040,Nguyễn Thị Đào,11/14/2024,PR24/11-044,MDM-FL92,Đen 92 FL,KG,100,KG,100,,VND,69000,690000,6900000,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN),NCC010016
