Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200108690000000,Bản in EL TORO - UNIPACK,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-046,Nguyễn Thị Đào,11/15/2024,PR24/11-051,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-084,Nguyễn Thị Đào,10/25/2024,PR24/10-085,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-002,Nguyễn Thị Đào,11/2/2024,PR24/11-006,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-005,Nguyễn Thị Đào,10/3/2024,PR24/10-007,5200108450000000,Bản in FEED FLOUR - 40kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,0902203870000000,Bàn phím nút nhấn RX6.1 X2X KEYBOARD UNIT Mã số: AIVS-01343,Cái,2,Cái,2,,VND,1,0,2,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO10/24-090,Nguyễn Thị Đào,10/26/2024,PR24/10-088,5200104290000000,Bảng in BURUNG MURAI 68N,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-048,Nguyễn Thị Đào,10/15/2024,PR24/10-049,0917400020000000,Băng keo 2 mặt ( 5 cm loại dày),CUON,100,CUON,100,,VND,22800,182400,2280000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-067,Nguyễn Thị Đào,10/21/2024,PR24/10-068,0917400330000000,Băng keo chịu Nhiệt 2cm,CUON,20,CUON,20,,VND,125000,0,2500000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-048,Nguyễn Thị Đào,10/15/2024,PR24/10-049,0917400080000000,BĂNG KEO ĐỎ 5cm,CUON,100,CUON,100,,VND,9400,75200,940000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-061,Nguyễn Thị Đào,10/19/2024,PR24/10-063,0917400090000000,"Băng keo lụa (cao su non) 0,075mm*1/2*5-10mm",CUON,100,CUON,100,,VND,5000,0,500000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-048,Nguyễn Thị Đào,10/15/2024,PR24/10-049,0917400130000000,Băng keo trong 5cm,CUON,100,CUON,100,,VND,8900,71200,890000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-048,Nguyễn Thị Đào,10/15/2024,PR24/10-049,0917400100000000,BĂNG KEO VÀNG 5CM,CUON,200,CUON,200,,VND,9200,147200,1840000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-105,Nguyễn Thị Đào,10/30/2024,PR24/10-105,0912400040000000,Băng tải máy in cái 11500x800x2mm,CAI,1,CAI,1,,VND,2380000,190400,2380000,CÔNG TY TNHH ALPHA POWER,NCC010247
PO10/24-078,Nguyễn Thị Đào,10/24/2024,PR24/10-081,0926400090000000,Bánh nhám xếp phi 125mm.,CAI,20,CAI,20,,VND,20000,0,400000,Võ Công Vũ,NV041
