Time,SL
02/01/2024,26301.36986
03/01/2024,26301.36986
04/01/2024,26301.36986
05/01/2024,26301.36986
06/01/2024,26301.36986
07/01/2024,26301.36986
08/01/2024,26301.36986
09/01/2024,26301.36986
10/01/2024,26301.36986
11/01/2024,26301.36986
12/01/2024,26301.36986
13/01/2024,26301.36986
14/01/2024,26301.36986
15/01/2024,26301.36986
16/01/2024,26301.36986
17/01/2024,26301.36986
18/01/2024,26301.36986
19/01/2024,26301.36986
20/01/2024,26301.36986
21/01/2024,26301.36986
22/01/2024,26301.36986
23/01/2024,26301.36986
24/01/2024,26301.36986
25/01/2024,26301.36986
26/01/2024,26301.36986
27/01/2024,26301.36986
28/01/2024,26301.36986
29/01/2024,26301.36986
30/01/2024,26301.36986
31/01/2024,26301.36986
01/02/2024,26301.36986
02/02/2024,26301.36986
03/02/2024,26301.36986
04/02/2024,26301.36986
05/02/2024,26301.36986
06/02/2024,26301.36986
07/02/2024,26301.36986
08/02/2024,26301.36986
09/02/2024,26301.36986
10/02/2024,26301.36986
11/02/2024,26301.36986
12/02/2024,26301.36986
13/02/2024,26301.36986
14/02/2024,26301.36986
15/02/2024,26301.36986
16/02/2024,26301.36986
17/02/2024,26301.36986
18/02/2024,26301.36986
19/02/2024,26301.36986
20/02/2024,26301.36986
21/02/2024,26301.36986
22/02/2024,26301.36986
23/02/2024,26301.36986
24/02/2024,26301.36986
25/02/2024,26301.36986
26/02/2024,26301.36986
27/02/2024,26301.36986
28/02/2024,26301.36986
29/02/2024,26301.36986
01/03/2024,26301.36986
02/03/2024,26301.36986
03/03/2024,26301.36986
04/03/2024,26301.36986
05/03/2024,26301.36986
06/03/2024,26301.36986
07/03/2024,26301.36986
08/03/2024,26301.36986
09/03/2024,26301.36986
10/03/2024,26301.36986
11/03/2024,26301.36986
12/03/2024,26301.36986
13/03/2024,26301.36986
14/03/2024,26301.36986
15/03/2024,26301.36986
16/03/2024,26301.36986
17/03/2024,26301.36986
18/03/2024,26301.36986
19/03/2024,26301.36986
20/03/2024,26301.36986
21/03/2024,26301.36986
22/03/2024,26301.36986
23/03/2024,26301.36986
24/03/2024,26301.36986
25/03/2024,26301.36986
26/03/2024,26301.36986
27/03/2024,26301.36986
28/03/2024,26301.36986
29/03/2024,26301.36986
30/03/2024,26301.36986
31/03/2024,26301.36986
01/04/2024,26301.36986
02/04/2024,26301.36986
03/04/2024,26301.36986
04/04/2024,26301.36986
05/04/2024,26301.36986
06/04/2024,26301.36986
07/04/2024,26301.36986
08/04/2024,26301.36986
09/04/2024,26301.36986
10/04/2024,26301.36986
11/04/2024,26301.36986
12/04/2024,26301.36986
13/04/2024,26301.36986
14/04/2024,26301.36986
15/04/2024,26301.36986
16/04/2024,26301.36986
17/04/2024,26301.36986
18/04/2024,26301.36986
19/04/2024,26301.36986
20/04/2024,26301.36986
21/04/2024,26301.36986
22/04/2024,26301.36986
23/04/2024,26301.36986
24/04/2024,26301.36986
25/04/2024,26301.36986
26/04/2024,26301.36986
27/04/2024,26301.36986
28/04/2024,26301.36986
29/04/2024,26301.36986
30/04/2024,26301.36986
01/05/2024,26301.36986
02/05/2024,26301.36986
03/05/2024,26301.36986
04/05/2024,26301.36986
05/05/2024,26301.36986
06/05/2024,26301.36986
07/05/2024,26301.36986
08/05/2024,26301.36986
09/05/2024,26301.36986
10/05/2024,26301.36986
11/05/2024,26301.36986
12/05/2024,26301.36986
13/05/2024,26301.36986
14/05/2024,26301.36986
15/05/2024,26301.36986
16/05/2024,26301.36986
17/05/2024,26301.36986
18/05/2024,26301.36986
19/05/2024,26301.36986
20/05/2024,26301.36986
21/05/2024,26301.36986
22/05/2024,26301.36986
23/05/2024,26301.36986
24/05/2024,26301.36986
25/05/2024,26301.36986
26/05/2024,26301.36986
27/05/2024,26301.36986
28/05/2024,26301.36986
29/05/2024,26301.36986
30/05/2024,26301.36986
31/05/2024,26301.36986
01/06/2024,26301.36986
02/06/2024,26301.36986
03/06/2024,26301.36986
04/06/2024,26301.36986
05/06/2024,26301.36986
06/06/2024,26301.36986
07/06/2024,26301.36986
08/06/2024,26301.36986
09/06/2024,26301.36986
10/06/2024,26301.36986
11/06/2024,26301.36986
12/06/2024,26301.36986
13/06/2024,26301.36986
14/06/2024,26301.36986
15/06/2024,26301.36986
16/06/2024,26301.36986
17/06/2024,26301.36986
18/06/2024,26301.36986
19/06/2024,26301.36986
20/06/2024,26301.36986
21/06/2024,26301.36986
22/06/2024,26301.36986
23/06/2024,26301.36986
24/06/2024,26301.36986
25/06/2024,26301.36986
26/06/2024,26301.36986
27/06/2024,26301.36986
28/06/2024,26301.36986
29/06/2024,26301.36986
30/06/2024,26301.36986
01/07/2024,26301.36986
02/07/2024,26301.36986
03/07/2024,26301.36986
04/07/2024,26301.36986
05/07/2024,26301.36986
06/07/2024,26301.36986
07/07/2024,26301.36986
08/07/2024,26301.36986
09/07/2024,26301.36986
10/07/2024,26301.36986
11/07/2024,26301.36986
12/07/2024,26301.36986
13/07/2024,26301.36986
14/07/2024,26301.36986
15/07/2024,26301.36986
16/07/2024,26301.36986
17/07/2024,26301.36986
18/07/2024,26301.36986
19/07/2024,26301.36986
20/07/2024,26301.36986
21/07/2024,26301.36986
22/07/2024,26301.36986
23/07/2024,26301.36986
24/07/2024,26301.36986
25/07/2024,26301.36986
26/07/2024,26301.36986
27/07/2024,26301.36986
28/07/2024,26301.36986
29/07/2024,26301.36986
30/07/2024,26301.36986
31/07/2024,26301.36986
01/08/2024,26301.36986
02/08/2024,26301.36986
03/08/2024,26301.36986
04/08/2024,26301.36986
05/08/2024,26301.36986
06/08/2024,26301.36986
07/08/2024,26301.36986
08/08/2024,26301.36986
09/08/2024,26301.36986
10/08/2024,26301.36986
11/08/2024,26301.36986
12/08/2024,26301.36986
13/08/2024,26301.36986
14/08/2024,26301.36986
15/08/2024,26301.36986
16/08/2024,26301.36986
17/08/2024,26301.36986
18/08/2024,26301.36986
19/08/2024,26301.36986
20/08/2024,26301.36986
21/08/2024,26301.36986
22/08/2024,26301.36986
23/08/2024,26301.36986
24/08/2024,26301.36986
25/08/2024,26301.36986
26/08/2024,26301.36986
27/08/2024,26301.36986
28/08/2024,26301.36986
29/08/2024,26301.36986
30/08/2024,26301.36986
31/08/2024,26301.36986
01/09/2024,26301.36986
02/09/2024,26301.36986
03/09/2024,26301.36986
04/09/2024,26301.36986
05/09/2024,26301.36986
06/09/2024,26301.36986
07/09/2024,26301.36986
08/09/2024,26301.36986
09/09/2024,26301.36986
10/09/2024,26301.36986
11/09/2024,26301.36986
12/09/2024,26301.36986
13/09/2024,26301.36986
14/09/2024,26301.36986
15/09/2024,26301.36986
16/09/2024,26301.36986
17/09/2024,26301.36986
18/09/2024,26301.36986
19/09/2024,26301.36986
20/09/2024,26301.36986
21/09/2024,26301.36986
22/09/2024,26301.36986
23/09/2024,26301.36986
24/09/2024,26301.36986
25/09/2024,26301.36986
26/09/2024,26301.36986
27/09/2024,26301.36986
28/09/2024,26301.36986
29/09/2024,26301.36986
30/09/2024,26301.36986
01/10/2024,26301.36986
02/10/2024,26301.36986
03/10/2024,26301.36986
04/10/2024,26301.36986
05/10/2024,26301.36986
06/10/2024,26301.36986
07/10/2024,26301.36986
08/10/2024,26301.36986
09/10/2024,26301.36986
10/10/2024,26301.36986
11/10/2024,26301.36986
12/10/2024,26301.36986
13/10/2024,26301.36986
14/10/2024,26301.36986
15/10/2024,26301.36986
16/10/2024,26301.36986
17/10/2024,26301.36986
18/10/2024,26301.36986
19/10/2024,26301.36986
20/10/2024,26301.36986
21/10/2024,26301.36986
22/10/2024,26301.36986
23/10/2024,26301.36986
24/10/2024,26301.36986
25/10/2024,26301.36986
26/10/2024,26301.36986
27/10/2024,26301.36986
28/10/2024,26301.36986
29/10/2024,26301.36986
30/10/2024,26301.36986
31/10/2024,26301.36986
01/11/2024,26301.36986
02/11/2024,26301.36986
03/11/2024,26301.36986
04/11/2024,26301.36986
05/11/2024,26301.36986
06/11/2024,26301.36986
07/11/2024,26301.36986
08/11/2024,26301.36986
09/11/2024,26301.36986
10/11/2024,26301.36986
11/11/2024,26301.36986
12/11/2024,26301.36986
13/11/2024,26301.36986
14/11/2024,26301.36986
15/11/2024,26301.36986
16/11/2024,26301.36986
17/11/2024,26301.36986
18/11/2024,26301.36986
19/11/2024,26301.36986
20/11/2024,26301.36986
21/11/2024,26301.36986
22/11/2024,26301.36986
23/11/2024,26301.36986
24/11/2024,26301.36986
25/11/2024,26301.36986
26/11/2024,26301.36986
27/11/2024,26301.36986
28/11/2024,26301.36986
29/11/2024,26301.36986
30/11/2024,26301.36986
01/12/2024,26301.36986
02/12/2024,26301.36986
03/12/2024,26301.36986
04/12/2024,26301.36986
05/12/2024,26301.36986
06/12/2024,26301.36986
07/12/2024,26301.36986
08/12/2024,26301.36986
09/12/2024,26301.36986
