Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
1/9/2024,LN01/24-019,VẬT TUWSUWAR CHỮA NHÀ VS X1 ( ANH HỢI) PO01/24-002/003.,PR24/01-007,PO01/24-003,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,1,1
2/27/2024,LN02/24-074,Vật Tư làm nhà chứa Rác thải Nguy hại PO02/24-031/032.,PR24/02-033,PO02/24-032,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,1,1
2/29/2024,LN02/24-089,Vật tư làm mái che  sân sau x7 PO02/24-048/053.,PR24/02-045,PO02/24-048,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,5,5
3/5/2024,LN03/24-011,Vật Tư làm Mái Che X7 PO03/24-002.,PR24/03-001,PO03/24-002,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,20,20
3/11/2024,LN03/24-032,Vật Tư làm Mái Che X7 PO03/24-002/005.,PR24/03-001,PO03/24-002,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,20,20
2/2/2024,LN02/24-006,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG MEKONG : PO02/24-002.,PR24/02-001,PO02/24-002,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,1,KG,25,25
2/28/2024,LN02/24-080,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG PO02/24-044.,PR24/02-043,PO02/24-044,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,1,KG,25,25
3/4/2024,LN03/24-006,ĐẶT MỰC IN GIÁN TIẾP GẤP CHO ĐƠN HÀNG TƯ TRÚC SO2401-0042+ 48 LUMUT PO03/24-003,PR24/03-002,PO03/24-003,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,1,KG,50,50
1/16/2024,LN01/24-042,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER + MEKONG PO01/24-045/047.,PR24/01-044,PO01/24-047,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,125,125
1/19/2024,LN01/24-054,"ĐẶT MỰC IN ĐƠN HÀNG SARAWAK, 66 MFM (SO2311-0048, SO2401-0007) PO01/24-057.",PR24/01-055,PO01/24-057,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,100,100
