Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO03/24-004,Nguyễn Thị Đào,45355.370833333334,PR24/03-008,5200104170000000,Blue Horse EX,CM2,15000,CM2,15000,,VND,290,348000,4350000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-038,Nguyễn Thị Đào,45302.381944444445,PR24/01-034,5200104200000000,Blue Horse Noodle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-029,Nguyễn Thị Đào,45345.159722222219,PR24/02-027,5200104230000000,Bột mì địa cầu 10Kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-103,5200104350000000,Cám mì Pollard,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-065,Nguyễn Thị Đào,45373.301388888889,PR24/03-060,5200104350000000,Cám mì Pollard,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-053,Nguyễn Thị Đào,45370.113888888889,PR24/03-046,5200104560000000,INTER-Địa cầu nâu,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-086,Nguyễn Thị Đào,45380.088194444441,PR24/03-083,5200104690000000,Dongwon CORN,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-086,Nguyễn Thị Đào,45380.088194444441,PR24/03-083,5200104840000000,bản in EXTRA FINA,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-061,Nguyễn Thị Đào,45372.363194444442,PR24/03-057,5200104840000000,bản in EXTRA FINA,CM2,15000,CM2,15000,,VND,290,348000,4350000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-038,Nguyễn Thị Đào,45302.381944444445,PR24/01-034,5200104850000000,FERRER FLOR,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-038,Nguyễn Thị Đào,45302.381944444445,PR24/01-034,5200104860000000,FERRER SUPER,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-088,Nguyễn Thị Đào,45316.359027777777,PR24/01-087,5200104860000000,FERRER SUPER,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-038,Nguyễn Thị Đào,45302.381944444445,PR24/01-034,5200104870000000,FERRER ULTRA,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-042,5200104950000000,Fortaleza,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-043,5200104950000000,Fortaleza,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-088,Nguyễn Thị Đào,45316.359027777777,PR24/01-088,5200104950000000,Fortaleza,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200104950000000,Fortaleza,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-006,Nguyễn Thị Đào,45324.401388888888,PR24/02-013,5200104960000000,FULL FAT SOYA,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-029,Nguyễn Thị Đào,45345.159722222219,PR24/02-027,5200104960000000,FULL FAT SOYA,CM2,13444,CM2,13444,,VND,290,311901,3898760,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-031,Nguyễn Thị Đào,45362.334027777775,PR24/03-028,5200105060000000,Golden horse,CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-004,Nguyễn Thị Đào,45324.127777777772,PR24/02-003,5200105120000000,Green Biccle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-103,5200105150000000,Green horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200105460000000,IFV-SAFOCO MÌ SỢI 25KG,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-029,Nguyễn Thị Đào,45345.159722222219,PR24/02-027,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-027,Nguyễn Thị Đào,45301.265277777777,PR24/01-029,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-031,Nguyễn Thị Đào,45362.334027777775,PR24/03-028,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-061,Nguyễn Thị Đào,45372.363194444442,PR24/03-057,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-036,Nguyễn Thị Đào,45363.388194444444,PR24/03-033,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-027,Nguyễn Thị Đào,45301.265277777777,PR24/01-029,5200105810000000,love Birds,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200105910000000,MI K - 40Kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-053,Nguyễn Thị Đào,45370.113888888889,PR24/03-048,5200105980000000,Nestle Kit Kat Wafer,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-053,Nguyễn Thị Đào,45370.113888888889,PR24/03-048,5200106080000000,Omyagran 0-0.5-MI,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-053,Nguyễn Thị Đào,45370.113888888889,PR24/03-048,5200106090000000,OMYAGRAN 0.2-0.5-MI,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-042,5200106150000000,Orange 888 25kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-042,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-043,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-088,Nguyễn Thị Đào,45316.359027777777,PR24/01-087,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-106,Nguyễn Thị Đào,45321.377777777772,PR24/01-105,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-043,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-042,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO01/24-046,Nguyễn Thị Đào,45306.114583333328,PR24/01-042,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
