Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
45369,SO2403-0039,CÔNG TY TNHH LUCKY STAR PLAST,0700100030000000,nhớt 10,LIT,LIT,230,230,45382,
45364,SO2403-0027,AGRIFEED,0119101001001000,"Bao TP-PP, trắng đục, K56x81LL, TL: 62g/cái, đáy 1 lần/2 đường PP900D, cắt ZIGZAG, MK: AGRIFEED 25KGS (4+0). [Ép kiện: 500cái/kiện, bắn đai 4 ngang x 1 dọc, 1 tem bên hông]/TPH056081G062TDAGF.AGRI.2/TPH056081G062TDAGF.AGRI.2",CAI,KG,320000,19840,45408,
45349,SO2402-0040,HARVEST UNITES ENTERPRISE SDN. BHD,0119110002001000,"Bao TP-PP, trắng UV, K76.0x130.0PB=160.0g/cái, MĐ: 10.5x11.0, MK: CS. [300cái/kiện]/TPH076130G160TDUV.HAR.CS",CAI,KG,20000,3200,45366,
45351,SO2402-0050,COMMERCIAL CHINA PLASTIC (SAN CRISTOBAL) (DEL VALLE)(MOLINOS DEL NORTE),TPH051076TD.DEL.XXX,"[SO tổng] Bao val, K51x76, TL: 62g/cái, sử dụng làm đơn hàng tổng nên chưa có marka in cụ thể.",BAO,KG,200000,12400,45397,
45343,SO2402-0019,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,KG,2000,100,45351,
45301,SO2401-0028,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,01JBO-TC002-01-0000,"Bao Jumbo thân tròn, trắng đục, có in marka: DING LI, kích thước: 95x95x130cm, có ống nạp, ống xả, có túi lồng PE; TL: 2.45kg/cái; Bao xếp làm 4, ép kiện 10 cái/kiện",CAI,KG,1000,2450,45321,
45306,SO2401-0035,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,01JBO-TC002-01-0000,"Bao Jumbo thân tròn, trắng đục, có in marka: DING LI, kích thước: 95x95x130cm, có ống nạp, ống xả, có túi lồng PE; TL: 2.45kg/cái; Bao xếp làm 4, ép kiện 10 cái/kiện",CAI,KG,1000,2450,45352,
45306,SO2401-0035,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,01JBO-TC002-03-0000,"Bao Jumbo thân tròn, trắng đục, có in marka: D.N-PET , kích thước: 95x95x130cm, có ống nạp, ống xả, có túi lồng PE; TL: 2.45kg/cái; Bao xếp làm 4, ép kiện 10 cái/kiện",CAI,KG,1000,2450,45352,
45295,SO2401-0016,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,100000,100000,45295,
45366,SO2403-0038,CÔNG TY TNHH LUCKY STAR PLAST,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,297000,297000,45366,
