Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2403-0070,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",02,Công đoạn tạo sợi,TPH-1551,SOI-JB24-5,"Sợi PP, trắng UV, 1520D, bản sợi  5.0mm. [1.5%UV MU001D - 8.5%TC]",KG,KG,250.23726,250.23726
SO2403-0070,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",02,Công đoạn tạo sợi,TPH-1551,SOI-JB5-2,"Sợi PP, trắng UV, 950D, 2.20mm. [1.5UV MU001D + taical hanotech]",KG,KG,153.8271,153.8271
SO2403-0070,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",03,Công đoạn dệt,TPH-1552,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",M,KG,1460.24172,701.208074
SO2403-0070,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",47,Cắt - Manh jumbo,MANH,MANH175125G602TDUNP,"Manh tròn PP, trắng đục, K175.0cmx125.5cm; TL: 602.65g/cái",Cái,KG,642.6,387.26289
SO2403-0070,THACAUNP175120130480TRDU,"Vải cuộn PP, K175.0cm, MĐ: 12.0x13.0, TL: 480.2g/m. [UNP-140gsm]",48,Công đoạn in cái jumbo,IN,MANH175125G603TDUNP.STDL,"Manh tròn PP, trắng đục, K175.0cmx125.5cm; TL: 603.65g/cái. MK: STANDLEE (3+3). [UNP140gsm] [UP01099] [68.5""×49""-STANDLEE (3+3)]",Cái,KG,630,380.2995
SO2403-0069,TPH061094G190TTTOP.MAU2,"Bao TP-PP lồng PE, khổ 61x94PB+1/-0, TLPP 125gr + LDPE 63x99+1/-0, TLPE 65gr +/-1= 190gr/bộ +/-3, Không in",02,Công đoạn tạo sợi,TPH-1551,SOI-TOP-02,"Sợi PP, trắng đục, 950D, 2.15 mm. (35% taical)",KG,KG,3.231475,3.231475
SO2403-0069,TPH061094G190TTTOP.MAU2,"Bao TP-PP lồng PE, khổ 61x94PB+1/-0, TLPP 125gr + LDPE 63x99+1/-0, TLPE 65gr +/-1= 190gr/bộ +/-3, Không in",03,Công đoạn dệt,TPH-1552,THACATOP610120120125TRTA,"Cuộn PP, trắng tẩy, K61.0cm(+/-0.5), MĐ: 12x12, TL: 125.0g/m(+/-2.0). [2500(m/cuộn]",M,KG,25.5075,3.188438
SO2403-0069,TPH061094G190TTTOP.MAU2,"Bao TP-PP lồng PE, khổ 61x94PB+1/-0, TLPP 125gr + LDPE 63x99+1/-0, TLPE 65gr +/-1= 190gr/bộ +/-3, Không in",07,Công đoạn thổi túi (HDPE - LDPE-LLDPE),THA,LDPE0005,"Cuộn LDPE, trắng trong, K63.0cm, TL: 65.0g/m. [Độ dày 51.5-mic]",Cái,KG,25.375,1.649375
SO2403-0069,TPH061094G190TTTOP.MAU2,"Bao TP-PP lồng PE, khổ 61x94PB+1/-0, TLPP 125gr + LDPE 63x99+1/-0, TLPE 65gr +/-1= 190gr/bộ +/-3, Không in",08,Công đoạn cắt PE,BAO,LDPE063099G065TT.TOP,"Túi LDPE, trắng trong, K63(+/-0.5)x99LL(+/-0.5), cắt dài 100cm + hàn 2 đường cách đáy <10mm, TL: 65(+/-1)gr.",Cái,KG,25,1.625
SO2403-0069,TPH061094G190TTTOP.MAU2,"Bao TP-PP lồng PE, khổ 61x94PB+1/-0, TLPP 125gr + LDPE 63x99+1/-0, TLPE 65gr +/-1= 190gr/bộ +/-3, Không in",15,Công đoạn cắt may tự động,BAO,CMA061097TTTOP,"Bao PP, trắng đục , K61x94LL, cắt thẳng 97cm, đáy 1 lần/2 đường PP900D, TL: 125g.",Cái,KG,25,3.125
