Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2,Date
0902700220000000,ĐỒNG HỒ NHIỆT  SDC15,Cái,3,5340000,0,0,0,0,3,5340000,Cái,3,0,0,3,17/09/2024
0902700240000000,Đồng hồ đo áp suất nước 0-10Kg/cm2 BADOTHEM phi 100 chân ren ngoài 17mm.,Cái,1,525000,0,0,0,0,1,525000,Cái,1,0,0,1,17/09/2024
0902700330000000,"Đông hồ điều khiển nhiệt - PID CONTROLLER,PXR4TAY1-FV070,48X48MM FUJI HEAT RELAY WITH 2 ALARM RELAY - Mã: 30 27048000",Cái,4,6177100,0,0,0,0,4,6177100,Cái,4,0,0,4,17/09/2024
0902700340000000,"Đông hồ điều khiển nhiệt - PID CONTROLLER,PXR4TAA1-FV070,48X48MM FUJI H+C RELAY WITH 2 ALARM RELAY - Mã: 30 270480100",Cái,4,7304588,0,0,0,0,4,7304588,Cái,4,0,0,4,17/09/2024
0902700510000000,Đồng hồ Vôn 0-500VAC 96x96mm,Cái,1,370000,0,0,0,0,1,370000,Cái,1,0,0,1,17/09/2024
0902700530000000,"Đồng hồ báo tốc độ RATIO/SPEED INDICATOR 48x96x110mm Supply: 24/110/240VAC, 50 HZ",Cái,5,25860610,0,0,0,0,5,25860610,Cái,5,0,0,5,17/09/2024
0902700600000000,Thiết bị đo lực căng dây UNITTA U-508.,Cái,1,13250000,0,0,0,0,1,13250000,Cái,1,0,0,1,17/09/2024
0902700620000000,Bút Laser,Cái,2,400000,0,0,0,0,2,400000,Cái,2,0,0,2,17/09/2024
0902800060000000,Cổ dê bulong inox phi 40-65,Cái,4,60000,0,0,0,0,4,60000,Cái,4,0,0,4,17/09/2024
0902900010000000,VÒNG SIN 105x111.5,CAI,2,32000,0,0,0,0,2,32000,CAI,2,0,0,2,17/09/2024
0902900110000000,Vòng sin 170x6mm,Cái,2,48000,0,0,0,0,2,48000,Cái,2,0,0,2,17/09/2024
0902900160000000,Vòng sin 100x3,Cái,3,30000,0,0,0,0,3,30000,Cái,3,0,0,3,17/09/2024
0903000200000000,VÍT TẢI LIỆU 250KG.,Bộ,2,52000000,0,0,0,0,2,52000000,Bộ,2,0,0,2,17/09/2024
0903100260000000,Thanh Nạp bao 034032,Cái,1,242000,0,0,0,0,1,242000,Cái,1,0,0,1,17/09/2024
0903100280000000,THANH NHỰA ĐẾ THOI DS LỚN,Cái,92,1840000,0,0,0,0,92,1840000,Cái,92,0,0,92,17/09/2024
0903100290000000,THANH NHỰA ĐẾ THOI DS NHỎ,Cái,179,1432000,0,0,0,0,179,1432000,Cái,179,0,0,179,17/09/2024
0903200020000000,CÀNG DAO ĐỘNG NHỰA (Nova6 063510a),Cái,983,27068994,0,0,0,0,983,27068994,Cái,983,0,0,983,17/09/2024
0903200050000000,CÀNG bù trên RX6.1. Mã: Z3F-00530,Cái,425,13771284,0,0,0,0,425,13771284,Cái,425,0,0,425,17/09/2024
0903200060000000,CÀNG bù dưới RX6.1. Mã: Z3I-13096,Cái,75,9265650,0,0,0,0,75,9265650,Cái,75,0,0,75,17/09/2024
0903200110000000,Càng bù HENGLY mã: 850X6-02-1,Cái,105,5414850,0,0,0,0,105,5414850,Cái,105,0,0,105,17/09/2024
0903200120000000,Càng thoi LSL6 ( mã : LSL6091001),Cái,2,253600,0,0,0,0,2,253600,Cái,2,0,0,2,17/09/2024
0903300210000000,Thước chép hình đa năng 50x13cm.,Cái,1,570000,0,0,0,0,1,570000,Cái,1,0,0,1,17/09/2024
0903400010000000,TẮC KÊ NHỰA 8mm + VÍT,Bịch,7,63637,0,0,0,0,7,63637,Bịch,7,0,0,7,17/09/2024
0903400020000000,TẮC KÊ NHỰA 6mm Xanh,Bịch,901,3290000,0,0,0,0,901,3290000,Bịch,901,0,0,901,17/09/2024
0903400040000000,TẮC KÊ NHỰA 12MM,Bịch,1047,3141000,0,0,0,0,1047,3141000,Bịch,1047,0,0,1047,17/09/2024
0903700150000000,TA RÔ ren ngoài M=16 ren 1.5,Cái,2,140000,0,0,0,0,2,140000,Cái,2,0,0,2,17/09/2024
0903800010000000,CHỮ H 034052 máy may,Cái,1,718000,0,0,0,0,1,718000,Cái,1,0,0,1,17/09/2024
0903800020000000,CHỮ U CẦN SỐ,Cái,23,391000,0,0,0,0,23,391000,Cái,23,0,0,23,17/09/2024
0903900050000000,VAN CHỈNH ÁP KHÍ 13 REN/ 6LY,Cái,20,480000,0,0,0,0,20,480000,Cái,20,0,0,20,17/09/2024
0903900060000000,VAN CHỈNH ÁP KHÍ REN 10/ 6LY,Cái,2,110000,0,0,0,0,2,110000,Cái,2,0,0,2,17/09/2024
0903900080000000,VAN CHỈNH ÁP KHÍ REN 17/ 10LY,Cái,7,595000,0,0,0,0,7,595000,Cái,7,0,0,7,17/09/2024
0903900100000000,VAN CHỈNH ÁP KHÍ REN 17/ 8LY,Cái,6,510000,0,0,0,0,6,510000,Cái,6,0,0,6,17/09/2024
0903900150000000,VAN ĐiỆN TỪ KHÍ 2 NGÃ/10 bar/220V/DS265FC61,Cái,1,18000,0,0,0,0,1,18000,Cái,1,0,0,1,17/09/2024
0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,Cái,2,1868000,0,0,0,0,2,1868000,Cái,2,0,0,2,17/09/2024
0903900200000000,VAN THAU 21,Cái,88,3960000,0,0,0,0,88,3960000,Cái,88,0,0,88,17/09/2024
0903900220000000,VAN THAU 34,Cái,10,1000000,0,0,0,0,10,1000000,Cái,10,0,0,10,17/09/2024
0903900270000000,VAN NÚT NHẤN KHÍ 3 NGÃ 10 bar/C7092,Cái,4,92000,0,0,0,0,4,92000,Cái,4,0,0,4,17/09/2024
0903900280000000,VAN NÚT NHẤN KHÍ 3 NGÃ DS244B60,Cái,3,69000,0,0,0,0,3,69000,Cái,3,0,0,3,17/09/2024
0903900310000000,VAN NHỰA 2 ĐẦU NỐI NHANH PHI 8,Cái,20,2600000,0,0,0,0,20,2600000,Cái,20,0,0,20,17/09/2024
0903900350000000,VAN ĐIỆN TỪ 2 NGÃ 2 ĐẦU RĂNG TRONG PHI 13/13 UD-08 (SOLENOI),Cái,15,17250000,0,0,0,0,15,17250000,Cái,15,0,0,15,17/09/2024
0903900530000000,van sắt 27,Cái,13,520000,0,0,0,0,13,520000,Cái,13,0,0,13,17/09/2024
0903900560000000,SOLENOI Vanle RCS2406-DC-24V,Cái,1,230000,0,0,0,0,1,230000,Cái,1,0,0,1,17/09/2024
0903900680000000,VAN ĐiỆN TỪ 2 Solenoid ASHON-DHP/DSG-01-3C60-AZ20-50(151205100),Cái,2,2500000,0,0,0,0,2,2500000,Cái,2,0,0,2,17/09/2024
0903900690000000,VAN THAU 13,Cái,11,440000,0,0,0,0,11,440000,Cái,11,0,0,11,17/09/2024
0903900760000000,Van điện từ Burkert Type 6013-24vdc,Cái,10,4850000,0,0,0,0,10,4850000,Cái,10,0,0,10,17/09/2024
0903900800000000,VAN PHAO CƠ INOX PHI 27,Cái,2,356000,0,0,0,0,2,356000,Cái,2,0,0,2,17/09/2024
0903900820000000,Mặt bít nhựa 34,CAI,1,173333,0,0,0,0,1,173333,CAI,1,0,0,1,17/09/2024
0904000180000000,Ty tròn inox 10mm,Mét,78,14040000,0,0,0,0,78,14040000,Mét,78,0,0,78,17/09/2024
0904300080000000,T Nhựa 60,Cái,2,41187,0,0,0,0,2,41187,Cái,2,0,0,2,17/09/2024
0904400100000000,BẠC CHÂN VỊT MÁY MAY,Cái,3,108000,0,0,0,0,3,108000,Cái,3,0,0,3,17/09/2024
0904500020000000,Sơn tường Màu Trắng Xám 18L/thùng,THUNG,-1,-800000,0,0,0,0,-1,-800000,Lít,-1,0,0,-1,17/09/2024
0904500020000000,Sơn tường Màu Trắng Xám 18L/thùng,THUNG,1,800000,0,0,0,0,1,800000,THUNG,1,0,0,1,17/09/2024
0904500190000000,Sơn dầu Bạch tuyết màu xanh dương 3kg/thùng,THUNG,1,480000,0,0,0,0,1,480000,THUNG,1,0,0,1,17/09/2024
0904700030000000,CO HƠI REN 17/12,Cái,63,2016000,0,0,0,0,63,2016000,Cái,63,0,0,63,17/09/2024
0904700040000000,CO HƠI REN 17/8,Cái,27,135000,0,0,0,0,27,135000,Cái,27,0,0,27,17/09/2024
0904700050000000,CO HƠI 6/6 ly,Cái,78,312000,0,0,0,0,78,312000,Cái,78,0,0,78,17/09/2024
0904700060000000,CO HƠI 10 ly,Cái,28,168000,0,0,0,0,28,168000,Cái,28,0,0,28,17/09/2024
0904700070000000,CO HƠI 12 ly,Cái,13,104000,0,0,0,0,13,104000,Cái,13,0,0,13,17/09/2024
0904700080000000,CO HƠI 13/10 ly,Cái,10,174667,0,0,0,0,10,174667,Cái,10,0,0,10,17/09/2024
0904700110000000,Co hơi 1 đầu ren ngoài 13- ống hơi 8mm,Cái,42,420000,0,0,0,0,42,420000,Cái,42,0,0,42,17/09/2024
0904700120000000,Co hơi 1 đầu ren ngoài 21- ống hơi 10mm,Cái,30,670000,0,0,0,0,30,670000,Cái,30,0,0,30,17/09/2024
0904700130000000,Co hơi 1 đầu ren ngoài 21- ống hơi 12mm,Cái,6,189735,0,0,0,0,6,189735,Cái,6,0,0,6,17/09/2024
0904700140000000,Co hơi phi 12/12,Cái,20,500000,0,0,0,0,20,500000,Cái,20,0,0,20,17/09/2024
0904700160000000,Co hơi phi 10/8,Cái,14,420000,0,0,0,0,14,420000,Cái,14,0,0,14,17/09/2024
0904700170000000,Co hơi phi 10/10,Cái,19,456000,0,0,0,0,19,456000,Cái,19,0,0,19,17/09/2024
0904700180000000,Co hơi phi 12/8,Cái,40,1240000,0,0,0,0,40,1240000,Cái,40,0,0,40,17/09/2024
0904700190000000,Co hơi phi 8/8,Cái,14,322000,0,0,0,0,14,322000,Cái,14,0,0,14,17/09/2024
0904700200000000,Co hơi phi 8/6,Cái,16,416000,0,0,0,0,16,416000,Cái,16,0,0,16,17/09/2024
0904700210000000,CO NHỰA 42,Cái,4,36520,0,0,0,0,4,36520,Cái,4,0,0,4,17/09/2024
0904700400000000,CO NHỰA PVC BM  phi 114x3mm,Cái,2,62400,0,0,0,0,2,62400,Cái,2,0,0,2,17/09/2024
0904700460000000,CO LƠI NHỰA 49,Cái,5,75000,0,0,0,0,5,75000,Cái,5,0,0,5,17/09/2024
0904700500000000,Co lơi PVC 60,CAI,4,38000,0,0,0,0,4,38000,CAI,4,0,0,4,17/09/2024
0904700780000000,Co INOX phi 34,Cái,6,252000,0,0,0,0,6,252000,Cái,6,0,0,6,17/09/2024
0904800060000000,CỐT BỘ ĐẨY DS DÀI,Cái,8,320000,0,0,0,0,8,320000,Cái,8,0,0,8,17/09/2024
0904800070000000,CỐT BỘ ĐẨY NGẮN DS,Cái,44,1320000,0,0,0,0,44,1320000,Cái,44,0,0,44,17/09/2024
0904800090000000,CỐT CHÂN ĐẾ NHÔM Mã: NOVA6 063511 (12x57mm),Cái,563,8716756,0,0,0,0,563,8716756,Cái,563,0,0,563,17/09/2024
0904800110000000,CỐT ĐẦU DÙ DS,Cái,19,475000,0,0,0,0,19,475000,Cái,19,0,0,19,17/09/2024
0904800130000000,CỐT ĐẦU DÙ TRƯỚC NOVA (Nova6 994706),Cái,643,12718707,0,0,0,0,643,12718707,Cái,643,0,0,643,17/09/2024
0904800190000000,CỐT HỘP SỐ RĂNG XÉO 12 RĂNG ,Cái,8,4160000,0,0,0,0,8,4160000,Cái,8,0,0,8,17/09/2024
0904800200000000,CỐT KẸP ĐAI mã : NOVA6 495809 (6x30mm),Cái,578,2774400,0,0,0,0,578,2774400,Cái,578,0,0,578,17/09/2024
0904800210000000,CỐT KIM MÁY MAY 2W ,Cái,1,400000,0,0,0,0,1,400000,Cái,1,0,0,1,17/09/2024
0904800220000000,CỐT LĂN ĐAI DÀI mã: NOVA6 076510 (98mm),Cái,162,2851200,0,0,0,0,162,2851200,Cái,162,0,0,162,17/09/2024
0904800230000000,CỐT LĂN ĐAI NGẮN LSL,Cái,1369,34225000,0,0,0,0,1369,34225000,Cái,1369,0,0,1369,17/09/2024
0904800240000000,CỐT NỐI HỘP SỐ DS,Cái,200,42000000,0,0,0,0,200,42000000,Cái,200,0,0,200,17/09/2024
0904800250000000,Cốt hộp số lô nước răng xéo 10 răng,Cái,25,13750000,0,0,0,0,25,13750000,Cái,25,0,0,25,17/09/2024
0904800270000000,Cốt Kim máy may 3w,Cái,2,600000,0,0,0,0,2,600000,Cái,2,0,0,2,17/09/2024
0904800340000000,Cốt hộp số lô đỉnh máy dệt LSL- WORM SHAFT- Mã: LSL6391728,Cái,5,3612600,0,0,0,0,5,3612600,Cái,5,0,0,5,17/09/2024
0904800350000000,Cốt hộp số lô đỉnh máy dệt LSL- WORM SHAFT- Mã: LSL6391708,Cái,5,1717100,0,0,0,0,5,1717100,Cái,5,0,0,5,17/09/2024
0904800370000000,"Cốt hộp số lô thu phi 17,6x81/11 răng",Cái,8,5360000,0,0,0,0,8,5360000,Cái,8,0,0,8,17/09/2024
0904800380000000,Cốt hộp số lô nước răng xoắn 8 răng máy dệt RX 6.1,Cái,4,1080000,0,0,0,0,4,1080000,Cái,4,0,0,4,17/09/2024
0904800400000000,Cốt Bánh xe lưng Thoi RX6.1(Z4R-13010),Cái,68,3862315,0,0,0,0,68,3862315,Cái,68,0,0,68,17/09/2024
0904800430000000,CỐT BÁNH XE LƯNG THOI CS DÀI,Cái,10,200000,0,0,0,0,10,200000,Cái,10,0,0,10,17/09/2024
0904800450000000,CỐT BÁNH XE LƯNG THOI CS NGẮN,Cái,20,240000,0,0,0,0,20,240000,Cái,20,0,0,20,17/09/2024
0904800490000000,Chốt lò xo nam châm loại ngắn,Cái,1000,1561000,0,0,0,0,1000,1561000,Cái,1000,0,0,1000,17/09/2024
0904800500000000,Chốt lò xo nam châm loại dài,Cái,1000,1338000,0,0,0,0,1000,1338000,Cái,1000,0,0,1000,17/09/2024
0904800510000000,Cốt Đầu dù trước RX6.1 và RX8.0 mã: Z4K-08685A,Cái,60,4068768,0,0,0,0,60,4068768,Cái,60,0,0,60,17/09/2024
0904800530000000,Cốt chân vịt máy may NEWLONG 2W (032181),Cái,1,300000,0,0,0,0,1,300000,Cái,1,0,0,1,17/09/2024
0904900120000000,CÁNH QUẠT 4 cánh sải cánh 400 lỗ cốt 13,Cái,6,1080000,0,0,0,0,6,1080000,Cái,6,0,0,6,17/09/2024
0904900150000000,CÁNH QUẠT NHỰA CÁNH ĐƯỜNG KÍNH 100 LỖ CỐT 14MM,Cái,6,120000,0,0,0,0,6,120000,Cái,6,0,0,6,17/09/2024
0905000070000000,"CÀ RÁ REN NGOÀI ỐNG 34, REN TRONG ỐNG 27",Cái,2,40000,0,0,0,0,2,40000,Cái,2,0,0,2,17/09/2024
0905100010000000,CHÉN NHỰA DS trên.(theo mẫu),Cái,41,779000,0,0,0,0,41,779000,Cái,41,0,0,41,17/09/2024
0905200010000000,ĐAI DƯỚI 10 LỖ LSL6 (470X98X10) LSL6074820,Cái,200,4708200,0,0,200,4708200,0,0,Cái,200,0,200,0,17/09/2024
0905200020000000,ĐAI DƯỚI 12 LỖ NOVA61 - 11158320720,Cái,198,3859251,0,0,0,0,198,3859251,Cái,198,0,0,198,17/09/2024
0905200030000000,ĐAI DƯỚI 8 LỖ NOVA6/AXL mã NOVA66076520,Cái,780,15027158,0,0,40,770624,740,14256534,Cái,780,0,40,740,17/09/2024
0905200040000000,ĐAI TRÊN 10 LỖ LSL6 (230X98X10) LSL6074807,Cái,150,1389354,0,0,0,0,150,1389354,Cái,150,0,0,150,17/09/2024
0905200050000000,ĐAI TRÊN 12 LỖ NOVA 61 Mã 11158320410,Cái,430,4213268,0,0,0,0,430,4213268,Cái,430,0,0,430,17/09/2024
0905200060000000,ĐAI TRÊN 8 LỖ NOVA6/AXL mã NOVA6076507,Cái,462,4279952,0,0,40,370559,422,3909393,Cái,462,0,40,422,17/09/2024
0905200100000000,ĐAI TRÊN RX6.1(12 lỗ) mã số: Z3U-02635A,Cái,691,11270688,0,0,0,0,691,11270688,Cái,691,0,0,691,17/09/2024
0905200130000000,ĐAI TRÊN RX8.0 (20 lỗ) Z3U-02737A,Cái,80,4744720,0,0,0,0,80,4744720,Cái,80,0,0,80,17/09/2024
0905200140000000,"Đai trên 10 lỗ, HENGLY (Grommet band) Mã: 6S-01-53",Cái,7,98000,0,0,0,0,7,98000,Cái,7,0,0,7,17/09/2024
0905300010000000,DAO BẰM BIÊN DS ĐỘNG,Cái,2,600000,0,0,0,0,2,600000,Cái,2,0,0,2,17/09/2024
0905300020000000,Dao bằm biên LH - KT: 225x80x12mm - Theo bản vẽ,Cái,50,30000000,0,0,0,0,50,30000000,Cái,50,0,0,50,17/09/2024
0905300040000000,Dao bằm biên LH - KT: 221x20x20mm - Theo bản vẽ,Cái,43,17200000,0,0,0,0,43,17200000,Cái,43,0,0,43,17/09/2024
0905300050000000,DAO BẰM BIÊN DSTĨNH,Cái,5,1750000,0,0,0,0,5,1750000,Cái,5,0,0,5,17/09/2024
0905300080000000,DAO BẰM HẠT MÁY Ó ,Cái,1,1100000,0,0,0,0,1,1100000,Cái,1,0,0,1,17/09/2024
0905300120000000,DAO TIỆN 5x10x200,Cái,10,800000,0,0,0,0,10,800000,Cái,10,0,0,10,17/09/2024
0905300130000000,dao móc chỉ,Cái,139,556000,0,0,0,0,139,556000,Cái,139,0,0,139,17/09/2024
0905300300000000,DAO TIỆN 5x20x200mm,Cái,10,1450000,0,0,0,0,10,1450000,Cái,10,0,0,10,17/09/2024
0905300330000000,Dao cắt máy sunta,Cái,1,58000,0,0,0,0,1,58000,Cái,1,0,0,1,17/09/2024
0905300590000000,HẠT DAO PHAY VUÔNG THEO MẪU,Cái,12,660000,0,0,0,0,12,660000,Cái,12,0,0,12,17/09/2024
0905400120000000,ĐẦU CỐT NỐT THẲNG 6mm ,Cái,150,157500,0,0,0,0,150,157500,Cái,150,0,0,150,17/09/2024
0905400160000000,ĐẦU CỐT TRÒN 95x10 ,Cái,10,180000,0,0,0,0,10,180000,Cái,10,0,0,10,17/09/2024
0905400330000000,Đầu cốt nôi phi 50x10 mm,Cái,10,60000,0,0,0,0,10,60000,Cái,10,0,0,10,17/09/2024
0905400400000000,Đầu cốt 70-10,CAI,98,32032549,0,0,0,0,98,32032549,CAI,98,0,0,98,17/09/2024
0905400610000000,Đầu cốt bít (cosse) SC 25-8,Cái,12,52800,0,0,0,0,12,52800,Cái,12,0,0,12,17/09/2024
0905400660000000,Đầu cốt bít (cosse) SC2.5-5,Cái,44,52800,0,0,0,0,44,52800,Cái,44,0,0,44,17/09/2024
0905600030000000,SÊN ĐÔI 60,Cái,2,3200000,0,0,0,0,2,3200000,Cái,2,0,0,2,17/09/2024
0905600060000000,Sên đôi 80 DAIICHI,Cái,2,2820000,0,0,0,0,2,2820000,Cái,2,0,0,2,17/09/2024
0905600080000000,SÊN ĐƠN 35,Cái,2,565000,0,0,0,0,2,565000,Cái,2,0,0,2,17/09/2024
0905600120000000,Sensor báo từ motor thu chỉ LH. ANALOG SENSOR WITH CONECTOR (11127099310),Cái,3,1101174,0,0,0,0,3,1101174,Cái,3,0,0,3,17/09/2024
0905600150000000,SEN SO BUP-30S-12-24VDC,Cái,1,606222,0,0,0,0,1,606222,Cái,1,0,0,1,17/09/2024
0905600190000000,"Sensor báo từ (Magnetic sensor, PNP, NO, M12) MB80-12GM50-E2 mã:14421011001",Cái,16,11379819,0,0,0,0,16,11379819,Cái,16,0,0,16,17/09/2024
0905600200000000,"Sensor báo từ (Magnetic sensor, NPN, NO, M12)-MB80-12GM50-EO mã:14421011002",Cái,4,2955108,0,0,0,0,4,2955108,Cái,4,0,0,4,17/09/2024
0905600210000000,Sensor VL18-4N3712 (6013612),Cái,1,3000000,0,0,0,0,1,3000000,Cái,1,0,0,1,17/09/2024
0905600220000000,Sensor báo màu (Photoelect sensor with Glass Hood) –Mã : 11981003000,Cái,1,848939,0,0,0,0,1,848939,Cái,1,0,0,1,17/09/2024
0905600250000000,Sensor weft brek  MSD10-24NBN-24VDC,Cái,9,26370000,0,0,0,0,9,26370000,Cái,9,0,0,9,17/09/2024
0905600260000000,Sensor WEFT báo đứt suốt (Magnetic sensor) AS-35 (12VDC.PNP),Cái,4,6912000,0,0,0,0,4,6912000,Cái,4,0,0,4,17/09/2024
0905600380000000,KHÓA EO SÊN ĐƠN 40,Cái,19,114000,0,0,0,0,19,114000,Cái,19,0,0,19,17/09/2024
0905600390000000,KHÓA EO SÊN ĐƠN 50,Cái,1,7000,0,0,0,0,1,7000,Cái,1,0,0,1,17/09/2024
0905600400000000,Bobbin sensor MODEL : BP150-L2 - 24VDC - NPN.,Cái,1,2222023,0,0,0,0,1,2222023,Cái,1,0,0,1,17/09/2024
0905600410000000,"Sensor motor lô chính ind.proxyflush PNP.NO,M8WSh cabe 3KHZ ( mã: 144201021002 )",Cái,4,1757952,0,0,0,0,4,1757952,Cái,4,0,0,4,17/09/2024
0905600430000000,Sensor báo màu S18-2VPDL-2M. Uotput PNP.,Cái,1,680000,0,0,0,0,1,680000,Cái,1,0,0,1,17/09/2024
0905600450000000,Proximity sensor IME08-2N5PSZTOS.,Cái,3,4125000,0,0,0,0,3,4125000,Cái,3,0,0,3,17/09/2024
0905600490000000,Dây cáp Proximity sensor IME08-2N5PSZTOS.,Cái,4,2000000,0,0,0,0,4,2000000,Cái,4,0,0,4,17/09/2024
0905700050000000,PHỚT 125x160,Cái,2,1400000,0,0,0,0,2,1400000,Cái,2,0,0,2,17/09/2024
0905700110000000,PHỚT 17X28,Cái,10,180000,0,0,0,0,10,180000,Cái,10,0,0,10,17/09/2024
0905700150000000,PHỚT 20x30,Cái,6,120000,0,0,0,0,6,120000,Cái,6,0,0,6,17/09/2024
0905700180000000,PHỚT 25X35,Cái,18,450000,0,0,0,0,18,450000,Cái,18,0,0,18,17/09/2024
0905700190000000,PHỚT 25x38,Cái,9,225000,0,0,0,0,9,225000,Cái,9,0,0,9,17/09/2024
0905700220000000,PHỚT 25X47,Cái,17,303572,0,0,1,17857,16,285715,Cái,17,0,1,16,17/09/2024
0905700240000000,PHỚT 30x40,Cái,9,252000,0,0,0,0,9,252000,Cái,9,0,0,9,17/09/2024
0905700250000000,PHỚT 30x42,Cái,6,168000,0,0,0,0,6,168000,Cái,6,0,0,6,17/09/2024
0905700310000000,PHỚT 35X62,Cái,14,280000,0,0,0,0,14,280000,Cái,14,0,0,14,17/09/2024
0905700330000000,PHỚT 40X60,Cái,2,76000,0,0,0,0,2,76000,Cái,2,0,0,2,17/09/2024
0905700340000000,PHỚT 40x62,Cái,70,1214094,0,0,0,0,70,1214094,Cái,70,0,0,70,17/09/2024
0905700350000000,PHỚT 40X72,Cái,9,432000,0,0,0,0,9,432000,Cái,9,0,0,9,17/09/2024
0905700360000000,PHỚT 42X65,Cái,5,200000,0,0,0,0,5,200000,Cái,5,0,0,5,17/09/2024
0905700370000000,PHỚT 45X62,Cái,5,190000,0,0,0,0,5,190000,Cái,5,0,0,5,17/09/2024
0905700410000000,PHỚT 55x80,Cái,5,275000,0,0,0,0,5,275000,Cái,5,0,0,5,17/09/2024
0905700520000000,PHỚT BEN 106x120,Cái,2,480000,0,0,0,0,2,480000,Cái,2,0,0,2,17/09/2024
0905700530000000,PHỚT BEN 25x32,CAI,12,300000,0,0,0,0,12,300000,CAI,12,0,0,12,17/09/2024
090570195000000,Phớt ben 32x42x7mm ( theo mẫu),CAI,4,205714,0,0,0,0,4,205714,CAI,4,0,0,4,17/09/2024
0905700570000000,Phớt ben 125x110x9,CAI,2,480000,0,0,0,0,2,480000,CAI,2,0,0,2,17/09/2024
0905700580000000,Phớt ben 35x43x7,Cái,1,30000,0,0,0,0,1,30000,Cái,1,0,0,1,17/09/2024
0905700640000000,Phớt ben 20x30,CAI,17,680000,0,0,0,0,17,680000,CAI,17,0,0,17,17/09/2024
0905700660000000,phớt 20x32,Cái,4,200000,0,0,0,0,4,200000,Cái,4,0,0,4,17/09/2024
0905700700000000,Phớt 30x47,Cái,4,140000,0,0,0,0,4,140000,Cái,4,0,0,4,17/09/2024
0905700790000000,Phớt( fork oil seal) 50x80x12,Cái,8,120000,0,0,0,0,8,120000,Cái,8,0,0,8,17/09/2024
0905700850000000,Phớt 35x45,Cái,8,120000,0,0,0,0,8,120000,Cái,8,0,0,8,17/09/2024
0905700860000000,PHỚT 45X60,Cái,9,342000,0,0,0,0,9,342000,Cái,9,0,0,9,17/09/2024
0905700870000000,PHỚT 15x27 x7 mm,Cái,24,268000,0,0,0,0,24,268000,Cái,24,0,0,24,17/09/2024
0905700880000000,phớt ben 85x100x9mm,Cái,2,200000,0,0,0,0,2,200000,Cái,2,0,0,2,17/09/2024
0905700910000000,phớt 22x42x11,Cái,10,400000,0,0,0,0,10,400000,Cái,10,0,0,10,17/09/2024
0905700970000000,PHỚT 42X62X7,Cái,10,350000,0,0,0,0,10,350000,Cái,10,0,0,10,17/09/2024
0905701040000000,Phốt ben 50x63x10mm,Cái,8,960000,0,0,0,0,8,960000,Cái,8,0,0,8,17/09/2024
0905701080000000,Phớt 15x25x7mm,Cái,10,170000,0,0,0,0,10,170000,Cái,10,0,0,10,17/09/2024
0905701110000000,Phớt 65x50,Cái,5,200000,0,0,0,0,5,200000,Cái,5,0,0,5,17/09/2024
0905701190000000,Phớt chặn dầu 75x100x10,Cái,2,220000,0,0,0,0,2,220000,Cái,2,0,0,2,17/09/2024
0905701200000000,Phớt chặn dầu 90x120x12,Cái,3,510000,0,0,0,0,3,510000,Cái,3,0,0,3,17/09/2024
0905701210000000,Phớt chặn dầu 85x120x12,Cái,1,170000,0,0,0,0,1,170000,Cái,1,0,0,1,17/09/2024
0905701220000000,Phớt chặn dầu 100x130x13,Cái,4,480000,0,0,0,0,4,480000,Cái,4,0,0,4,17/09/2024
0905800030000000,MŨI KHOAN BÊ TÔNG 14 x 150mm,Cái,2,120000,0,0,0,0,2,120000,Cái,2,0,0,2,17/09/2024
0905800220000000,Mũi khoét hợp kim phi 45,CAI,5,433333,0,0,0,0,5,433333,CAI,5,0,0,5,17/09/2024
0905800500000000,MŨI KHOAN BÊ TÔNG 16 LY,Cái,1,50000,0,0,0,0,1,50000,Cái,1,0,0,1,17/09/2024
0906000010000000,NHÔNG 14/30,Cái,8,280000,0,0,0,0,8,280000,Cái,8,0,0,8,17/09/2024
0906000050000000,NHÔNG 40/35,Cái,14,490000,0,0,0,0,14,490000,Cái,14,0,0,14,17/09/2024
0906000060000000,NHÔNG 50- 18 RĂNG,Cái,8,960000,0,0,0,0,8,960000,Cái,8,0,0,8,17/09/2024
0906000090000000,NHÔNG CHUYỀN 27 RĂNG,Cái,5,175000,0,0,0,0,5,175000,Cái,5,0,0,5,17/09/2024
0906000100000000,NHÔNG CHUYỀN 31 RĂNG,Cái,9,315000,0,0,0,0,9,315000,Cái,9,0,0,9,17/09/2024
0906000120000000,NHÔNG CHUYỀN 34 RĂNG,Cái,10,350000,0,0,0,0,10,350000,Cái,10,0,0,10,17/09/2024
0906000130000000,NHÔNG CHUYỀN 24 răng,Cái,9,315000,0,0,0,0,9,315000,Cái,9,0,0,9,17/09/2024
0906000140000000,NHÔNG CHUYỀN 35 RĂNG,Cái,5,175000,0,0,0,0,5,175000,Cái,5,0,0,5,17/09/2024
